route_id,system_a_id,system_a_name,system_b_id,system_b_name,cluster_a,cluster_b,route_class,baseline_status,priority_travel_band,civilian_travel_band,source,narrative_note
RT-0024,C03-01,Darinessa,C03-02,Beleon,Aster Vault,Aster Vault,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Aster Vault local continuity route
RT-0025,C03-01,Darinessa,C03-03,Zarekora,Aster Vault,Aster Vault,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Aster Vault gateway access
RT-0026,C03-01,Darinessa,C03-04,Caeliel,Aster Vault,Aster Vault,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Aster Vault gateway access
RT-0027,C03-01,Darinessa,C03-05,Bexune,Aster Vault,Aster Vault,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Aster Vault gateway access
RT-0028,C03-06,Lioraeon,C03-01,Darinessa,Aster Vault,Aster Vault,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Aster Vault local continuity route
RT-0029,C03-01,Darinessa,C04-02,Ossayr,Aster Vault,Vigil Crown,anchor trunk,stable,0.5–2 days,1–6 days,cluster backbone,Core continuity ring
RT-0030,C03-01,Darinessa,I07-10,Joraar,Aster Vault,Vesta Ring,trunk,stable,0.5–2 days,1–6 days,cluster backbone,Industrial and defense trunk
RT-0031,C03-02,Beleon,C03-03,Zarekora,Aster Vault,Aster Vault,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Aster Vault local continuity route
RT-0032,C03-03,Zarekora,C03-04,Caeliel,Aster Vault,Aster Vault,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Aster Vault local continuity route
RT-0033,C03-04,Caeliel,C03-05,Bexune,Aster Vault,Aster Vault,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Aster Vault local continuity route
RT-0034,C03-05,Bexune,C03-06,Lioraeon,Aster Vault,Aster Vault,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Aster Vault local continuity route
RT-0035,C04-01,Galenin,C04-02,Ossayr,Vigil Crown,Vigil Crown,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Vigil Crown local continuity route
RT-0036,C04-06,Uleniel,C04-01,Galenin,Vigil Crown,Vigil Crown,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Vigil Crown local continuity route
RT-0037,C04-02,Ossayr,C04-03,Ossaa,Vigil Crown,Vigil Crown,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Vigil Crown local continuity route
RT-0038,C04-02,Ossayr,C04-04,Iriaora,Vigil Crown,Vigil Crown,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Vigil Crown gateway access
RT-0039,C04-02,Ossayr,C04-05,Orinis,Vigil Crown,Vigil Crown,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Vigil Crown gateway access
RT-0040,C04-02,Ossayr,C04-06,Uleniel,Vigil Crown,Vigil Crown,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Vigil Crown gateway access
RT-0041,C04-02,Ossayr,I08-11,Bexiel,Vigil Crown,Orison March,trunk,stable,0.5–2 days,1–6 days,cluster backbone,Provincial command trunk
RT-0042,C04-03,Ossaa,C04-04,Iriaora,Vigil Crown,Vigil Crown,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Vigil Crown local continuity route
RT-0043,C04-04,Iriaora,C04-05,Orinis,Vigil Crown,Vigil Crown,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Vigil Crown local continuity route
RT-0044,C04-05,Orinis,C04-06,Uleniel,Vigil Crown,Vigil Crown,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Vigil Crown local continuity route
RT-0045,F01-01,Yvenor,F01-02,Caelis,Palimpsest North,Palimpsest North,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0046,F01-09,Erisyr,F01-01,Yvenor,Palimpsest North,Palimpsest North,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Palimpsest North gateway access
RT-0047,F01-15,Tavaora,F01-01,Yvenor,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0048,F01-02,Caelis,F01-03,Veyis,Palimpsest North,Palimpsest North,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0049,F01-03,Veyis,F01-04,Tavaadia,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0050,F01-04,Tavaadia,F01-05,Bexeth,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0051,F01-09,Erisyr,F01-04,Tavaadia,Palimpsest North,Palimpsest North,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Palimpsest North gateway access
RT-0052,F01-05,Bexeth,F01-06,Veyessa,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0053,F01-06,Veyessa,F01-07,Mirain,Palimpsest North,Palimpsest North,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0054,F01-07,Mirain,F01-08,Quener,Palimpsest North,Palimpsest North,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0055,F01-09,Erisyr,F01-07,Mirain,Palimpsest North,Palimpsest North,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Palimpsest North gateway access
RT-0056,F01-08,Quener,F01-09,Erisyr,Palimpsest North,Palimpsest North,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0057,F01-09,Erisyr,F01-10,Letoos,Palimpsest North,Palimpsest North,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0058,F01-09,Erisyr,F01-13,Navaorn,Palimpsest North,Palimpsest North,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Palimpsest North gateway access
RT-0059,F01-09,Erisyr,F02-14,Ivenum,Palimpsest North,Palimpsest South,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Archive-site link
RT-0060,F18-01,Galenion,F01-09,Erisyr,Mosaic Edge,Palimpsest North,cross frontier,restricted,2–8 days,5–30 days plus authorization delay,cluster backbone,Archive supply route
RT-0061,F21-10,Ravelion,F01-09,Erisyr,Outer Lattice,Palimpsest North,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Frontier ring closure
RT-0062,M13-04,Junoune,F01-09,Erisyr,Or Archive,Palimpsest North,frontier bridge,restricted,1–5 days,3–18 days plus authorization delay,cluster backbone,Archive approach
RT-0063,F01-10,Letoos,F01-11,Haleer,Palimpsest North,Palimpsest North,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0064,F01-11,Haleer,F01-12,Sorinyr,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0065,F01-12,Sorinyr,F01-13,Navaorn,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0066,F01-13,Navaorn,F01-14,Faroen,Palimpsest North,Palimpsest North,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0067,F01-14,Faroen,F01-15,Tavaora,Palimpsest North,Palimpsest North,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest North local continuity route
RT-0068,F02-01,Iriaes,F02-02,Merekora,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0069,F02-14,Ivenum,F02-01,Iriaes,Palimpsest South,Palimpsest South,cluster gateway spoke,intermittent,0.5–1.5 days,1–4 days,deterministic gateway spoke,Palimpsest South gateway access
RT-0070,F02-15,Ivenorn,F02-01,Iriaes,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0071,F02-02,Merekora,F02-03,Orinara,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0072,F02-03,Orinara,F02-04,Karaia,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0073,F02-04,Karaia,F02-05,Torenorn,Palimpsest South,Palimpsest South,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0074,F02-14,Ivenum,F02-04,Karaia,Palimpsest South,Palimpsest South,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Palimpsest South gateway access
RT-0075,F02-05,Torenorn,F02-06,Tavaen,Palimpsest South,Palimpsest South,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0076,F02-06,Tavaen,F02-07,Lioraes,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0077,F02-07,Lioraes,F02-08,Amona,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0078,F02-14,Ivenum,F02-07,Lioraes,Palimpsest South,Palimpsest South,cluster gateway spoke,intermittent,0.5–1.5 days,1–4 days,deterministic gateway spoke,Palimpsest South gateway access
RT-0079,F02-08,Amona,F02-09,Ivenune,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0080,F02-14,Ivenum,F02-08,Amona,Palimpsest South,Palimpsest South,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Palimpsest South gateway access
RT-0081,F02-09,Ivenune,F02-10,Kestiel,Palimpsest South,Palimpsest South,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0082,F02-10,Kestiel,F02-11,Bexessa,Palimpsest South,Palimpsest South,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0083,F02-14,Ivenum,F02-10,Kestiel,Palimpsest South,Palimpsest South,cluster gateway spoke,stable,0.5–1.5 days,1–4 days,deterministic gateway spoke,Palimpsest South gateway access
RT-0084,F02-11,Bexessa,F02-12,Arelara,Palimpsest South,Palimpsest South,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0085,F02-12,Arelara,F02-13,Areladia,Palimpsest South,Palimpsest South,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Palimpsest South local continuity route
RT-0086,F02-13,Areladia,F02-14,Ivenum,Palimpsest South,Palimpsest South,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Palimpsest South local continuity route
RT-0087,F02-14,Ivenum,F02-15,Ivenorn,Palimpsest South,Palimpsest South,cluster local ring,stable,0.5–1.5 days,1–4 days,deterministic local ring,Palimpsest South local continuity route
RT-0088,F02-14,Ivenum,F03-08,Quenis,Palimpsest South,Quiet Harbor,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Consent/refusal route
RT-0089,F16-03,Karaion,F02-14,Ivenum,Far Witness,Palimpsest South,cross frontier,restricted,2–8 days,5–30 days plus authorization delay,cluster backbone,Witness archive route
RT-0090,M12-12,Fennis,F02-14,Ivenum,Lentz Garden,Palimpsest South,frontier bridge,restricted,1–5 days,3–18 days plus authorization delay,cluster backbone,Witness/medical approach
RT-0091,F03-01,Karaar,F03-02,Xaroara,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0092,F03-08,Quenis,F03-01,Karaar,Quiet Harbor,Quiet Harbor,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Quiet Harbor gateway access
RT-0093,F03-15,Liorais,F03-01,Karaar,Quiet Harbor,Quiet Harbor,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0094,F03-02,Xaroara,F03-03,Ulenan,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0095,F03-03,Ulenan,F03-04,Caelen,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0096,F03-04,Caelen,F03-05,Yvenis,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0097,F03-08,Quenis,F03-04,Caelen,Quiet Harbor,Quiet Harbor,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Quiet Harbor gateway access
RT-0098,F03-05,Yvenis,F03-06,Navaadia,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0099,F03-06,Navaadia,F03-07,Darinune,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0100,F03-07,Darinune,F03-08,Quenis,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0101,F03-08,Quenis,F03-09,Bexeon,Quiet Harbor,Quiet Harbor,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0102,F03-08,Quenis,F03-10,Amonum,Quiet Harbor,Quiet Harbor,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Quiet Harbor gateway access
RT-0103,F03-08,Quenis,F03-13,Iriaa,Quiet Harbor,Quiet Harbor,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Quiet Harbor gateway access
RT-0104,F03-08,Quenis,F04-10,Ossaes,Quiet Harbor,Ash Choir,frontier regional,intermittent,1–4 days when open,2–14 days or longer,cluster backbone,Local-only identity corridor
RT-0105,F03-08,Quenis,F21-10,Ravelion,Quiet Harbor,Outer Lattice,cross frontier,intermittent,2–8 days when open,5–30 days or longer,cluster backbone,Refusal/watch bypass
RT-0106,F03-09,Bexeon,F03-10,Amonum,Quiet Harbor,Quiet Harbor,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0107,F03-10,Amonum,F03-11,Junoora,Quiet Harbor,Quiet Harbor,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0108,F03-11,Junoora,F03-12,Orinune,Quiet Harbor,Quiet Harbor,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0109,F03-12,Orinune,F03-13,Iriaa,Quiet Harbor,Quiet Harbor,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0110,F03-13,Iriaa,F03-14,Sorinora,Quiet Harbor,Quiet Harbor,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0111,F03-14,Sorinora,F03-15,Liorais,Quiet Harbor,Quiet Harbor,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Quiet Harbor local continuity route
RT-0112,F04-01,Beliel,F04-02,Esenessa,Ash Choir,Ash Choir,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0113,F04-10,Ossaes,F04-01,Beliel,Ash Choir,Ash Choir,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Ash Choir gateway access
RT-0114,F04-15,Ulenes,F04-01,Beliel,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0115,F04-02,Esenessa,F04-03,Hesseon,Ash Choir,Ash Choir,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0116,F04-03,Hesseon,F04-04,Junoara,Ash Choir,Ash Choir,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0117,F04-04,Junoara,F04-05,Velaas,Ash Choir,Ash Choir,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0118,F04-10,Ossaes,F04-04,Junoara,Ash Choir,Ash Choir,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Ash Choir gateway access
RT-0119,F04-05,Velaas,F04-06,Esenion,Ash Choir,Ash Choir,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0120,F04-06,Esenion,F04-07,Zareketh,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0121,F04-07,Zareketh,F04-08,Kestes,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0122,F04-10,Ossaes,F04-07,Zareketh,Ash Choir,Ash Choir,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Ash Choir gateway access
RT-0123,F04-08,Kestes,F04-09,Sorines,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0124,F04-09,Sorines,F04-10,Ossaes,Ash Choir,Ash Choir,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0125,F04-10,Ossaes,F04-11,Demeen,Ash Choir,Ash Choir,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0126,F04-10,Ossaes,F04-13,Yvenora,Ash Choir,Ash Choir,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Ash Choir gateway access
RT-0127,F04-10,Ossaes,F05-01,Yvenas,Ash Choir,Open Passage,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Refuge and rescue route
RT-0128,F04-11,Demeen,F04-12,Tavaeon,Ash Choir,Ash Choir,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0129,F04-12,Tavaeon,F04-13,Yvenora,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0130,F04-13,Yvenora,F04-14,Sorinin,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0131,F04-14,Sorinin,F04-15,Ulenes,Ash Choir,Ash Choir,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Ash Choir local continuity route
RT-0132,F05-01,Yvenas,F05-02,Kestion,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0133,F05-01,Yvenas,F05-04,Veyune,Open Passage,Open Passage,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Open Passage gateway access
RT-0134,F05-01,Yvenas,F05-07,Torener,Open Passage,Open Passage,cluster gateway spoke,damaged,0.5–2 days,1–6 days,deterministic gateway spoke,Open Passage gateway access
RT-0135,F05-01,Yvenas,F05-08,Dariniel,Open Passage,Open Passage,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Open Passage gateway access
RT-0136,F05-01,Yvenas,F05-10,Bexin,Open Passage,Open Passage,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Open Passage gateway access
RT-0137,F05-01,Yvenas,F05-11,Xaroan,Open Passage,Open Passage,cluster gateway spoke,stable,0.5–2 days,1–6 days,deterministic gateway spoke,Open Passage gateway access
RT-0138,F05-01,Yvenas,F05-13,Pavoorn,Open Passage,Open Passage,cluster gateway spoke,intermittent,0.5–2 days,1–6 days,deterministic gateway spoke,Open Passage gateway access
RT-0139,F05-15,Arelor,F05-01,Yvenas,Open Passage,Open Passage,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0140,F05-01,Yvenas,F06-10,Peraor,Open Passage,Red Wake,frontier regional,restricted,1–4 days,2–14 days plus authorization delay,cluster backbone,Mutual aid and armed route
RT-0141,F05-01,Yvenas,F15-05,Pavoos,Open Passage,Nine Doors,cross frontier,stable,2–8 days,5–30 days,cluster backbone,Alternative mutual-aid corridor
RT-0142,M03-09,Coras,F05-01,Yvenas,Ardis Reach,Open Passage,frontier bridge,restricted,1–5 days,3–18 days plus authorization delay,cluster backbone,Route-federation seed
RT-0143,F05-02,Kestion,F05-03,Veyeth,Open Passage,Open Passage,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0144,F05-03,Veyeth,F05-04,Veyune,Open Passage,Open Passage,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0145,F05-04,Veyune,F05-05,Caeler,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0146,F05-05,Caeler,F05-06,Galeniel,Open Passage,Open Passage,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0147,F05-06,Galeniel,F05-07,Torener,Open Passage,Open Passage,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0148,F05-07,Torener,F05-08,Dariniel,Open Passage,Open Passage,cluster local ring,damaged,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0149,F05-08,Dariniel,F05-09,Arelyr,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0150,F05-09,Arelyr,F05-10,Bexin,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0151,F05-10,Bexin,F05-11,Xaroan,Open Passage,Open Passage,cluster local ring,stable,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0152,F05-11,Xaroan,F05-12,Junoen,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
RT-0153,F05-12,Junoen,F05-13,Pavoorn,Open Passage,Open Passage,cluster local ring,intermittent,0.5–2.5 days,1–8 days,deterministic local ring,Open Passage local continuity route
