"slot_id","lineage_id","record_type","formal_code","working_name_en","working_name_ko","story_anchor","canon_basis_type","canon_basis_ref","first_reveal_window","reader_tier","role","silhouette_key","chassis_evidence","major_system_changes","scale_band","cradle_and_carrier","cooling_and_recovery","maintenance_band","primary_tool_or_weapon","tech_basis","discovery_clue","acquisition_gate","synergy_partner","completion_legacy","counter_collection_risk","loss_cost","evolution_relation","canon_status","name_clearance","canon_promotion"
"M-011","L03","CHASSIS_SLOT","HX/RC-18.C5","NACEL","나셀","HELIX_SERVICE_ECOLOGY_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:486","GA2","SUPPORT","recovery cooling and service relay","wide cell shoulders|open tool gap|low trapezoid pack","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|HEAT|WEAPON_SUPPORT","WORK_FRAME_PROPOSED","HELIX_SERVICE_BAY_PROPOSED|NOT_FIRST_SHIP_CARRIED","coolant bridge|facility winch recovery","CANON_4_12_EXACT_ROLE_HOLD","coolant hose bridge|recovery winch|relay mast","EXISTING_SERVICE_TOOLSET_PROPOSED","open tool gap shows this frame can service units others cannot","licensed toolchain|service technicians|coolant stock","HEXAR security|TESSAR interdiction","maintenance records become bargaining power across contracts","enemy captures technicians or poisons coolant inventory","support crew exposure|consumable depletion","INHERIT_HEXAR_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-012","L03","CHASSIS_SLOT","HX/EW-09.C5","KELTIS","켈티스","GA3_TECHNICAL_SEIZURE_SCENES","EXPLICIT_OPERATIONAL_FORCE_SLOT","docs/10_story_architecture/detail/ga3-e278-285-episode-cards-v1.md:150","GA3","SUPPORT","sensor quarantine and evidence capture","narrow hex head|shuttered chest cells|long inspection calves","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","HELIX_SENSOR_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","sensor-loop cooling|facility recovery cart","CANON_4_12_EXACT_ROLE_HOLD","quarantine sensors|evidence pod|light carbine","EXISTING_SENSOR_AND_CUSTODY_SET_PROPOSED","shuttered cells and evidence traffic signal a seizure team","chain-of-custody authority|data warrant|sensor calibration","HEXAR security|NACEL service","verified evidence can constrain both Helix and its opponents","forged custody chain|sensor spoofing","evidence corruption|low armor|contract dispute","INHERIT_HEXAR_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-013","L03","CHASSIS_SLOT","HX/BR-21.C6","TESSAR","테사르","GA5_COALITION_LINEAGE_ENSEMBLE","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:486","GA5","FRONT","high-license precision interdiction","compressed hex cells|forward tool shoulders|split lower legs","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|HEAT","STANDARD_9_14M_PROPOSED","HELIX_ELITE_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","high-grade coolant cassette|tender recovery","ABOVE_CANON_BASELINE_HOLD","precision capture blade|short carbine","EXISTING_PHYSICAL_CAPTURE_SET_PROPOSED","compressed cells reveal an expensive certification tier","top certification|dedicated tender|restricted parts","KELTIS target picture|NACEL cooling","captured license ledger reveals who was excluded from elite service","license theft|tender destruction|counterfeit calibration","extreme service cost|license revocation","INHERIT_HEXAR_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-014","L04","CHASSIS_SLOT","AD-WK-11.3","TORREL","토렐","GA3_ARDIS_WORK_FRAME_SCENES","EXPLICIT_INDIVIDUAL_FUNCTION","docs/10_story_architecture/detail/ga3-e236-240-episode-cards-v1.md:30","GA3","SUPPORT","exterior alignment and industrial work","low wedge head|horizontal shoulder beam|central maintenance bay","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","WORK_FRAME_PROPOSED","ARDIS_WORK_RIG_PROPOSED|NOT_FIRST_SHIP_CARRIED","site umbilical cooling|work-rig recovery","CANON_4_12_EXACT_ROLE_HOLD","alignment arms|umbilical clamps","EXISTING_INDUSTRIAL_TOOLSET_PROPOSED","damaged umbilical and workshop marks identify a working history","workshop assignment|civil certification|site rig","CENVAR relay|SOLVERN open-standard parts","repair history preserves worker skill rather than a hero trophy","enemy seizes workshop and training records","umbilical damage|operator injury|work stoppage","BASE_LINEAGE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-015","L04","CHASSIS_SLOT","AD-DF-14.2","BRAVIK","브라빅","GA3_ARDIS_DEFENSE_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/09_collection/ga3-collection-registry-v1.md:533","GA3","FRONT","local defense and police restraint","bridge chest|wide hip anchors|exchange armor blanks","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","STANDARD_9_14M_PROPOSED","ARDIS_LOCAL_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","workshop coolant loop|local tow recovery","CANON_4_12_EXACT_ROLE_HOLD","restraint carbine|barrier plate","EXISTING_CONVENTIONAL_SECURITY_SET_PROPOSED","lot-specific armor blanks expose which workshop built it","local council authority|militia training|lot-specific spares","TORREL work crews|DURAX anchor units","local standards remain contestable and repairable","rival workshops hide defects|militia captures lots","training variance|labor militarization|liability","INHERIT_TORREL_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-016","L04","CHASSIS_SLOT","AD-AN-16.1","DURAX","듀락스","GA3_COLONY_SIEGE_FUNCTIONS","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:607","GA3","SUPPORT","anchor cable and controlled breach","open chest bridge|oversize anchor ankles|short load arms","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|HEAT|WEAPON_SUPPORT","STANDARD_9_14M_PROPOSED","ARDIS_ENGINEERING_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","site-coupled cooling|engineering tow recovery","CANON_4_12_EXACT_ROLE_HOLD","anchor launcher|cable cutter|breach tool","EXISTING_PHYSICAL_ENGINEERING_SET_PROPOSED","anchor footprints reveal a siege tool before the chassis appears","site engineering team|anchor stock|structural map","BRAVIK defense|TORREL work frame","engineering logs prove whether a breach was necessary and repairable","enemy falsifies structural map|captures anchor stock","joint fatigue|collateral damage liability","INHERIT_TORREL_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-017","L04","CHASSIS_SLOT","AD-RL-09.4","CENVAR","센바르","GA5_FLEET_CONSTRUCTION_FUNCTIONS","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:607","GA5","SUPPORT","relay construction and damage control","open calf slots|service spine|folding scaffold arms","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|HEAT|CONTROL","WORK_FRAME_PROPOSED","FLEET_WORK_BAY_PROPOSED|NOT_FIRST_SHIP_CARRIED","relay coolant spool|work-tug recovery","CANON_4_12_EXACT_ROLE_HOLD","relay spool|sealant rig|light defense tool","EXISTING_SERVICE_TOOLSET_PROPOSED","folding scaffold arms mark fleet-building work","fleet works charter|repair crew|relay inventory","TORREL work teams|NACEL service frames","public relay maps and repair logs outlive one fleet","enemy poisons relay inventory|targets repair crew","slow combat mobility|crew and tool loss","INHERIT_TORREL_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-018","L05","CHASSIS_SLOT","NA-RS-8-06","ARVET","아르벳","GA2_NEUTRAL_RESCUE_NETWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","GA2","FRONT","civilian search shielding and tow","head inside collar|C-shoulder voids|central rescue channel","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","STANDARD_9_14M_PROPOSED","NEUTRAL_RESCUE_CRADLE_PROPOSED|EXTERNAL_NETWORK_NOT_FIRST_SHIP_CARRIED","civil rescue cooling|tow-frame recovery","CANON_4_12_EXACT_ROLE_HOLD","tow winch|debris cutter|physical debris shield","EXISTING_PHYSICAL_RESCUE_SET_PROPOSED","C-shaped rescue void appears in distress footage","member consent|rescue charter|medical stores","MENDRA medical frame|ROUNEL escort","rescued-person and refusal records define completion","enemy fakes distress calls|captures medical stores","capacity exhaustion|civilian trust loss","BASE_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-019","L05","CHASSIS_SLOT","NA-MD-5-03","MENDRA","멘드라","GA6_EVACUATION_DOCTRINE","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","GA6","SUPPORT","medical transfer and life-support bridge","sealed rescue torso|low center|dual patient cradle","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|COCKPIT_INTERFACE|ARMOR_SUPPORT","WORK_FRAME_PROPOSED","MEDICAL_TRANSFER_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","medical service loop|protected tow recovery","CANON_4_12_EXACT_ROLE_HOLD","life-support bridge|sterile manipulators","EXISTING_MEDICAL_SERVICE_SET_PROPOSED","dual patient cradle is visible before unit identity","medical authority|consumables|protected transfer corridor","ARVET tow|CENVAR damage control","patient outcomes and consent close the rescue record","enemy blocks transfer corridor|contaminates consumables","medical depletion|patient-risk accountability","INHERIT_ARVET_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-020","L05","CHASSIS_SLOT","NA-ES-11-02","ROUNEL","로우넬","GA5_NEUTRAL_CONVOY_FUNCTION","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","GA5","SUPPORT","escort inspection and corridor safety","protective octagon chest|broad forearms|folded rescue arms","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|WEAPON_SUPPORT","STANDARD_9_14M_PROPOSED","NEUTRAL_ESCORT_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","convoy coolant standard|escort tow recovery","CANON_4_12_EXACT_ROLE_HOLD","inspection array|restraint shield|light carbine","EXISTING_INSPECTION_AND_SECURITY_SET_PROPOSED","folded rescue arms distinguish escort from assault unit","neutral compact|inspection warrant|escort crew","ARVET rescue|NEVRIS or KELTIS sensor contrast","inspection precedents remain usable after the convoy","belligerents forge warrants|members withdraw support","limited heavy firepower|member withdrawal","INHERIT_ARVET_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-021","L06","CHASSIS_SLOT","BRN-17/B3","DELVRIK","델브릭","ERN_RESPONSE_FRAME_FUNCTION","EXPLICIT_INDIVIDUAL_FUNCTION","docs/05_characters/enemy-ace-e001-bible-v1.md:113","GA1_E21_E100","FRONT","Ern response anchor and record recovery","donor-frame scars|narrow thermal coat|asymmetric anchor side","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|HEAT","STANDARD_9_14M_PROPOSED","FRONTIER_ADAPTER_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","field radiator patch|cable recovery","CANON_4_12_EXACT_ROLE_HOLD","anchor cable|record recovery tools|compact gun","EXISTING_FRONTIER_TOOLSET_PROPOSED","peeled heat coat and anchor scar reveal Ern's repeated repairs","Ern pilot relation|frontier workshop|donor compatibility","KORVAN extraction|BRASK towing","repair and custody record preserve rival continuity","copy adapters fail|workshop or records captured","fatigue|ammunition mismatch|workshop loss","BASE_INDIVIDUAL_LINE","PROPOSED_EXPLICIT_SLOT","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-022","L06","CHASSIS_SLOT","BRN-21/B2","KORVAN","코르반","GA2_FRONTIER_CONVERSION_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:526","GA2","FRONT","ambush extraction and route denial","manual-link spine|offset armor blanks|long traction legs","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|PROPULSION|CONTROL","STANDARD_9_14M_PROPOSED","FRONTIER_ADAPTER_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","field coolant patch|manual tow recovery","CANON_4_12_EXACT_ROLE_HOLD","anchor cable|short rifle|extraction clamps","EXISTING_FRONTIER_COMBAT_SET_PROPOSED","manual backup link appears when network control fails","captured donor frame|local adapter|route knowledge","DELVRIK anchor|BRASK salvage","regional adapter knowledge remains distributed","enemy steals route map|adapter fatigue exploited","thermal fatigue|poor fleet compatibility","INHERIT_FRONTIER_METHOD","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-023","L06","CHASSIS_SLOT","BRN-33/B5","BRASK","브라스크","GA5_GA7_SALVAGE_ROUTE_FUNCTIONS","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:526","GA5_REUSE_GA7","SUPPORT","salvage breach and emergency towing","boxy donor torso|external braces|double anchor heels","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|HEAT|ARMOR_SUPPORT","HEAVY_14_20M_PROPOSED","TUG_BAY_OR_EXTERNAL_CLAMP_PROPOSED|NOT_FIRST_SHIP_CARRIED","tug coolant line|external tow recovery","ABOVE_CANON_BASELINE_HOLD","breach saw|tow bar|salvage charges","EXISTING_SALVAGE_TOOLSET_PROPOSED","external braces reveal cumulative donor history","salvage claim|heavy tug cradle|mixed spares","KORVAN extraction|CENVAR repair","claim and donor ledger determine legitimate salvage","claim fraud|charge stock captured|donor fatigue hidden","slow acceleration|structural fatigue|claim dispute","INHERIT_FRONTIER_METHOD","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-024","L07","CHASSIS_SLOT","CS-RD-19.2","DRASEL","드라셀","GA4_CONTINUITY_SECURITY_FRAMEWORK","GENERIC_FORCE_FRAMEWORK","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:684","GA4","FRONT","continuity rapid response and seizure","layered provenance plates|recessed sensor shutters|guarded ports","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","CONTINUITY_SECURE_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","secure service loop|custody-yard recovery","CANON_4_12_EXACT_ROLE_HOLD","seizure clamps|precision carbine|audit recorder","EXISTING_CUSTODY_AND_SECURITY_SET_PROPOSED","provenance plates disagree with current authority marks","continuity warrant|verified software|custody team","QUORIN interface|ORDRIC guard contrast","custody history exposes institutional fracture","warrant forgery|record deletion|maintenance staff coercion","authority split|record exposure|public backlash","BASE_LINEAGE","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
"M-025","L07","CHASSIS_SLOT","PS-S3-V12-D2","NALETH","날레스","GA8_PALIMPSEST_LOCAL_DEFENSE_FRAMEWORK","EXPLICIT_LINEAGE_GENERIC_MODEL","docs/07_military/grand-act-force-holdings-and-readiness-matrix-v1.md:402","GA8","FRONT","local exploration and provenance mapping","offset data spine|weathered provenance plates|wide ground feet","PROPOSED_NEW_LOAD_FRAME","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","STANDARD_9_14M_PROPOSED","LOCAL_SERVICE_CRADLE_PROPOSED|NOT_FIRST_SHIP_CARRIED","local coolant standard|ground or tow recovery","CANON_4_12_EXACT_ROLE_HOLD","mapping probes|local defense blade|seal kit","EXISTING_EXPLORATION_TOOLSET_PROPOSED","weathered plate layers reveal multiple local revisions","local consent|cultural interpreter|provenance map","QUORIN archive interface|ARVET rescue ethics","local provenance and refusal rights close the exploration record","outsiders erase local revisions|false translation","misinterpretation|local service dependency","LOCAL_FORK_NOT_DRASEL_SUCCESSOR","PROPOSED_GENERIC_FRAMEWORK","PENDING_MULTI_MARKET_CLEARANCE","NONE"
