"demand_slot","capacity_state","demand_anchor","role_tier","faction_ecology","ga_window","mission_domain","sample_slot_ref","canon_role_refs","operation_refs","reviewed_reuse_candidates","reuse_assessment","reuse_failure_type","manufacturing_scale","major_system_change_claim","story_status_policy","named_hull_policy","parent_formation_ecology","support_ecology","reuse_or_model_reason","count_decision","canon_status","temporal_compatibility","functional_compatibility","cradle_compatibility","cooling_recovery_compatibility","canon_role_quote_token","operation_quote_token"
"FD-011","BASE_MODEL_CANDIDATE","HELIX_RECOVERY_COOLING_SERVICE_RELAY","RECURRING_SUPPORT","HELIX","GA2_TO_GA10","RECOVERY_COOLING_RELAY","M-011","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:486","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:486","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|HEAT|WEAPON_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","HELIX_SERVICE_FORMATIONS","SERVICE_CRADLE|COOLANT|TOW","COOLANT_AND_RECOVERY_THROUGHPUT_REQUIRE_SERVICE_LOAD_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- facility defense, recovery, boarding, technical seizure and high-survivability specialist operations.","- facility defense, recovery, boarding, technical seizure and high-survivability specialist operations."
"FD-012","BASE_MODEL_CANDIDATE","HELIX_SENSOR_QUARANTINE_EVIDENCE_CAPTURE","CORE_ANTAGONIST_RIVAL","HELIX","GA3_TO_GA8","QUARANTINE_EVIDENCE_CAPTURE","M-012","docs/10_story_architecture/detail/ga3-e278-285-episode-cards-v1.md:150","docs/10_story_architecture/detail/ga3-e278-285-episode-cards-v1.md:150","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","HELIX_CERT_SOURCE_FORMATIONS","CERTIFIED_CRADLE|DATA_CUSTODY|RECOVERY","SEALED_SENSOR_AND_EVIDENCE_CUSTODY_REQUIRE_DISTINCT_LIMITED_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","1. **Converging units** — 4 Helix security frames and one armed tug approach; local sector deploys 6 security frames, 3 utility frames and one cutter outside the inhabited lane.","1. **Converging units** — 4 Helix security frames and one armed tug approach; local sector deploys 6 security frames, 3 utility frames and one cutter outside the inhabited lane."
"FD-013","BASE_MODEL_CANDIDATE","HELIX_HIGH_LICENSE_PRECISION_INTERDICTION","CORE_ANTAGONIST_RIVAL","HELIX","GA5_TO_GA9","PRECISION_INTERDICTION","M-013","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:486","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:486","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|CONTROL|HEAT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","HELIX_AND_CONTRACT_SOURCE_FORMATIONS","HIGH_LICENSE_SERVICE|COOLING|RECOVERY","PRECISION_INTERDICTION_AND_LICENSED_SUPPORT_REQUIRE_SEPARATE_LIMITED_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- facility defense, recovery, boarding, technical seizure and high-survivability specialist operations.","- facility defense, recovery, boarding, technical seizure and high-survivability specialist operations."
"FD-014","BASE_MODEL_CANDIDATE","ARDIS_EXTERIOR_ALIGNMENT_INDUSTRIAL_WORK","RECURRING_SUPPORT","ARDIS_LOCAL","GA3_TO_GA10","INDUSTRIAL_ALIGNMENT_WORK","M-014","docs/10_story_architecture/detail/ga3-e236-240-episode-cards-v1.md:30","docs/10_story_architecture/detail/ga3-e236-240-episode-cards-v1.md:30","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|CONTROL|COCKPIT_INTERFACE","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","JNT_ARD_LOCAL_POOLS","WORK_CRADLE|TOOLS|TOW","INDUSTRIAL_ALIGNMENT_LOAD_AND_TOOL_GEOMETRY_REQUIRE_WORK_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- 루마 펠 / Luma Pell — local utility-frame lead and exterior inspection operator.","- 루마 펠 / Luma Pell — local utility-frame lead and exterior inspection operator."
"FD-015","BASE_MODEL_CANDIDATE","ARDIS_LOCAL_DEFENSE_RESTRAINT_LINE","FACTION_SHARED","ARDIS_LOCAL","GA3_TO_GA10","LOCAL_DEFENSE_RESTRAINT","M-015","docs/09_collection/ga3-collection-registry-v1.md:536","docs/09_collection/ga3-collection-registry-v1.md:536","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","JNT_ARD_LOCAL_POOLS","LOCAL_CRADLE|AMMUNITION|RECOVERY","LOCAL_POLICING_RESTRAINT_AND_CIVIL_MAINTENANCE_REQUIRE_SERIES_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- Foundry/Transit/Custodian/Defense teams.","- Foundry/Transit/Custodian/Defense teams."
"FD-016","BASE_MODEL_CANDIDATE","ARDIS_ANCHOR_CABLE_CONTROLLED_BREACH","RECURRING_SUPPORT","ARDIS_LOCAL","GA3_TO_GA5","ANCHOR_CABLE_BREACH","M-016","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:607","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:607","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LIMITED_RUN","LOAD_FRAME|HEAT|WEAPON_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","JNT_ARD_LOCAL_POOLS","ANCHOR_RIG|ENGINEERS|RECOVERY","ANCHOR_LOAD_PATH_AND_ENGINEER_INTERFACE_REQUIRE_SEPARATE_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- service, node work, fixed defense and converted industrial mass supported by limited military specialists.","- service, node work, fixed defense and converted industrial mass supported by limited military specialists."
"FD-017","BASE_MODEL_CANDIDATE","FLEET_RELAY_CONSTRUCTION_DAMAGE_CONTROL","RECURRING_SUPPORT","ARDIS_LOCAL","GA5_TO_GA10","RELAY_CONSTRUCTION_DAMAGE_CONTROL","M-017","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:607","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:607","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|HEAT|CONTROL","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","JNT_FLEET_DECLARED_SOURCES","SERVICE_CRADLE|RELAY_PARTS|TOW","CONSTRUCTION_AND_DAMAGE_CONTROL_TOOLING_REQUIRE_SERVICE_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- service, node work, fixed defense and converted industrial mass supported by limited military specialists.","- service, node work, fixed defense and converted industrial mass supported by limited military specialists."
"FD-018","BASE_MODEL_CANDIDATE","NEUTRAL_CIVIL_SEARCH_SHIELD_TOW","RECURRING_SUPPORT","NEUTRAL_PUBLIC","GA2_TO_GA10","SEARCH_SHIELD_TOW","M-018","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","NEUTRAL_RESCUE_SOURCE_FORMATIONS","RESCUE_CRADLE|MEDICAL|TOW","CIVIL_SEARCH_AND_TOW_SAFETY_REQUIRE_PUBLIC_SERIES_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- rescue, inspection, docking security and boarding defense.","- rescue, inspection, docking security and boarding defense."
"FD-019","BASE_MODEL_CANDIDATE","GA6_MEDICAL_TRANSFER_LIFE_SUPPORT","RECURRING_SUPPORT","NEUTRAL_PUBLIC","GA6_TO_GA10","MEDICAL_TRANSFER","M-019","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","LOW_VOLUME_SERIES","LOAD_FRAME|COCKPIT_INTERFACE|ARMOR_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","FRONT_CANDIDATE","NEU_MED_AND_JNT_ORP_SOURCES","MEDICAL_CRADLE|LIFE_SUPPORT|RECOVERY","CLINICAL_TRANSFER_AND_LIFE_SUPPORT_REQUIRE_DEDICATED_SERVICE_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- rescue, inspection, docking security and boarding defense.","- rescue, inspection, docking security and boarding defense."
"FD-020","BASE_MODEL_CANDIDATE","NEUTRAL_ESCORT_INSPECTION_CORRIDOR","FACTION_SHARED","NEUTRAL_PUBLIC","GA5_TO_GA10","ESCORT_INSPECTION_CORRIDOR","M-020","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","docs/07_military/military-doctrine-and-force-structure-bible-v1.md:566","PARENT_OR_EXISTING_LINEAGE_FROM_INDEX","PHASE1_SAMPLE_REQUIRES_CHASSIS_GATE","PROPOSED_LOAD_FRAME_PLUS_TWO_MAJOR_SYSTEMS","HIGH_VOLUME_SERIES","LOAD_FRAME|CONTROL|WEAPON_SUPPORT","HULL_INSTANCE_LEDGER_ONLY","BACKGROUND_MODEL","NEUTRAL_AND_ROUTE_SOURCE_FORMATIONS","STANDARD_CRADLE|INSPECTION|RECOVERY","INSPECTION_AUTHORITY_AND_ESCORT_ENDURANCE_REQUIRE_SERIES_FRAME","PROVISIONAL_MODEL_SLOT","PROPOSED_NONCANON_MAPPING","CANDIDATE_REVEAL_MATCHES_DEMAND","CANDIDATE_REQUIRES_CHASSIS_GATE","CANDIDATE_CRADLE_PROOF_IN_INDEX","CANDIDATE_COOLING_PROOF_IN_INDEX","- rescue, inspection, docking security and boarding defense.","- rescue, inspection, docking security and boarding defense."
