"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","crew","endurance","yard_dependency","frame_capacity","signature","first_scene","texture_status"
"S-011","시그눔","GA5","","GA9","FLT-02 군단 선봉 모함이 제국 물량의 얼굴이 된다","36기 정원이 보급 없이는 무의미하다","모함을 잃으면 기체 36기가 갈 곳을 잃는다","NONE","[ASSUMPTION] 96명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 50일 — 36기분 보급이 한계 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","함대급 야드","CV 계전모함 — 크레이들 24–36기, 모듈 4칸","","","PENDING_SCENE"
"S-012","켄소르","GA3","","GA8","감찰 파견이 백색 도크 봉쇄의 집행자가 된다","감찰 권한 밖에서는 아무 힘이 없다","감찰을 명분으로 사실상 점거한다","NONE","[ASSUMPTION] 감찰관 포함 24명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 65일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 야드","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-013","피데스","GA2","","GA7","이름과 행동의 괴리가 제국의 성격을 개막에 보인다","구형이라 후반 함대전에서 도태된다","신의를 이름에 걸고 배신한다","NONE","[ASSUMPTION] 35명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 55일 — 구형이라 여유 적음 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","구형 부품 취급 야드가 줄고 있음","DE 구축함 — 크레이들 2기, 모듈 2칸","","","PENDING_SCENE"
"S-014","발룸","GA5","","GA10","FLT-03 크라운 가드 기함이 왕실 최후 방어선이 된다","왕실을 지키느라 다른 전선을 못 돕는다","왕실 방어를 이유로 시민 방어를 포기한다","M-011","[ASSUMPTION] 52명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 80일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","왕실 전용 야드","LN 전열함 — 크레이들 4기, 모듈 2칸","","","PENDING_SCENE"
"S-015","쿠르수스","GA5","","GA9","항로 차단 전담이 통행을 무기로 만든다","차단은 아군 항로도 막는다","민간 항로 차단은 포위와 같다","NONE","[ASSUMPTION] 30명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 85일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 야드","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-016","스타티오","GA6","","GA9","피난선단 통과를 거부당하는 배가 오르페우스 선택의 반대편을 보인다","수송선이라 자위력이 없다","통과 거부의 실무 집행자가 된다","M-015","[ASSUMPTION] 16명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 110일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","일반 상용 야드","TR 수송선 — 크레이들 0기, 모듈 8칸","","","PENDING_SCENE"
"S-017","노벰","GA7","","GA10","항로전 초계가 아홉 번째 건조 블록의 표준을 보인다","초계 범위가 좁아 빈틈이 생긴다","빈틈을 알면 그 구간이 공격받는다","NONE","[ASSUMPTION] 21명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 70일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 야드","DE 구축함 — 크레이들 2기, 모듈 2칸","","","PENDING_SCENE"
"S-018","프라이토르","GA7","","GA10","피의 제독 부재 상태의 지휘 공백을 드러낸다","30기 정원에 지휘관이 없다","공백을 메우려는 자들이 서로 싸운다","M-004","[ASSUMPTION] 78명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 60일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","함대급 야드","CV 계전모함 — 크레이들 24–36기, 모듈 4칸","","","PENDING_SCENE"
"S-019","살루스","GA6","","GA9","제국 의무선의 구조 대상 선별이 쟁점이 된다","1기 탑재, 5모듈이라 대량 구조가 불가능하다","선별 기준이 곧 누가 죽을지의 결정이다","M-019","[ASSUMPTION] 구조반 포함 33명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 50일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","의료·구조 인증 항만","MD 의무선 — 크레이들 1기, 모듈 5칸","","","PENDING_SCENE"
"S-020","파스티","GA8","","GA10","기록전의 제국 측 조사선이 진실 경합의 한 축이 된다","조사 결과가 제국 이익에 묶인다","조사를 가장한 증거 인멸","M-008","[ASSUMPTION] 조사관 포함 29명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 75일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 야드","SV 측량·조사선 — 크레이들 1기, 모듈 4칸","","","PENDING_SCENE"
"S-021","아퀼로","GA9","","GA10","보존 체제 집행 전열함이 보존의 폭력성을 실체화한다","집행 명분 없이는 움직일 수 없다","보존을 명분으로 지역을 굴복시킨다","M-018","[ASSUMPTION] 58명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 70일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","제국 야드","LN 전열함 — 크레이들 4기, 모듈 2칸","","","PENDING_SCENE"
"S-022","스프라기스","GA2","","GA8","인장·봉인 검사선이 첫 인증 갈등을 몰고 온다","검사 권한이 계약 구역에 한정된다","봉인 권한으로 정당한 운항을 막는다","M-016","[ASSUMPTION] 검사원 포함 18명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 60일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 계약 야드 전용","CT 인증·검사선 — 크레이들 2기, 모듈 4칸","","","PENDING_SCENE"
"S-023","메트론","GA3","","GA9","규격 검사가 비인증 부품을 거부해 자립을 막는다","검사 통과 없이는 항로 접근이 막힌다","검사 기준을 자의적으로 적용한다","M-016","[ASSUMPTION] 20명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 65일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 계약 야드","CT 인증·검사선 — 크레이들 2기, 모듈 4칸","","","PENDING_SCENE"
"S-024","트로코스","GA3","","GA9","헬릭스 계약 정비선이 종속의 편리함을 보인다","계약 해지 시 정비가 끊긴다","정비 중단으로 상대를 굴복시킨다","M-016","[ASSUMPTION] 정비반 포함 44명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 90일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 계약 — 해지 시 정비 중단","TD 공작·정비선 — 크레이들 4기 (정비 전용), 모듈 6칸","","","PENDING_SCENE"
"S-025","카논","GA5","","GA9","FLT-05 헬리오스 야드 방위가 기업의 무력을 드러낸다","야드 밖 방위 의무가 없다","계약 구역만 지켜 나머지를 방치한다","NONE","[ASSUMPTION] 야드 상주 120명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 고정 시설 — 지속 개념 없음 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","자체가 야드","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-026","호로스","GA5","","GA10","경계표 측량이 관할 분쟁의 근거를 만든다","측량은 합의 없이는 효력이 없다","일방 측량으로 관할을 선점한다","NONE","[ASSUMPTION] 측량반 포함 23명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 95일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 교정 시설","SV 측량·조사선 — 크레이들 1기, 모듈 4칸","","","PENDING_SCENE"
"S-027","아날렘마","GA6","","GA10","계약 의무선의 지불 능력이 구조 순서를 정한다","지불 불능자는 후순위다","돈이 생존 순서를 정한다","M-019","[ASSUMPTION] 17명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 80일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 계약 야드","MD 의무선 — 크레이들 1기, 모듈 5칸","","","PENDING_SCENE"
"S-028","파라곤 코드","GA8","","GA10","팰림프세스트 기록 압수의 집행자가 된다","압수 권한이 관할 밖에서는 무효다","압수를 가장해 기록을 독점한다","M-008","[ASSUMPTION] 집행반 포함 36명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 70일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 계약 야드","CT 인증·검사선 — 크레이들 2기, 모듈 4칸","","","PENDING_SCENE"
"S-029","페리오도스","GA9","","GA10","완전 항로 주기 운용이 보존 체제의 효율을 보인다","주기가 깨지면 전 노선이 밀린다","효율을 이유로 예외를 없앤다","M-018","[ASSUMPTION] 25명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 정기 순환 — 주기가 깨지면 전 노선 지연 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","헬릭스 계약 야드","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-030","나글리","GA2","","GA8","리벳 자국이 이름이 된 재조립 초계정","선체 이력이 뒤섞여 신뢰성이 낮다","이력 위조로 사고 책임을 회피한다","NONE","[ASSUMPTION] 13명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 55일 — 선체 이력이 뒤섞여 예측 불가 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","규격 외라 변경 공방만","FR 프리깃·초계 — 크레이들 1기, 모듈 1칸","","","PENDING_SCENE"
"S-031","하프니르","GA3","","GA10","변경 정박·수리 거점선이 자립 정비망의 결절이 된다","고정 거점이라 표적이 된다","거점을 잃으면 지역 전체가 정비 불능이 된다","NONE","[ASSUMPTION] 거점 상주 80명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 고정 거점 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","자체 정비 가능하나 표적이 됨","TD 공작·정비선 — 크레이들 4기 (정비 전용), 모듈 6칸","","","PENDING_SCENE"
"S-032","에이드르","GA4","","GA9","서약으로만 굴러가는 승조원이 변경의 결속을 보인다","서약이 깨지면 함이 즉시 해체된다","서약을 강요하면 노예 계약이 된다","NONE","[ASSUMPTION] 서약자 27명 — 서약 파기 시 즉시 해체 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 70일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","변경 공방","DE 구축함 — 크레이들 2기, 모듈 2칸","","","PENDING_SCENE"
"S-033","베트르","GA5","","GA9","겨울 항로 전담 용병 순양함이 계약 전투의 얼굴이 된다","보수 미지급 시 즉시 이탈한다","돈으로 편이 바뀐다","NONE","[ASSUMPTION] 고용 34명 — 보수 미지급 시 이탈 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 65일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","보수 지급 항만이면 어디든","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-034","스쿠타","GA5","","GA9","소형 강습·구난이 변경의 기동을 만든다","항속이 짧아 작전 범위가 좁다","구난선을 강습에 쓰면 구난 표식이 무의미해진다","NONE","[ASSUMPTION] 15명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 35일 — 항속이 짧음 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","변경 공방","FR 프리깃·초계 — 크레이들 1기, 모듈 1칸","","","PENDING_SCENE"
"S-035","나우스트","GA6","","GA10","피난 수송의 정원 초과가 오르페우스의 실무 형태가 된다","정원 초과는 생명유지 한계를 넘는다","더 태우려다 전원을 잃는다","M-015","[ASSUMPTION] 승조 20명 + 수용 정원 별도 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 40일 — 생명유지가 한계 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","변경 공방","TR 수송선 — 크레이들 0기, 모듈 8칸","","","PENDING_SCENE"
"S-036","바우타","GA7","","GA10","기념석이라는 이름의 노후 모함이 변경 항공력의 한계를 보인다","24기 정원에 정비 능력이 못 미친다","노후를 숨기고 작전에 투입한다","NONE","[ASSUMPTION] 70명 — 24기분 정비 인력에 못 미침 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 60일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","대형 야드 필요하나 변경에 부족","CV 계전모함 — 크레이들 24–36기, 모듈 4칸","","","PENDING_SCENE"
"S-037","그린드","GA8","","GA10","관문 차단이 기록 접근을 물리적으로 막는다","차단은 양방향이라 아군도 못 지난다","의료·구조까지 함께 막힌다","M-008","[ASSUMPTION] 32명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 75일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","변경 공방","DE 구축함 — 크레이들 2기, 모듈 2칸","","","PENDING_SCENE"
"S-038","스코라","GA9","","GA10","보존 체제 이탈 세력의 순양함이 저항의 실체가 된다","보급이 끊긴 채 싸운다","이탈을 반란으로 규정해 진압 명분이 된다","M-018","[ASSUMPTION] 41명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 보급 두절 상태 운용 — 잔량이 곧 작전 한계 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","정비 기항 없음","CR 순양함 — 크레이들 6기, 모듈 3칸","","","PENDING_SCENE"
"S-039","브림","GA10","","GA10","이양기 지역 정비 거점이 자립의 마지막 조건이 된다","한 지역만 감당할 수 있다","거점 배분이 곧 지역 간 불평등이 된다","M-017","[ASSUMPTION] 38명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 80일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","복원기 신설 야드","TD 공작·정비선 — 크레이들 4기 (정비 전용), 모듈 6칸","","","PENDING_SCENE"
"S-040","얄나","GA10","","GA10","마지막 자율 전선의 초계정이 이양 이후의 일상을 보인다","작아서 상징 이상의 힘이 없다","상징을 앞세워 실제 방어를 미룬다","M-017","[ASSUMPTION] 11명 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 45일 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","소형 항만","FR 프리깃·초계 — 크레이들 1기, 모듈 1칸","","","PENDING_SCENE"
"S-101","보루의 맹세","GA5","","GA6","아르도 레브의 지휘순양함. 상징 기함이 살아남지 못하고 지휘 전통만 다른 배로 이어진다","상실이 이미 잠겨 있다. 회피 서사를 쓸 수 없다","기함의 상실을 영웅적 희생으로만 소비하면 승조원의 죽음이 배경이 된다","NONE","[ASSUMPTION] 정원 기록만 남음 — 상실이 잠겨 있음 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 해당 없음 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","해당 없음","CR 순양함 — 크레이들 6기, 모듈 3칸 · 손실 시점 편성 기록만 보존","","","CANON_LOSS_LOCKED"
"S-102","온기","GA6","","GA6","오르페우스 의무모함. 민간 분리를 지키면서 선체·승조원 70~90%를 잃는다","의무선이라 반격이 불가능하다. 지키려면 다른 것을 포기해야 한다","구조 실패를 수치로만 처리하면 구조 대상이 통계가 된다","M-015","[ASSUMPTION] 의무진 포함 정원 — 반격 불가 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","[ASSUMPTION] 해당 없음 — 개별 선체 정본 없음, 급수 문법에서 세운 작업 가정","해당 없음","MD 의무선 — 크레이들 1기, 모듈 5칸 · 손실 시점 편성 기록만 보존","","","CANON_LOSS_LOCKED"
