"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","ammunition","certification","resupply","service_interval","signature","first_scene","texture_status"
"WA-016","브로케","GA5","","GA9","계약 호위의 표준 탄두","계약 조건이 사용 허가를 정한다","계약 해지가 곧 무장 해제다","NONE","계약 조건이 발사 수를 정함 — 통상 40발","계약사 인증. 계약이 끝나면 물건이 남아도 쓸 수 없다","계약사 전용 보급, 타사 탄 사용 시 계약 위반","계약사 정비원만 접근 가능","","","PENDING_SCENE"
"WA-017","레근","GA5","","GA9","재장전 못 하는 일회성 화력이 변경의 도박을 표현한다","한 번 쓰면 끝이다","다 쓰고 나면 무방비가 된다","NONE","일회성. 발사 후 발사관째 버린다","변경 자체 인증 — 일회성이라 갱신 개념이 없다","변경 공방. 함당 배정 수량이 고정된다","일회성이라 정비 개념이 없다","","","PENDING_SCENE"
"WA-018","스피쿨라","GA2","","GA7","제국 함의 표준 방어 클러스터","사거리가 짧아 원거리 포화에 무력하다","방어 실패가 곧 승조원 전멸이다","NONE","탄약 없음. 조사 지속시간이 자원이며 연속 교전 후 냉각까지 사격 불가","제국 함 표준 방어 사양. 함 인증에 포함돼 단독 인증이 없다","전력 의존. 소모품은 광학창뿐이고 제국 야드에서 교체한다","광학면 손상 누적 — 조사 시간 기준으로 창을 간다","","","PENDING_SCENE"
"WA-019","아키스","GA5","","GA9","야드 방위 계약 사양이 인증권의 군사력을 드러낸다","계약 구역 밖에서는 쓸 수 없다","계약서가 방어 여부를 정한다","NONE","탄약 없음. 계약이 정한 조사 시간 한도 안에서만 쓴다","헬릭스 야드 방위 계약 사양. 계약 구역 밖에서는 인증이 없다","전력 의존. 광학 부품은 계약사 공급만 허용된다","계약사 지정 주기로 광학 정렬을 다시 잡는다","","","PENDING_SCENE"
"WA-020","스나르","GA5","","GA9","출력 부족한 재조립품이 변경 함대의 실상을 보인다","요격률이 낮아 소모가 크다","성능을 과장해 팔 수 있다","NONE","탄약 없음. 출력이 부족해 같은 표적에 더 오래 조사해야 하고 그만큼 노출된다","재조립품이라 인증이 없다. 변경 자체 기준으로도 미달이다","전력 의존. 광학 부품을 노획·재생으로 조달한다","재조립 광학이라 정렬이 자주 틀어진다","","","PENDING_SCENE"
"WA-021","그란도","GA2","","GA7","종말 요격 표준","탄약 소모가 극심해 지속 시간이 짧다","탄이 떨어진 함을 알면 집중 공격을 부른다","NONE","종말 요격탄 연사. 삼십 초면 탄창을 비우고 파편이 아군 사선에 남는다","제국 함 표준 요격 사양","제국 보급창. 소모량이 함대 보급 계획을 지배한다","총열 과열로 정기 교체, 파편 회수는 별도 작업","","","PENDING_SCENE"
"WA-022","칼라자","GA5","","GA9","같은 기능 다른 인증 체계가 호환 문제를 만든다","제국 탄약과 호환되지 않는다","혼용하면 급탄 불량이 난다","M-016","요격탄 연사. 제국 탄과 호환되지 않아 잔탄이 곧 한계다","헬릭스 인증 — 같은 기능, 다른 인증 체계다","헬릭스 계약 보급 전용","헬릭스 정비원만 총열에 접근할 수 있다","","","PENDING_SCENE"
"WA-023","그니스트","GA6","","GA10","탄약 수급이 곧 전투 지속시간임을 보인다","보급이 끊기면 즉시 무력화된다","보급선을 끊는 것이 함을 잡는 방법이 된다","NONE","탄약 수급이 곧 전투 지속시간이다. 자체 비축분이 끊기면 즉시 침묵한다","변경 자체 인증","변경 공방. 보급선이 끊기면 대체 경로가 없다","보급 주기와 정비 주기가 사실상 같다","","","PENDING_SCENE"
"WA-024","풀멘","GA4","","GA9","제국 전열함 주포가 계승 분쟁의 무게를 준다","충전 중 기동이 제한된다","시설을 겨누면 도시가 사라진다","NONE","전자기 발사체. 충전에 삼 분, 그동안 기동이 제한되고 레일이 마모된다","제국 전열함 주포. 함 인증에 포함된다","발사체는 제국 보급창, 레일은 야드 교체 항목이다","레일 마모가 수명을 정한다 — 발사 수로 교체 시점을 센다","","","PENDING_SCENE"
"WA-025","필룸","GA5","","GA9","구역거부 사양이 항로를 물리적으로 닫는다","닫은 구역은 아군도 못 쓴다","민간 항로를 닫아 굶길 수 있다","NONE","구역거부 발사체. 살포한 구역은 아군 항로도 함께 닫힌다","구역 통제 권한자의 동의가 인증을 대신한다","제국 보급창 + 사용 신고","살포기 세정과 레일 점검이 매 회 필요","","","PENDING_SCENE"
"WA-026","스타디온","GA5","","GA9","사거리 인증 등급이 곧 상품명이 되는 세계를 보인다","인증 등급을 넘어 쓰면 보증이 무효다","등급을 위조해 판매할 수 있다","M-016","사거리 인증 등급이 곧 상품명이라 등급 밖 장약을 쓰면 보증이 사라진다","헬릭스 인증. 등급 갱신이 사용 조건이다","헬릭스 계약 보급","등급 갱신 시점이 정비 시점이다","","","PENDING_SCENE"
"WA-027","트루마","GA7","","GA9","항로전 노획 개조가 변경의 화력이 된다","원 진영 사격통제와 연동되지 않는다","오발로 아군을 친다","NONE","노획 개조품이라 발사체 규격이 뒤섞이고 사격통제가 연동되지 않는다","원 진영 인증이며 노획한 쪽에서는 무효다","정규 보급 없음. 노획분으로만 쏜다","부품 조달이 안 돼 소모품처럼 쓰고 버린다","","","PENDING_SCENE"
"WA-028","야쿨룸","GA5","","GA9","장거리 주력 탄두가 함대전의 거리를 정한다","비싸고 재고가 곧 전략이다","재고를 알면 상대가 시간을 끈다","NONE","장거리 탄두. 고가라 재고 자체가 전략이 된다","제국 인증에 재고 보고 의무가 붙는다","생산량이 적어 배정이 곧 정치다","발사관 정밀 검사를 매 발사 후 한다","","","PENDING_SCENE"
"WA-029","드로모스","GA5","","GA9","계약 보급에 묶인 탄종이 종속을 드러낸다","계약 밖에서는 재보급이 없다","계약 해지로 함대를 세울 수 있다","NONE","계약이 정한 탄종만 쓴다. 계약 밖에서는 재보급이 없다","헬릭스 인증","헬릭스 계약 보급 전용","헬릭스 정비 일정에 종속된다","","","PENDING_SCENE"
"WA-030","플레인","GA6","","GA10","유도부만 바꿔 쓰는 혼종이 변경의 창의를 보인다","신뢰성이 낮아 불발률이 높다","불발탄이 잔해장에 남아 사고를 낸다","NONE","유도부만 바꿔 쓰는 혼종이라 불발률이 높다","변경 자체 인증. 정식 인증은 못 받았다","변경 공방. 유도부와 탄체를 따로 구한다","불발탄 처리가 정비의 절반을 차지한다","","","PENDING_SCENE"
"WA-031","18칸 랙","GA6","","GA10","탄종 무관 발사대가 개방규격의 원칙을 무장에 적용한다","전용 발사대보다 정밀도가 낮다","무엇이든 실을 수 있다는 것은 금지된 것도 실린다는 뜻이다","M-016","18칸 랙, 탄종 무관. 재장전에 도크가 필요하다","개방규격 자율 인증 — 발사대만 개방이고 탄은 각자다","랙 단위 교체, 탄은 어느 계열이든 들어간다","랙 결합부를 매 출격 전 확인한다","","","PENDING_SCENE"
"WA-032","비길리아","GA5","","GA9","체공 감시 겸 타격이 정보와 폭력의 경계를 흐린다","체공 시간이 곧 노출 시간이다","감시 명목으로 상시 타격 태세를 유지한다","NONE","체공 소모형. 연료가 곧 탄약, 체공 40분","감시 장비로 인증돼 무장으로 신고되지 않는다","회수 성공 시 재사용, 실패 시 전손","회수 후 전기계통 점검","","","PENDING_SCENE"
"WA-033","에포케","GA7","","GA10","판단을 유예시키는 계전 탄약이 전투를 지연으로 바꾼다","유예일 뿐 해결이 아니다","협상 중에도 압력으로 쓸 수 있다","NONE","유예탄 4발 — 지연만 걸고 무력화 못 함","비살상으로 분류돼 사용 신고 의무가 없다","보급 용이하나 효과 제한적","간단, 200회 사용 후 점검","","","PENDING_SCENE"
"WA-034","루라","GA7","","GA10","항로 매복용이 변경의 비대칭 전술을 만든다","설치 후 회수가 어렵다","전쟁이 끝나도 항로에 남는다","NONE","설치형 20기, 설치 후 회수 어려움","구역 통제 권한이 있어야 설치 자체가 합법이다","설치 물량이 곧 작전 규모","미회수분이 사후 부담으로 남음","","","PENDING_SCENE"
"WA-035","라디우스","GA6","","GA10","제국 하전입자 계열이 후반 화력의 상한을 정한다","대기·차폐에 약하고 열이 극심하다","민간 구조물 관통 시 2차 피해가 통제되지 않는다","NONE","탄약 없음. 조사할수록 열이 쌓이고 신호가 멀리서 보인다","제국 하전입자 계열. 출력 상한 규제를 받는다","전력 의존. 소모품은 방열부다","방열부가 병목 — 조사 횟수로 교체 시점을 센다","","","PENDING_SCENE"
"WA-036","포티아","GA8","","GA10","고인증 정밀 빔이 기록전의 외과적 타격을 가능하게 한다","인증된 사수만 운용 가능하다","정밀하다는 이유로 암살에 쓰인다","NONE","탄약 없음. 정밀 빔이라 조사 중 자세를 유지해야 하고 그동안 위치가 드러난다","헬릭스 고인증 사양. 인증받은 사수만 계통이 허용한다","전력 의존. 광학·집속부는 헬릭스 계약 공급","집속부 정렬을 헬릭스 정비원이 잡는다","","","PENDING_SCENE"
"WA-037","칸델라","GA9","","GA10","보존 체제 집행 화력이 보존의 폭력성을 드러낸다","집행 권한 없이는 발사 자체가 불법이다","보존을 명분으로 저항을 지운다","M-018","탄약 없음. 집행 화력이라 조사 자체가 법적 행위로 기록된다","보존 체제 집행 권한 인증. 권한 없이 쏘면 발사가 곧 불법이다","전력 의존. 집행 기관이 계통 접근을 관리한다","발사 기록과 정비 기록이 함께 감사받는다","","","PENDING_SCENE"
"WA-038","스피나","GA5","","GA9","쏘면 위치가 드러나는 척추포가 결정의 무게를 만든다","발사 후 재충전 동안 무방비다","한 발로 결판내려다 함을 잃는다","NONE","탄약 없음. 한 번 쏘면 재충전 구십 초 동안 무방비이며 쏜 순간 위치가 드러난다","제국 전열함 척추 사양. 함 인증에 포함된다","전력 의존. 축전부가 소모품이다","축전부 충방전 횟수로 교체한다","","","PENDING_SCENE"
"WA-039","악손","GA9","","GA10","최후 중앙 함대 사양이 체제의 마지막 화력이 된다","전열함 한 척에 하나뿐이다","이 무기의 존재가 협상을 불가능하게 만든다","NONE","탄약 없음. 전열함 한 척에 하나뿐이라 잃으면 대체가 없다","헬릭스 최후 중앙 함대 사양","함과 함께 운용되며 별도 보급 개념이 없다","함 정기 검사에 포함된다","","","PENDING_SCENE"
"WA-040","실렌티움","GA3","","GA8","통신 차단이 법적 책임을 동반한다는 것을 보인다","차단 구역 안의 구조 요청도 끊긴다","구조 신호를 끊어 죽게 둘 수 있다","M-019","차단 유지형. 가동 중 전력 상시 소모","통신 차단 권한이 인증을 대신한다","전력 의존, 소모품 없음","차단 해제 후 계통 재동기화 필요","","","PENDING_SCENE"
"WA-041","아파시아","GA7","","GA10","인증 체계 자체를 마비시켜 규격 세계의 취약점을 드러낸다","아군 인증도 함께 마비된다","의료·구조 인증까지 끊긴다","M-016","인증 마비형. 1회 살포로 구역 전체","전자전 장비로 아군 피해 신고 의무가 붙는다","살포체 제한 배급","살포 후 자기 계통도 재인증 필요","","","PENDING_SCENE"
"WA-042","오블리비오","GA8","","GA10","기록 접근을 끊는 무기가 기록전의 본질을 보인다","끊긴 접근은 복구에 오래 걸린다","사람의 존재 증명을 끊을 수 있다","M-018","접근 차단형. 유지에 지속 전력","전자전 장비 인증","전력 의존","복구 시간이 길어 재사용 간격이 큼","","","PENDING_SCENE"
"WA-043","클라우스트라","GA7","","GA10","항로 봉쇄 장약이 통행을 정치로 만든다","봉쇄 해제에 봉쇄보다 오래 걸린다","민간 항로 봉쇄는 봉쇄가 아니라 포위다","NONE","봉쇄 설치형. 해제에 설치보다 오래 걸림","봉쇄 권한 인증이 없으면 설치가 곧 불법 봉쇄다","설치 물량 확보가 작전 전제","해제 작업이 정비보다 큰 부담","","","PENDING_SCENE"
"WA-044","스텡슬","GA9","","GA10","놓는 비용보다 거두는 비용이 큰 거부 장약","전쟁이 끝나도 남아 사고를 낸다","전후에 민간인이 밟는다","NONE","잔류형. 전후에도 작동 상태로 남음","설치자 책임이 무기한으로 남는 전후 처리 의무 대상이다","설치는 쉽고 회수 계획은 없음","미회수분 사고가 수십 년 뒤 발생","","","PENDING_SCENE"
