"slot_id","basis_support_scope","basis_quote_token","tech_basis_ref","tech_support_scope","tech_quote_token"
"M-026","CONTINUITY_FRAME_ROLE_FAMILY_ONLY_INTERFACE_CHASSIS_PROPOSED","networked point defense","docs/07_military/weapons-sensors-acceleration-calibration-v1.md:114","CATEGORY_ONLY_NOT_EXACT_LOADOUT","physical tag/boarding sensor"
"M-027","AXIOM_EXPLICITLY_ABSENT_FROM_EFFECTIVE_CANON","does not currently appear","HOLD","HOLD_NEW_TECH_AND_WEAPON_APPROVAL","HOLD"
"M-028","NAMING_EXAMPLE_ONLY_NO_STORY_OR_TECH_BASIS","baseline","HOLD","HOLD_NEW_TECH_AND_WEAPON_APPROVAL","HOLD"
"M-029","GENERIC_TRAINING_FUNCTION","training","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-030","GENERIC_RECOVERY_FUNCTION","recovery","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-031","GENERIC_FORCE_PRESENCE","guard","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-032","GENERIC_FORCE_PRESENCE","escort","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-033","GENERIC_SECURITY_FUNCTION","crowd","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-034","EXPLICIT_CERTIFICATION_FUNCTION","certification","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-035","GENERIC_CONVOY_FUNCTION","convoy","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-036","EXPLICIT_EVACUATION_FUNCTION","evacuation","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-037","GENERIC_INDUSTRIAL_FUNCTION","parts","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-038","GENERIC_CIVIL_SERVICE_FUNCTION","service","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-039","EXPLICIT_MEDICAL_FUNCTION","medical","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-040","EXPLICIT_QUARANTINE_FUNCTION","quarantine","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-041","EXPLICIT_CAPTURE_FUNCTION","capture","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-042","GENERIC_SALVAGE_FUNCTION","salvage","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-043","GENERIC_PATROL_FUNCTION","route","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-044","EXPLICIT_AUDIT_FUNCTION","audit","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-045","GENERIC_LOCAL_DEFENSE_FUNCTION","defense","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
"M-046","EXPLICIT_RECORD_CONTROL_FUNCTION","record","docs/06_hardware/first-frame-bible-v1.md:100","EXACT_EXISTING_07_TOOL_CAPABILITY","cutting"
