"system_id","reader_name","macroregion","cluster","primary_node","registered_population_millions","specialisation_1","specialisation_2","governance_r0","route_profile","ga10_transition_seed","protected_continuity_note"
"SYS-019","","Core","CO-C03","L1","1000","archive","law","imperial_direct","trunk_dense","PENDING",""
"SYS-020","","Core","CO-C04","L1","1000","relay_trunk","transit","imperial_direct","trunk_dense","PENDING",""
"SYS-021","","Core","CO-C01","L1","1000","administration","finance","imperial_direct","trunk_dense","PENDING",""
"SYS-022","","Core","CO-C02","L1","1000","fleet_yard","certification","imperial_direct","trunk_dense","PENDING",""
"SYS-023","","Core","CO-C03","L1","1000","archive","law","imperial_direct","trunk_dense","PENDING",""
"SYS-024","","Core","CO-C04","L1","1000","relay_trunk","transit","imperial_direct","trunk_dense","PENDING",""
"SYS-025","K-13 / 제13학원","Inner","IN-C01","L1","300","manufacturing","certification","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-026","백색 도크","Inner","IN-C02","L1","260","education","training","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-027","하르콘","Inner","IN-C03","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-028","렌바르","Inner","IN-C04","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-029","미스트랄","Inner","IN-C05","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-030","아켄","Inner","IN-C06","L1","260","education","training","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-031","소르베","Inner","IN-C07","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-032","트레노","Inner","IN-C08","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-033","카일렌","Inner","IN-C01","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING","PROTECTED_NAME"
"SYS-034","","Inner","IN-C02","L1","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-035","","Inner","IN-C03","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-036","","Inner","IN-C04","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-037","","Inner","IN-C05","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-038","","Inner","IN-C06","L1","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-039","","Inner","IN-C07","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-040","","Inner","IN-C08","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-041","","Inner","IN-C01","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-042","","Inner","IN-C02","L1","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-043","","Inner","IN-C03","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-044","","Inner","IN-C04","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-045","","Inner","IN-C05","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-046","","Inner","IN-C06","L1","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-047","","Inner","IN-C07","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-048","","Inner","IN-C08","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-049","","Inner","IN-C01","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-050","","Inner","IN-C02","L1","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-051","","Inner","IN-C03","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-052","","Inner","IN-C04","L1","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-053","","Inner","IN-C05","L1","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-054","","Inner","IN-C06","L1","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-055","","Inner","IN-C07","L1","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-056","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-057","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-058","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-059","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-060","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-061","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-062","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-063","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-064","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-065","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-066","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-067","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-068","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-069","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-070","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-071","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-072","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-073","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-074","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-075","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-076","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-077","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-078","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-079","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-080","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-081","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-082","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-083","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-084","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-085","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-086","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-087","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-088","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-089","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-090","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-091","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-092","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-093","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-094","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-095","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-096","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-097","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-098","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-099","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-100","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-101","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-102","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-103","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-104","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-105","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-106","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-107","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-108","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-109","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-110","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-111","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-112","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-113","","Inner","IN-C01","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-114","","Inner","IN-C02","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-115","","Inner","IN-C03","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-116","","Inner","IN-C04","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-117","","Inner","IN-C05","L2","260","manufacturing","certification","imperial_chartered","trunk_connected","PENDING",""
"SYS-118","","Inner","IN-C06","L2","260","education","training","imperial_chartered","trunk_connected","PENDING",""
"SYS-119","","Inner","IN-C07","L2","260","medical","care","imperial_chartered","trunk_connected","PENDING",""
"SYS-120","","Inner","IN-C08","L2","260","logistics","supply","imperial_chartered","trunk_connected","PENDING",""
"SYS-121","카엘","Middle","MI-C01","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-122","브란","Middle","MI-C02","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-123","네리스","Middle","MI-C03","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-124","아르디스","Middle","MI-C04","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-125","두르가","Middle","MI-C05","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-126","옐마","Middle","MI-C06","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-127","페트라","Middle","MI-C07","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-128","산크로","Middle","MI-C08","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-129","베르둔","Middle","MI-C09","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-130","오스칸","Middle","MI-C10","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-131","타렌","Middle","MI-C11","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING","PROTECTED_NAME"
"SYS-132","","Middle","MI-C12","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-133","","Middle","MI-C13","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-134","","Middle","MI-C14","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-135","","Middle","MI-C15","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-136","","Middle","MI-C01","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-137","","Middle","MI-C02","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-138","","Middle","MI-C03","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-139","","Middle","MI-C04","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-140","","Middle","MI-C05","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-141","","Middle","MI-C06","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-142","","Middle","MI-C07","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-143","","Middle","MI-C08","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-144","","Middle","MI-C09","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-145","","Middle","MI-C10","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-146","","Middle","MI-C11","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-147","","Middle","MI-C12","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-148","","Middle","MI-C13","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-149","","Middle","MI-C14","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-150","","Middle","MI-C15","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-151","","Middle","MI-C01","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-152","","Middle","MI-C02","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-153","","Middle","MI-C03","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-154","","Middle","MI-C04","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-155","","Middle","MI-C05","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-156","","Middle","MI-C06","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-157","","Middle","MI-C07","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-158","","Middle","MI-C08","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-159","","Middle","MI-C09","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-160","","Middle","MI-C10","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-161","","Middle","MI-C11","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-162","","Middle","MI-C12","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-163","","Middle","MI-C13","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-164","","Middle","MI-C14","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-165","","Middle","MI-C15","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-166","","Middle","MI-C01","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-167","","Middle","MI-C02","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-168","","Middle","MI-C03","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-169","","Middle","MI-C04","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-170","","Middle","MI-C05","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-171","","Middle","MI-C06","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-172","","Middle","MI-C07","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-173","","Middle","MI-C08","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-174","","Middle","MI-C09","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-175","","Middle","MI-C10","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-176","","Middle","MI-C11","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-177","","Middle","MI-C12","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-178","","Middle","MI-C13","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-179","","Middle","MI-C14","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-180","","Middle","MI-C15","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-181","","Middle","MI-C01","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-182","","Middle","MI-C02","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-183","","Middle","MI-C03","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-184","","Middle","MI-C04","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-185","","Middle","MI-C05","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-186","","Middle","MI-C06","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-187","","Middle","MI-C07","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-188","","Middle","MI-C08","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-189","","Middle","MI-C09","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-190","","Middle","MI-C10","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-191","","Middle","MI-C11","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-192","","Middle","MI-C12","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-193","","Middle","MI-C13","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-194","","Middle","MI-C14","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-195","","Middle","MI-C15","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-196","","Middle","MI-C01","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-197","","Middle","MI-C02","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-198","","Middle","MI-C03","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-199","","Middle","MI-C04","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-200","","Middle","MI-C05","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-201","","Middle","MI-C06","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-202","","Middle","MI-C07","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-203","","Middle","MI-C08","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-204","","Middle","MI-C09","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-205","","Middle","MI-C10","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-206","","Middle","MI-C11","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-207","","Middle","MI-C12","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-208","","Middle","MI-C13","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-209","","Middle","MI-C14","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-210","","Middle","MI-C15","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-211","","Middle","MI-C01","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-212","","Middle","MI-C02","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-213","","Middle","MI-C03","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-214","","Middle","MI-C04","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-215","","Middle","MI-C05","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-216","","Middle","MI-C06","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-217","","Middle","MI-C07","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-218","","Middle","MI-C08","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-219","","Middle","MI-C09","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-220","","Middle","MI-C10","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-221","","Middle","MI-C11","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-222","","Middle","MI-C12","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-223","","Middle","MI-C13","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-224","","Middle","MI-C14","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-225","","Middle","MI-C15","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-226","","Middle","MI-C01","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-227","","Middle","MI-C02","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-228","","Middle","MI-C03","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-229","","Middle","MI-C04","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-230","","Middle","MI-C05","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-231","","Middle","MI-C06","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-232","","Middle","MI-C07","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-233","","Middle","MI-C08","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-234","","Middle","MI-C09","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-235","","Middle","MI-C10","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-236","","Middle","MI-C11","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-237","","Middle","MI-C12","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-238","","Middle","MI-C13","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-239","","Middle","MI-C14","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-240","","Middle","MI-C15","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-241","","Middle","MI-C01","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-242","","Middle","MI-C02","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-243","","Middle","MI-C03","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-244","","Middle","MI-C04","L2","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-245","","Middle","MI-C05","L2","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-246","","Middle","MI-C06","L2","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-247","","Middle","MI-C07","L2","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-248","","Middle","MI-C08","L3","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-249","","Middle","MI-C09","L3","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-250","","Middle","MI-C10","L3","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-251","","Middle","MI-C11","L3","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-252","","Middle","MI-C12","L3","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-253","","Middle","MI-C13","L3","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-254","","Middle","MI-C14","L3","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-255","","Middle","MI-C15","L3","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-256","","Middle","MI-C01","L3","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-257","","Middle","MI-C02","L3","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-258","","Middle","MI-C03","L3","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
"SYS-259","","Middle","MI-C04","L3","100","mining","materials","mixed_local_charter","branch_connected","PENDING",""
"SYS-260","","Middle","MI-C05","L3","100","port","trade","mixed_local_charter","branch_connected","PENDING",""
"SYS-261","","Middle","MI-C06","L3","100","workshop","repair","mixed_local_charter","branch_connected","PENDING",""
"SYS-262","","Middle","MI-C07","L3","100","agriculture","supply","mixed_local_charter","branch_connected","PENDING",""
