system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
M14-03,Galenas,MIDDLE,Doan Roads,L3,28.106,salvage,water processing,Regional Assembly,single-corridor spur,T5 contested,
M14-04,Junoadia,MIDDLE,Doan Roads,L3,45.822,salvage,node services,Joint Trust,damaged route,T4 asynchronous,
M14-05,Kestan,MIDDLE,Doan Roads,L3,45.189,salvage,repair yards,Imperial Province,local relay,T3 local plural,
M14-06,Veyer,MIDDLE,Doan Roads,L3,47.536,node services,refining,Helix Contract Zone,local relay,T5 contested,
M14-07,Erisin,MIDDLE,Doan Roads,L2,178.609,education,industrial frames,Helix Contract Zone,regional hub,T1 delegated,
M14-08,Noxas,MIDDLE,Doan Roads,L2,103.063,mixed agriculture,regional logistics,Neutral Charter,cross-corridor,T1 delegated,
M14-09,Quenum,MIDDLE,Doan Roads,L3,31.635,refining,water processing,Regional Assembly,damaged route,T5 contested,
M14-10,Velaessa,MIDDLE,Doan Roads,L2,125.045,mixed agriculture,node services,Contested Administration,industrial branch,T3 local plural,
M14-11,Karaadia,MIDDLE,Doan Roads,L1,478.87,regional logistics,node services,Imperial Province,trunk corridor,T6 re-centralized,
M14-12,Karaen,MIDDLE,Doan Roads,L2,168.325,repair yards,mining,Joint Trust,cross-corridor,T5 contested,
M15-01,K-13,MIDDLE,Cardo Verge,L3,0.62,regional logistics,mixed agriculture,Imperial Claim/Local Rule,local relay,T2 joint transition,13th correctional military academy and White Dock system.
M15-02,Bexum,MIDDLE,Cardo Verge,L2,153.67,medical transit,refining,Joint Trust,regional hub,T2 joint transition,
M15-03,Junoeth,MIDDLE,Cardo Verge,L2,160.776,repair yards,node services,Joint Trust,industrial branch,T5 contested,
M15-04,Erisadia,MIDDLE,Cardo Verge,L1,414.604,media,education,Contested Administration,trunk corridor,T1 delegated,
M15-05,Yvenara,MIDDLE,Cardo Verge,L2,146.988,node services,mining,Contested Administration,industrial branch,T6 re-centralized,
M15-06,Coris,MIDDLE,Cardo Verge,L3,56.066,node services,media,Contested Administration,local relay,T2 joint transition,
M15-07,Zarekor,MIDDLE,Cardo Verge,L3,53.915,industrial frames,mixed agriculture,Imperial Province,damaged route,T2 joint transition,
M15-08,Demean,MIDDLE,Cardo Verge,L3,47.063,media,node services,Helix Contract Zone,seasonal route,T3 local plural,
M15-09,Torenyr,MIDDLE,Cardo Verge,L3,47.914,education,regional logistics,Imperial Province,damaged route,T2 joint transition,
M15-10,Yveniel,MIDDLE,Cardo Verge,L3,46.569,media,regional logistics,Neutral Charter,local relay,T6 re-centralized,
M15-11,Serayr,MIDDLE,Cardo Verge,L3,45.524,medical transit,education,Joint Trust,seasonal route,T6 re-centralized,
M15-12,Ulenessa,MIDDLE,Cardo Verge,L2,160.905,node services,salvage,Joint Trust,industrial branch,T2 joint transition,
