system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
M07-11,Galeneth,MIDDLE,Tern Relay,L3,34.878,medical transit,education,Joint Trust,damaged route,T1 delegated,
M07-12,Navaiel,MIDDLE,Tern Relay,L2,121.572,mining,repair yards,Joint Trust,industrial branch,T1 delegated,
M08-01,Xaroar,MIDDLE,Oriel Chain,L3,55.419,salvage,medical transit,Neutral Charter,seasonal route,T3 local plural,
M08-02,Noxune,MIDDLE,Oriel Chain,L3,55.187,water processing,education,Imperial Province,damaged route,T6 re-centralized,
M08-03,Wreniel,MIDDLE,Oriel Chain,L3,57.613,industrial frames,media,Regional Assembly,single-corridor spur,T6 re-centralized,
M08-04,Peraes,MIDDLE,Oriel Chain,L2,161.043,regional logistics,media,Imperial Province,regional hub,T3 local plural,
M08-05,Noxum,MIDDLE,Oriel Chain,L2,141.526,media,mining,Joint Trust,industrial branch,T2 joint transition,
M08-06,Xaroes,MIDDLE,Oriel Chain,L2,167.883,education,regional logistics,Imperial Province,industrial branch,T3 local plural,
M08-07,Galeneon,MIDDLE,Oriel Chain,L3,29.431,mining,mixed agriculture,Regional Assembly,single-corridor spur,T3 local plural,
M08-08,Veyen,MIDDLE,Oriel Chain,L2,171.203,medical transit,refining,Helix Contract Zone,industrial branch,T4 asynchronous,
M08-09,Miraora,MIDDLE,Oriel Chain,L2,178.943,salvage,refining,Helix Contract Zone,regional hub,T4 asynchronous,
M08-10,Hessyr,MIDDLE,Oriel Chain,L3,41.011,salvage,mixed agriculture,Contested Administration,seasonal route,T3 local plural,
M08-11,Pavoa,MIDDLE,Oriel Chain,L2,131.068,mining,regional logistics,Joint Trust,regional hub,T2 joint transition,
M08-12,Fennyr,MIDDLE,Oriel Chain,L3,53.34,education,regional logistics,Neutral Charter,single-corridor spur,T3 local plural,
M09-01,Orinos,MIDDLE,Varka Passage,L2,170.032,education,salvage,Joint Trust,regional hub,T6 re-centralized,
M09-02,Amonora,MIDDLE,Varka Passage,L2,121.688,repair yards,mining,Imperial Province,regional hub,T6 re-centralized,
M09-03,Noxan,MIDDLE,Varka Passage,L3,40.267,salvage,industrial frames,Imperial Province,damaged route,T0 synchronized,
M09-04,Quenin,MIDDLE,Varka Passage,L3,28.651,industrial frames,repair yards,Neutral Charter,single-corridor spur,T6 re-centralized,
M09-05,Karaes,MIDDLE,Varka Passage,L2,172.924,mining,education,Joint Trust,cross-corridor,T3 local plural,
M09-06,Tavaeth,MIDDLE,Varka Passage,L1,314.655,repair yards,mining,Imperial Province,trunk corridor,T2 joint transition,
M09-07,Velaora,MIDDLE,Varka Passage,L2,137.175,media,education,Joint Trust,regional hub,T6 re-centralized,
M09-08,Navaan,MIDDLE,Varka Passage,L1,355.577,water processing,industrial frames,Neutral Charter,multi-region junction,T4 asynchronous,
M09-09,Velaer,MIDDLE,Varka Passage,L2,186.267,node services,repair yards,Regional Assembly,industrial branch,T4 asynchronous,
M09-10,Garoeth,MIDDLE,Varka Passage,L1,383.713,regional logistics,water processing,Regional Assembly,trunk corridor,T5 contested,
M09-11,Caelara,MIDDLE,Varka Passage,L3,40.449,media,medical transit,Regional Assembly,single-corridor spur,T1 delegated,
M09-12,Coradia,MIDDLE,Varka Passage,L2,106.115,education,mixed agriculture,Contested Administration,industrial branch,T2 joint transition,
M10-01,Navaor,MIDDLE,Dove Belt,L3,37.173,refining,media,Regional Assembly,seasonal route,T1 delegated,
M10-02,Tavais,MIDDLE,Dove Belt,L3,47.986,medical transit,water processing,Helix Contract Zone,local relay,T5 contested,
M10-03,Darinis,MIDDLE,Dove Belt,L2,156.981,water processing,salvage,Regional Assembly,cross-corridor,T2 joint transition,
M10-04,Ravela,MIDDLE,Dove Belt,L2,178.571,water processing,medical transit,Neutral Charter,cross-corridor,T3 local plural,
M10-05,Perain,MIDDLE,Dove Belt,L3,41.1,education,industrial frames,Regional Assembly,local relay,T2 joint transition,
M10-06,Haleadia,MIDDLE,Dove Belt,L3,29.607,mixed agriculture,mining,Neutral Charter,damaged route,T2 joint transition,
M10-07,Soriniel,MIDDLE,Dove Belt,L3,44.88,regional logistics,industrial frames,Neutral Charter,single-corridor spur,T4 asynchronous,
M10-08,Darinen,MIDDLE,Dove Belt,L3,47.02,media,refining,Imperial Province,damaged route,T6 re-centralized,
M10-09,Velaune,MIDDLE,Dove Belt,L2,130.618,node services,regional logistics,Helix Contract Zone,regional hub,T5 contested,
M10-10,Raveles,MIDDLE,Dove Belt,L3,48.611,water processing,node services,Joint Trust,single-corridor spur,T3 local plural,
M10-11,Coria,MIDDLE,Dove Belt,L3,36.915,mining,refining,Imperial Province,single-corridor spur,T6 re-centralized,
M10-12,Peraum,MIDDLE,Dove Belt,L3,48.531,education,medical transit,Joint Trust,seasonal route,T5 contested,
