system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
I05-10,Esenis,INNER,Sable Orchard,L2,178.956,fleet support,shipbuilding,Neutral Commercial Charter,cross-corridor,T0 synchronized,
I05-11,Erisis,INNER,Sable Orchard,L2,131.506,route finance,shipbuilding,Imperial Province,regional hub,T0 synchronized,
I05-12,Xaroia,INNER,Sable Orchard,L2,167.546,consumer industry,route finance,Imperial Province,regional hub,T6 re-centralized,
I06-01,Eriser,INNER,Ilyr Crownward,L2,153.287,data services,pharmaceuticals,Helix Contract Zone,regional hub,T2 joint transition,
I06-02,Beler,INNER,Ilyr Crownward,L2,113.684,precision manufacturing,data services,Joint Imperial-Charter Administration,regional hub,T4 asynchronous,
I06-03,Junoos,INNER,Ilyr Crownward,L2,232.728,education,habitat construction,Joint Imperial-Charter Administration,regional hub,T5 contested,
I06-04,Kestune,INNER,Ilyr Crownward,L2,130.007,shipbuilding,agriculture,Imperial Province,cross-corridor,T0 synchronized,
I06-05,Amonas,INNER,Ilyr Crownward,L2,134.162,route finance,pharmaceuticals,Helix Contract Zone,cross-corridor,T3 local plural,
I06-06,Ulenar,INNER,Ilyr Crownward,L2,164.281,data services,habitat construction,Joint Imperial-Charter Administration,regional hub,T0 synchronized,
I06-07,Garoorn,INNER,Ilyr Crownward,L3,40.056,consumer industry,fleet support,Neutral Commercial Charter,single-corridor spur,T5 contested,
I06-08,Xaroorn,INNER,Ilyr Crownward,L3,44.693,route finance,precision manufacturing,Joint Imperial-Charter Administration,damaged route,T0 synchronized,
I06-09,Areliel,INNER,Ilyr Crownward,L1,511.035,precision manufacturing,agriculture,Imperial Province,trunk corridor,T6 re-centralized,
I06-10,Xaroos,INNER,Ilyr Crownward,L1,551.318,shipbuilding,data services,Imperial Province,multi-region junction,T2 joint transition,
I06-11,Iriaia,INNER,Ilyr Crownward,L1,524.05,fleet support,agriculture,Imperial Province,trunk corridor,T0 synchronized,
I06-12,Yveneth,INNER,Ilyr Crownward,L2,119.187,route finance,pharmaceuticals,Helix Contract Zone,cross-corridor,T3 local plural,
I07-01,Seraor,INNER,Vesta Ring,L2,156.77,consumer industry,route finance,Helix Contract Zone,regional hub,T3 local plural,
I07-02,Miraiel,INNER,Vesta Ring,L2,228.084,agriculture,shipbuilding,Neutral Commercial Charter,cross-corridor,T0 synchronized,
I07-03,Xaroiel,INNER,Vesta Ring,L3,34.6,fleet support,consumer industry,Joint Imperial-Charter Administration,single-corridor spur,T5 contested,
I07-04,Belos,INNER,Vesta Ring,L2,228.786,education,habitat construction,Neutral Commercial Charter,cross-corridor,T1 delegated,
I07-05,Raveladia,INNER,Vesta Ring,L2,227.862,shipbuilding,route finance,Joint Imperial-Charter Administration,industrial branch,T1 delegated,
I07-06,Xaroeth,INNER,Vesta Ring,L1,517.792,shipbuilding,consumer industry,Joint Imperial-Charter Administration,multi-region junction,T2 joint transition,
I07-07,Letoadia,INNER,Vesta Ring,L3,55.598,fleet support,habitat construction,Joint Imperial-Charter Administration,seasonal route,T5 contested,
I07-08,Noxen,INNER,Vesta Ring,L2,174.908,agriculture,habitat construction,Neutral Commercial Charter,industrial branch,T1 delegated,
I07-09,Xaroas,INNER,Vesta Ring,L2,189.932,habitat construction,route finance,Joint Imperial-Charter Administration,cross-corridor,T6 re-centralized,
I07-10,Joraar,INNER,Vesta Ring,L1,551.32,precision manufacturing,consumer industry,Joint Imperial-Charter Administration,trunk corridor,T5 contested,
I07-11,Noxion,INNER,Vesta Ring,L2,172.9,data services,shipbuilding,Joint Imperial-Charter Administration,regional hub,T3 local plural,
I07-12,Ossaeth,INNER,Vesta Ring,L2,225.238,education,consumer industry,Neutral Commercial Charter,industrial branch,T0 synchronized,
I08-01,Xaroer,INNER,Orison March,L2,169.907,education,precision manufacturing,Imperial Province,cross-corridor,T6 re-centralized,
I08-02,Galenora,INNER,Orison March,L2,138.824,consumer industry,data services,Helix Contract Zone,regional hub,T0 synchronized,
I08-03,Arelar,INNER,Orison March,L3,46.819,consumer industry,precision manufacturing,Imperial Province,single-corridor spur,T0 synchronized,
I08-04,Junoer,INNER,Orison March,L2,219.248,habitat construction,agriculture,Imperial Province,cross-corridor,T0 synchronized,
I08-05,Fennadia,INNER,Orison March,L1,432.446,consumer industry,fleet support,Imperial Province,trunk corridor,T2 joint transition,
I08-06,Kestum,INNER,Orison March,L2,168.325,data services,habitat construction,Neutral Commercial Charter,cross-corridor,T3 local plural,
I08-07,Orineon,INNER,Orison March,L2,226.702,precision manufacturing,consumer industry,Neutral Commercial Charter,regional hub,T6 re-centralized,
I08-08,Letoorn,INNER,Orison March,L2,212.751,route finance,agriculture,Helix Contract Zone,industrial branch,T1 delegated,
I08-09,Liorayr,INNER,Orison March,L2,135.661,agriculture,pharmaceuticals,Neutral Commercial Charter,cross-corridor,T2 joint transition,
I08-10,Rinen,INNER,Orison March,L3,51.744,data services,education,Joint Imperial-Charter Administration,local relay,T0 synchronized,
I08-11,Bexiel,INNER,Orison March,L1,573.585,route finance,education,Neutral Commercial Charter,multi-region junction,T6 re-centralized,
I08-12,Torenor,INNER,Orison March,L1,327.376,agriculture,route finance,Helix Contract Zone,trunk corridor,T6 re-centralized,
