system_id,system_name,macro_region,cluster,primary_node,registered_population_m,main_specialization,secondary_specialization,governance_at_R0,route_profile,GA10_transition_seed,notes
F16-12,Miraas,FRONTIER,Far Witness,L2,74.557,mobile habitats,rescue services,Helix Concession,industrial branch,T2 joint transition,
F16-13,Pavoas,FRONTIER,Far Witness,L3,22.124,salvage,sensor watch,Independent Compact,single-corridor spur,T0 synchronized,
F16-14,Navaeon,FRONTIER,Far Witness,L3,19.241,refugee services,rescue services,Helix Concession,seasonal route,T1 delegated,
F16-15,Riner,FRONTIER,Far Witness,L3,22.569,small-yard repair,local agriculture,Imperial Claim/Local Rule,seasonal route,T5 contested,
F17-01,Torenan,FRONTIER,Sundered Bell,L3,19.557,route guidance,refugee services,Contested,local relay,T4 asynchronous,
F17-02,Yvenan,FRONTIER,Sundered Bell,L3,17.722,fuel production,rescue services,Independent Compact,local relay,T6 re-centralized,
F17-03,Peraion,FRONTIER,Sundered Bell,L3,19.386,resource extraction,mobile habitats,Local Assembly,damaged route,T6 re-centralized,
F17-04,Erisessa,FRONTIER,Sundered Bell,L3,20.824,mobile habitats,small-yard repair,Mobile Route Covenant,seasonal route,T4 asynchronous,
F17-05,Karaas,FRONTIER,Sundered Bell,L2,45.597,local agriculture,fuel production,Independent Compact,industrial branch,T0 synchronized,
F17-06,Zarekas,FRONTIER,Sundered Bell,L3,23.982,rescue services,resource extraction,Mobile Route Covenant,seasonal route,T5 contested,
F17-07,Coren,FRONTIER,Sundered Bell,L3,17.565,local agriculture,small-yard repair,Mobile Route Covenant,single-corridor spur,T3 local plural,
F17-08,Rinadia,FRONTIER,Sundered Bell,L3,22.006,refugee services,fuel production,Independent Compact,seasonal route,T4 asynchronous,
F17-09,Sorineon,FRONTIER,Sundered Bell,L3,18.738,route guidance,local agriculture,Contested,damaged route,T6 re-centralized,
F17-10,Rineth,FRONTIER,Sundered Bell,L3,24.686,rescue services,resource extraction,Neutral Charter,local relay,T5 contested,
F17-11,Torenen,FRONTIER,Sundered Bell,L3,20.716,rescue services,route guidance,Mobile Route Covenant,seasonal route,T0 synchronized,
F17-12,Ravelune,FRONTIER,Sundered Bell,L3,23.73,salvage,local agriculture,Local Assembly,damaged route,T3 local plural,
F17-13,Yvener,FRONTIER,Sundered Bell,L3,18.254,mobile habitats,resource extraction,Independent Compact,single-corridor spur,T4 asynchronous,
F17-14,Esenor,FRONTIER,Sundered Bell,L3,27.47,route guidance,mobile habitats,Contested,local relay,T1 delegated,
F17-15,Orina,FRONTIER,Sundered Bell,L2,57.853,refugee services,rescue services,Helix Concession,regional hub,T6 re-centralized,
F18-01,Galenion,FRONTIER,Mosaic Edge,L2,79.616,resource extraction,sensor watch,Imperial Claim/Local Rule,cross-corridor,T2 joint transition,
F18-02,Ossaeon,FRONTIER,Mosaic Edge,L3,26.303,sensor watch,rescue services,Mobile Route Covenant,local relay,T0 synchronized,
F18-03,Veyas,FRONTIER,Mosaic Edge,L3,16.132,salvage,small-yard repair,Neutral Charter,single-corridor spur,T3 local plural,
F18-04,Quenessa,FRONTIER,Mosaic Edge,L3,13.01,rare materials,resource extraction,Imperial Claim/Local Rule,seasonal route,T0 synchronized,
F18-05,Navaos,FRONTIER,Mosaic Edge,L3,20.873,independent fabrication,rescue services,Helix Concession,seasonal route,T4 asynchronous,
F18-06,Bexara,FRONTIER,Mosaic Edge,L3,24.217,sensor watch,fuel production,Local Assembly,local relay,T0 synchronized,
F18-07,Sorinen,FRONTIER,Mosaic Edge,L3,18.5,rescue services,route guidance,Neutral Charter,seasonal route,T5 contested,
F18-08,Yvenar,FRONTIER,Mosaic Edge,L3,23.581,mobile habitats,rare materials,Mobile Route Covenant,single-corridor spur,T0 synchronized,
F18-09,Pavoia,FRONTIER,Mosaic Edge,L3,24.279,rescue services,refugee services,Helix Concession,local relay,T1 delegated,
F18-10,Wrenes,FRONTIER,Mosaic Edge,L3,13.996,small-yard repair,rescue services,Contested,local relay,T2 joint transition,
F18-11,Tavaas,FRONTIER,Mosaic Edge,L3,25.768,refugee services,small-yard repair,Local Assembly,seasonal route,T2 joint transition,
F18-12,Kestas,FRONTIER,Mosaic Edge,L3,21.937,rare materials,local agriculture,Independent Compact,local relay,T0 synchronized,
F18-13,Junoes,FRONTIER,Mosaic Edge,L3,20.035,fuel production,sensor watch,Independent Compact,seasonal route,T5 contested,
F18-14,Ulenin,FRONTIER,Mosaic Edge,L3,13.88,small-yard repair,mobile habitats,Mobile Route Covenant,local relay,T6 re-centralized,
F18-15,Wrenia,FRONTIER,Mosaic Edge,L2,75.967,resource extraction,mobile habitats,Contested,cross-corridor,T0 synchronized,
F19-01,Erisor,FRONTIER,Last Tether,L3,19.779,salvage,refugee services,Imperial Claim/Local Rule,local relay,T5 contested,
F19-02,Haleeth,FRONTIER,Last Tether,L3,14.38,small-yard repair,mobile habitats,Independent Compact,local relay,T0 synchronized,
F19-03,Xaroadia,FRONTIER,Last Tether,L3,17.375,mobile habitats,salvage,Local Assembly,single-corridor spur,T4 asynchronous,
F19-04,Demeiel,FRONTIER,Last Tether,L3,18.48,rare materials,sensor watch,Helix Concession,local relay,T0 synchronized,
F19-05,Letoyr,FRONTIER,Last Tether,L2,79.667,resource extraction,local agriculture,Independent Compact,cross-corridor,T1 delegated,
F19-06,Mereka,FRONTIER,Last Tether,L2,76.426,sensor watch,resource extraction,Local Assembly,cross-corridor,T0 synchronized,
F19-07,Ravelia,FRONTIER,Last Tether,L2,83.892,resource extraction,local agriculture,Imperial Claim/Local Rule,cross-corridor,T0 synchronized,
F19-08,Demea,FRONTIER,Last Tether,L3,27.125,independent fabrication,local agriculture,Imperial Claim/Local Rule,local relay,T3 local plural,
F19-09,Orinor,FRONTIER,Last Tether,L2,59.776,route guidance,mobile habitats,Local Assembly,regional hub,T6 re-centralized,
F19-10,Dariner,FRONTIER,Last Tether,L3,15.135,rescue services,mobile habitats,Neutral Charter,local relay,T5 contested,
F19-11,Noxiel,FRONTIER,Last Tether,L2,42.949,rescue services,mobile habitats,Mobile Route Covenant,industrial branch,T1 delegated,
F19-12,Arelum,FRONTIER,Last Tether,L3,16.552,mobile habitats,independent fabrication,Local Assembly,damaged route,T0 synchronized,
F19-13,Demeeth,FRONTIER,Last Tether,L3,17.954,mobile habitats,salvage,Mobile Route Covenant,seasonal route,T4 asynchronous,
F19-14,Garoia,FRONTIER,Last Tether,L3,26.913,small-yard repair,resource extraction,Local Assembly,damaged route,T5 contested,
F20-01,Peraiel,FRONTIER,Grey Current,L3,12.76,mobile habitats,resource extraction,Helix Concession,seasonal route,T3 local plural,
F20-02,Erisum,FRONTIER,Grey Current,L3,15.789,mobile habitats,small-yard repair,Independent Compact,seasonal route,T6 re-centralized,
F20-03,Quenor,FRONTIER,Grey Current,L3,18.998,small-yard repair,rare materials,Imperial Claim/Local Rule,damaged route,T2 joint transition,
F20-04,Darinan,FRONTIER,Grey Current,L3,14.037,rare materials,independent fabrication,Neutral Charter,damaged route,T6 re-centralized,
F20-05,Seraeon,FRONTIER,Grey Current,L3,20.42,mobile habitats,local agriculture,Helix Concession,local relay,T3 local plural,
F20-06,Garoes,FRONTIER,Grey Current,L3,21.444,fuel production,mobile habitats,Helix Concession,single-corridor spur,T4 asynchronous,
F20-07,Demeer,FRONTIER,Grey Current,L3,14.682,rare materials,route guidance,Helix Concession,local relay,T6 re-centralized,
F20-08,Lioraion,FRONTIER,Grey Current,L3,25.133,mobile habitats,small-yard repair,Mobile Route Covenant,local relay,T0 synchronized,
F20-09,Ossaos,FRONTIER,Grey Current,L3,22.334,refugee services,sensor watch,Imperial Claim/Local Rule,local relay,T0 synchronized,
F20-10,Lioraen,FRONTIER,Grey Current,L3,20.969,mobile habitats,sensor watch,Local Assembly,single-corridor spur,T1 delegated,
F20-11,Karaeon,FRONTIER,Grey Current,L3,24.863,salvage,local agriculture,Helix Concession,seasonal route,T2 joint transition,
F20-12,Bexis,FRONTIER,Grey Current,L2,49.787,resource extraction,fuel production,Neutral Charter,regional hub,T1 delegated,
F20-13,Areleon,FRONTIER,Grey Current,L2,49.538,resource extraction,refugee services,Mobile Route Covenant,cross-corridor,T0 synchronized,
F20-14,Sorinadia,FRONTIER,Grey Current,L3,22.13,independent fabrication,rescue services,Local Assembly,seasonal route,T0 synchronized,
F21-01,Hessum,FRONTIER,Outer Lattice,L2,40.72,small-yard repair,local agriculture,Neutral Charter,cross-corridor,T2 joint transition,
F21-02,Haleos,FRONTIER,Outer Lattice,L3,17.935,sensor watch,mobile habitats,Helix Concession,damaged route,T2 joint transition,
F21-03,Garoum,FRONTIER,Outer Lattice,L3,22.182,sensor watch,small-yard repair,Independent Compact,local relay,T3 local plural,
F21-04,Caelyr,FRONTIER,Outer Lattice,L3,20.783,sensor watch,mobile habitats,Imperial Claim/Local Rule,single-corridor spur,T4 asynchronous,
F21-05,Darina,FRONTIER,Outer Lattice,L3,16.431,fuel production,rare materials,Contested,seasonal route,T5 contested,
F21-06,Haleum,FRONTIER,Outer Lattice,L3,21.094,sensor watch,refugee services,Mobile Route Covenant,single-corridor spur,T0 synchronized,
F21-07,Navaer,FRONTIER,Outer Lattice,L2,53.487,rescue services,sensor watch,Imperial Claim/Local Rule,regional hub,T0 synchronized,
F21-08,Iveniel,FRONTIER,Outer Lattice,L3,18.189,independent fabrication,fuel production,Helix Concession,local relay,T0 synchronized,
F21-09,Ulenion,FRONTIER,Outer Lattice,L3,22.975,fuel production,refugee services,Helix Concession,seasonal route,T5 contested,
F21-10,Ravelion,FRONTIER,Outer Lattice,L2,82.295,local agriculture,rescue services,Contested,regional hub,T2 joint transition,
F21-11,Eseniel,FRONTIER,Outer Lattice,L3,23.521,rescue services,resource extraction,Imperial Claim/Local Rule,single-corridor spur,T2 joint transition,
F21-12,Merekara,FRONTIER,Outer Lattice,L3,19.162,local agriculture,independent fabrication,Local Assembly,seasonal route,T2 joint transition,
F21-13,Raveliel,FRONTIER,Outer Lattice,L3,18.273,salvage,sensor watch,Neutral Charter,seasonal route,T3 local plural,
F21-14,Ulenyr,FRONTIER,Outer Lattice,L3,14.041,sensor watch,fuel production,Mobile Route Covenant,local relay,T5 contested,
