"slot_id","inventory_state","manufacturing_scale","mission_role_class","story_status_policy","formal_layer","normal_assignment","named_core_eligibility","solo_limit","allowed_solo_effect","completion_actor","support_gate","canon_status"
"M-024","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","CONTINUITY_RESPONSE_SEIZURE","C08_SECURITY_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_CUSTODY_OR_SEIZURE_WINDOW","CUSTODY_FLIGHT_EVIDENCE_TEAM_AND_RECOVERY","SECURE_CRADLE|AUTHORITY|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-025","PROPOSED_SLOT","HIGH_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SQUADRON_LINE","LOCAL_EXPLORATION_PROVENANCE_LINE","C08_LOCAL_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_MAPPING_OR_ACCESS_WINDOW","LOCAL_FLIGHT_INTERPRETERS_AND_PARENT_FORMATION","LOCAL_CRADLE|PROVENANCE_TEAM|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-026","PROPOSED_SLOT","LIMITED_RUN","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","NAMED_CORE_OR_SPECIALIST_FLIGHT","ARCHIVE_ISOLATION_COUNTER_INTERFACE","C08_INTERFACE_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_ISOLATION_OR_INTERFACE_WINDOW","RECORD_FLIGHT_CUSTODY_TEAM_AND_RECOVERY","SECURE_CRADLE|DATA_CUSTODY|RECOVERY","PROPOSED_NONCANON_MAPPING"
"M-027","AUTHOR_HOLD","UNASSIGNED","UNASSIGNED","HOLD_NO_HULL_STATUS","HOLD","NO_ASSIGNMENT","NO","NO_COMBAT_CLAIM_HOLD","HOLD","HOLD","HOLD","HOLD_AUTHOR_DECISION"
"M-028","AUTHOR_HOLD","UNASSIGNED","UNASSIGNED","HOLD_NO_HULL_STATUS","HOLD","NO_ASSIGNMENT","NO","NO_COMBAT_CLAIM_HOLD","HOLD","HOLD","HOLD","HOLD_AUTHOR_DECISION"
"M-029","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","CONVERSION_TRAINING_AND_HANDOVER","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_WORK_ACCESS_ONLY","INSTRUCTORS_TRAINEES_AND_BASE","CRADLE|TOOLS|MAINTAINERS","PROPOSED_NONCANON_MAPPING"
"M-030","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","WRECK_RECOVERY_AND_DEBRIS_STABILISATION","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_SALVAGE_ACCESS_ONLY","SALVAGE_CREWS_AND_TENDER","WORK_CRADLE|TOOLS|TOW","PROPOSED_NONCANON_MAPPING"
"M-031","PROPOSED_SLOT","LOW_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","PERIMETER_PATROL_AND_ROUTE_INSPECTION","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","PATROL_FLIGHT_AND_RELIEF_CREW","STANDARD_CRADLE|MAINTAINERS|AMMUNITION","PROPOSED_NONCANON_MAPPING"
"M-032","PROPOSED_SLOT","LOW_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","FLEET_MANOEUVRE_ESCORT","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","ESCORT_FLIGHT_AND_CARRIER","FLEET_CRADLE|MAINTAINERS|AMMUNITION","PROPOSED_NONCANON_MAPPING"
"M-033","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","CEREMONY_GUARD_AND_URBAN_RESTRAINT","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_INTERDICTION_WINDOW","SECURITY_TEAM_AND_CIVIL_AUTHORITY","SECURE_CRADLE|MAINTAINERS|AUTHORITY","PROPOSED_NONCANON_MAPPING"
"M-034","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","INSPECTION_ESCORT_AND_SEAL_ENFORCEMENT","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_CUSTODY_OR_SEIZURE_WINDOW","INSPECTION_TEAM_AND_CERTIFIER","CERTIFIED_CRADLE|INSPECTION|DATA_CUSTODY","PROPOSED_NONCANON_MAPPING"
"M-035","PROPOSED_SLOT","LOW_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","CONTRACT_LOGISTICS_ESCORT","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","CONVOY_CREW_AND_ESCORT_FLIGHT","SERVICE_CRADLE|MAINTAINERS|SUPPLY","PROPOSED_NONCANON_MAPPING"
"M-036","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","EVACUATION_GUIDANCE_AND_CROWD_CONTROL","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_RESCUE_CORRIDOR","EVACUATION_TEAMS_AND_TRANSPORT","RESCUE_CRADLE|RECOVERY|SUPPLY","PROPOSED_NONCANON_MAPPING"
"M-037","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","MINING_AND_RESOURCE_EXTRACTION","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_WORK_ACCESS_ONLY","WORK_CREWS_AND_SITE_RIG","WORK_CRADLE|TOOLS|SPARES","PROPOSED_NONCANON_MAPPING"
"M-038","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","URBAN_DISASTER_RESPONSE_AND_FIREFIGHTING","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_WORK_ACCESS_ONLY","CIVIL_SERVICE_TEAMS_AND_LOCAL_BASE","WORK_CRADLE|TOOLS|SUPPLY","PROPOSED_NONCANON_MAPPING"
"M-039","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","LONG_RANGE_PATIENT_TRANSFER","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_MEDICAL_TRANSFER_ONLY","MEDICAL_TEAMS_AND_RECEIVING_FACILITY","MEDICAL_CRADLE|LIFE_SUPPORT|MEDICAL","PROPOSED_NONCANON_MAPPING"
"M-040","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","QUARANTINE_AND_ISOLATED_TRANSFER","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_QUARANTINE_OR_EVIDENCE_WINDOW","QUARANTINE_TEAMS_AND_AUTHORITY","MEDICAL_CRADLE|LIFE_SUPPORT|AUTHORITY","PROPOSED_NONCANON_MAPPING"
"M-041","PROPOSED_SLOT","LOW_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","CAPTURED_HULL_CONVERSION_ASSAULT","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","ASSAULT_ELEMENT_AND_RECOVERY","MODIFIED_CRADLE|MAINTAINERS|AMMUNITION","PROPOSED_NONCANON_MAPPING"
"M-042","PROPOSED_SLOT","LOW_VOLUME_SERIES","SERVICE_INDUSTRIAL","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","WRECK_BREAKING_AND_PART_RECOVERY","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","LOCAL_SALVAGE_ACCESS_ONLY","SALVAGE_CREWS_AND_YARD","HEAVY_CRADLE|TOOLS|HEAVY_TOW","PROPOSED_NONCANON_MAPPING"
"M-043","PROPOSED_SLOT","LOW_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","LONG_ENDURANCE_FRONTIER_PATROL","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","PATROL_FLIGHT_AND_RELIEF_CREW","FRONTIER_CRADLE|MAINTAINERS|SUPPLY","PROPOSED_NONCANON_MAPPING"
"M-044","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","AUDIT_ESCORT_AND_EVIDENCE_VERIFICATION","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_CUSTODY_OR_SEIZURE_WINDOW","AUDIT_TEAM_AND_CUSTODIAN","SECURE_CRADLE|PROVENANCE_TEAM|DATA_CUSTODY","PROPOSED_NONCANON_MAPPING"
"M-045","PROPOSED_SLOT","LOW_VOLUME_SERIES","LINE_COMBAT","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","ARCHIVE_REGION_LOCAL_DEFENSE","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","NONE_LINE_UNIT","LOCAL_DEFENCE_TEAM_AND_SITE_CREW","LOCAL_CRADLE|MAINTAINERS|AMMUNITION","PROPOSED_NONCANON_MAPPING"
"M-046","PROPOSED_SLOT","LOW_VOLUME_SERIES","SPECIALIST","HULL_INSTANCE_LEDGER_ONLY","SUPPORT_FLIGHT_OR_BASE","RECORD_CONTAINMENT_AND_COUNTER_INTERFACE","C04_SUPPORT_CANDIDATE","NO_HEALTHY_SQUADRON_ANNIHILATION","ONE_LOCAL_ISOLATION_OR_INTERFACE_WINDOW","CONTAINMENT_TEAM_AND_CUSTODIAN","SECURE_CRADLE|DATA_CUSTODY|AUTHORITY","PROPOSED_NONCANON_MAPPING"
