"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","decision_maker","entry_exit","veto_holder","funding","texture_status"
"F-03-a","제조","GA1","B3","GA10","생산량과 공정 독점 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","생산 물량이 발주에 묶여 발주처의 정치에 종속된다","라인을 세우는 것만으로 상대 진영의 보충을 끊을 수 있다","M-016","[ASSUMPTION] 제조 부문 이사 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","생산 계약","[ASSUMPTION] 발주처가 물량 결정권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 발주 대금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-03-b","금융·계약","GA1","A2","GA10","계약으로 만드는 종속 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","계약이 끊기면 상대가 즉시 멈춘다","채무 조건을 설계해 자산이 아니라 사람의 노동을 담보로 잡을 수 있다","M-016","[ASSUMPTION] 금융·계약 부문 이사 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","채권 계약","[ASSUMPTION] 채권자가 회수 개시권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 이자와 수수료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-03-c","변경 혁신","GA1","B3","GA10","규격 밖의 이익 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","변경 혁신은 인증을 못 받아 본사 규격으로 흡수되어야 팔린다","변경의 발명을 인증 조건으로 사들여 발명자를 지울 수 있다","M-016","[ASSUMPTION] 변경 혁신 부문 이사 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","발명자와 개별 계약","[ASSUMPTION] 본사 인증 부문이 규격 편입 결정권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 본사 배분 + 라이선스 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-03-d","자율 체계","GA1","C1","GA10","사람을 덜 쓰는 운용 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","자율 계통은 사고 시 책임 주체가 사람으로 되돌아온다","판단을 기계에 맡겼다고 하고 책임은 조종사에게 남길 수 있다","M-016","[ASSUMPTION] 자율 계통 부문 이사 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","연구 계약","[ASSUMPTION] 책임 조항이 계약서에서 결정됨 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 본사 배분 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-03-e","인적 성능","GA1","C1","GA10","조종사 신체 데이터 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","인체 성능 향상은 되돌릴 수 없고 계약 종료 후에도 몸에 남는다","성능 조건을 고용 조건으로 만들면 거절이 실직이 된다","M-016","[ASSUMPTION] 인체 성능 부문 이사 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","피험자 동의 계약, 이탈해도 몸에 남음","[ASSUMPTION] 의료 인증 기관이 시술 중단권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 고용주 발주 + 본사 배분 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-04","변경 독립 무장","GA1","D2","GA7","자치를 원하는 세력이 내부에서 갈라지는 과정","네 분파가 서로를 배신 가능하다","독립이라는 같은 말로 서로 다른 넷을 묶어 책임을 분산시킬 수 있다","NONE","[ASSUMPTION] 네 분파 대표 회의 — 만장일치 아님 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","분파 단위 참여, 이탈 자유","[ASSUMPTION] 각 분파가 개별 행동권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 노획·기부·지역 징수 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-04-a","연방파","GA1","D2","GA7","협상으로 얻는 지분 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","연방안은 협상 기간이 길어 그 사이 무력 분파에게 명분을 준다","협상 지연을 이유로 다른 분파의 선제 행동을 유도할 수 있다","NONE","[ASSUMPTION] 연방파 협의회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","성계 단위 가입","[ASSUMPTION] 가입 성계가 탈퇴권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 성계 분담금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-04-b","혁명파","GA1","D3","GA7","체제 전복 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","혁명 노선은 승리해도 통치 경험이 없다","구체제 붕괴 자체를 목표로 삼으면 그 뒤의 피해는 계산에서 빠진다","NONE","[ASSUMPTION] 혁명파 지도부 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","개인 서약","[ASSUMPTION] 지도부만 결정, 구성원 거부권 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 노획과 기부 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-04-c","지역파","GA1","D2","GA7","우리 마을만의 안전 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","지역주의는 자기 성계 밖의 연대를 만들지 못한다","인접 성계를 방패로 쓰고 자기 구역만 지킬 수 있다","NONE","[ASSUMPTION] 지역 자치체 각각 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","지역 주민 총회 승인","[ASSUMPTION] 주민 총회가 거부권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 지역 세입 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-04-d","초토파","GA1","D3","GA7","빼앗기느니 태우기 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","초토화는 되돌릴 수 없고 되찾을 땅을 없앤다","제국이 못 쓰게 만든다는 명분으로 주민의 생활 기반을 태울 수 있다","NONE","[ASSUMPTION] 초토화 노선 지휘관 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","개인 서약, 이탈은 배신으로 처리","[ASSUMPTION] 없음 — 지휘관 단독 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 탈취 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-05","항로 중립·구호","GA1","A3","GA6","통행의 자유를 지키려다 중립이 불가능해지는 지점","중립은 무장 없이 유지되지 않는다","중립 표식을 단 선박이 실제로는 한쪽 보급을 나를 수 있다","M-015","[ASSUMPTION] 항로연합 총회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","선사·기구 단위 가입, 중립 준수가 조건","[ASSUMPTION] 가입 기구가 개별 철수권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 통행 분담금 + 보험료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-05-a","인도","GA1","A3","GA6","살리는 것 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","구호는 접근 허가를 받아야 하고 허가권자는 교전 당사자다","구호 물자 반입 조건으로 정치적 승인을 받아낼 수 있다","M-015","[ASSUMPTION] 인도지원 기구 이사회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","기구 가입","[ASSUMPTION] 교전 당사자가 접근 허가권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 기부와 분담금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-05-b","보험","GA1","A3","GA6","위험의 계산 가능성 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","보험은 위험 지역을 산정에서 빼는 방식으로 살아남는다","보험료를 올려 특정 항로를 실질적으로 폐쇄할 수 있다","M-015","[ASSUMPTION] 보험 기구 인수위원회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","보험 계약","[ASSUMPTION] 인수위가 인수 거절권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 보험료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-05-c","자유항","GA1","","GA6","관세 없는 항로 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","자유항은 등록을 묻지 않는 대가로 분쟁 해결 수단이 없다","무등록자에게는 어떤 착취도 제소가 불가능하다","M-015","[ASSUMPTION] 자유항 운영체 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","등록 없이 이용 가능","[ASSUMPTION] 운영체가 입항 거부권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 정박료와 중개 수수료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-05-d","항로연합 중립 무장","GA1","D3","GA6","중립의 무장 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","중립 무장은 어느 쪽에 쓰든 중립성을 잃는다","호위 계약 선택 자체가 사실상의 진영 선택이 된다","M-015","[ASSUMPTION] 중립 무장 지휘부 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","호위 계약","[ASSUMPTION] 계약 상대 선택이 곧 진영 선택 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 호위 계약금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-05-e","기억","GA1","B2","GA6","지워진 사건의 보존 — 이 요구가 생태계 안에서 다른 블록과 부딪힌다","기억 보존은 유지비가 계속 들고 자금원이 곧 편향이다","누구의 죽음을 기록할지가 후원자에 따라 달라질 수 있다","M-015","[ASSUMPTION] 기억 보존 기구 평의회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","기구 가입","[ASSUMPTION] 후원자가 기록 대상 선정에 영향 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 후원금 — 곧 편향의 원천 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"F-06","**단일 세력 아님**","GA1","D4","GA10","대표자가 없어 협약이 성립하지 않는 층","협상 상대를 특정할 수 없다","단일 세력으로 취급하면 무관한 집단까지 함께 적이 된다","NONE","[ASSUMPTION] 단일 의사결정 주체 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","가입 개념이 성립하지 않음","[ASSUMPTION] 특정 거부권자를 지목할 수 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 단일 자금원 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"REC-F01","계승 인증 총국","GA8","","GA10","기록전에서 기록의 진위를 인증할 권한","인증 권한을 유지하려면 기준을 계속 좁혀야 한다","인증 실패를 존재 부정으로 전환할 수 있다","M-008","[ASSUMPTION] 인증 총국 국장 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","국가 임명","[ASSUMPTION] 총국이 인증 발급·취소권 독점 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 국가 예산 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"REC-F02","복수 기록 연합","GA8","","GA10","기록전에서 복수의 기록이 공존할 권리","복수의 기록을 병존시키면 무엇이 사실인지 판정되지 않는다","모든 기록을 동등하게 두면 조작된 기록도 동등해진다","M-008","[ASSUMPTION] 복수 기록 연합 평의회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","기록 기구 단위 가입","[ASSUMPTION] 각 기구가 자기 기록 철회권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 회원 기구 분담금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"REC-F03","복원 진상 의회","GA8","","GA10","기록전에서 지워진 진실의 복원","진상 규명은 가해자 명단을 만들고 그 명단이 다음 보복의 근거가 된다","진실 규명을 명분으로 정치적 숙청 명단을 만들 수 있다","M-008","[ASSUMPTION] 진상 규명 의회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","피해자·유족 등록","[ASSUMPTION] 의회 표결로만 명단 확정 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 복원 체제 예산 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"REC-F04","잊힐 권리 연결망","GA8","","GA10","기록전에서 잊힐 권리와 해방","잊힐 권리는 피해 사실도 함께 지운다","가해 기록을 개인정보로 분류해 삭제를 요구할 수 있다","M-008","[ASSUMPTION] 잊힐 권리 연결망 — 분산형 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","개인 신청","[ASSUMPTION] 신청 개인이 삭제 요구권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 기부 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"REC-F05","복합 인격 협약","GA8","","GA10","기록전에서 AI·복합 인격의 인격권","복합 인격의 권리를 인정하면 책임 주체도 복합이 된다","인격을 주장해 권리는 갖고 책임은 분산시킬 수 있다","M-008","[ASSUMPTION] 복합 인격 협약 총회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","인격 인정 심사 후 가입","[ASSUMPTION] 협약 총회가 인격 인정권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 회원 분담금 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"REC-F06","국가·헬릭스 운영기록 동맹","GA8","","GA10","기록전에서 운영 기록의 국가·기업 통제","운영 기록은 정확하지만 그것을 만든 목적이 통치다","정확성을 근거로 다른 기록을 부정확하다고 배제할 수 있다","M-008","[ASSUMPTION] 국가·헬릭스 공동 운영위 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","양측 지명","[ASSUMPTION] 양측 모두 거부권 보유 — 교착 상시 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 국가 예산 + 헬릭스 출자 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F01","아르디스 시민 연속성 협의회","GA3","","GA10","아르디스에서 도시 서비스의 연속성","시민 협의체는 결정이 느리고 그 사이 채권자가 먼저 움직인다","협의 절차를 지연시켜 결정 없이 시한을 넘길 수 있다","M-019","[ASSUMPTION] 시민 협의체 총회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","아르디스 주민 자격","[ASSUMPTION] 총회 정족수가 사실상의 거부권 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 지역 세입 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F02","주조 노동자 조합","GA3","","GA10","아르디스에서 노동자의 몫과 안전","작업자 조합은 파업이 곧 자기 임금 손실이다","생산 중단 책임을 조합에 물려 여론을 돌릴 수 있다","M-019","[ASSUMPTION] 작업자 조합 대의원회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","작업장 소속","[ASSUMPTION] 조합이 파업 결정권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 조합비 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F03","노드 관리단","GA3","","GA10","아르디스에서 노드 관리 권한의 유지","노드 관리단은 기술 권한은 있으나 정치적 대표성이 없다","노드를 멈추면 협상력이 생기지만 주민이 먼저 죽는다","M-019","[ASSUMPTION] 노드 관리단 기술위원회 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","기술 자격 심사","[ASSUMPTION] 관리단이 노드 정지권 보유 — 주민이 먼저 피해 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 노드 운용 수수료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F04","통행·미등록 주민 회의","GA3","","GA10","아르디스에서 미등록 주민의 존재 인정","무등록 주민 회의는 구성원 명부를 만들면 그 명부가 색출 자료가 된다","대표성을 증명하라는 요구 자체가 명부 제출 요구가 된다","M-019","[ASSUMPTION] 무등록 주민 회의 — 명부 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","명부를 만들면 색출 자료가 됨","[ASSUMPTION] 명부 부재가 유일한 방어 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 자체 갹출 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F05","아르디스 연방·독립 연합","GA3","","GA10","아르디스에서 아르디스의 독립","독립 연합은 제국 이탈 시 채무 승계 문제를 풀지 못했다","독립을 채무 회피로 규정해 지지층을 분열시킬 수 있다","M-019","[ASSUMPTION] 독립 연합 지도부 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","개인·조직 참여","[ASSUMPTION] 채무 승계 문제로 지지층이 분열 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 기부와 지역 징수 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F06","헬릭스 채권 회수단","GA3","","GA10","아르디스에서 채권 회수","채권 회수단은 회수할수록 회수 대상의 지불 능력을 깎는다","생활 기반을 압류해 회수율을 올리고 장기 손실은 다음 담당자에게 넘길 수 있다","M-019","[ASSUMPTION] 헬릭스 채권 회수단장 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","헬릭스 임명","[ASSUMPTION] 채권자가 압류 개시권 보유 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 회수 실적 수수료 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
"AR-F07","지역 방위 사령부","GA3","","GA10","아르디스에서 지역 방위의 자율성","지역 방위대는 제국군과 독립군 양쪽에서 이탈자 취급을 받는다","어느 쪽도 아니라는 위치를 이용해 양쪽에서 보급을 받을 수 있다","M-019","[ASSUMPTION] 지역 방위대 사령관 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","지역 주민 지원","[ASSUMPTION] 양쪽 모두에게 이탈자 취급 — 보호 거부권 없음 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","[ASSUMPTION] 지역 세입 + 양측 보급 — 정본은 방향만 주고 기관·예산명을 확정하지 않았다","PENDING_SCENE"
