entry_id,source_row_id,source_key,source_file,source_line,arc,section,source_id,title,entry_kind,primary_domain,domain_tags,source_domain_tags,desire_phases,entity_id_candidate,subject_slot_candidate,subject_ids,host_id_candidate,current_holder,canon_tier,classification_basis,review_flags,canon_promotion
NC-CL-R-000011,NC-CL-S-000004,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,65,GA1,People & Relationship Records,P-004,M-001 / Medical and Rescue Cadet,ENTITY,C1,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000012,NC-CL-S-000004,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,65,GA1,People & Relationship Records,P-004,M-001 / Medical and Rescue Cadet,RELATIONSHIP,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000013,NC-CL-S-000004,docs/09_collection/first-100-collectible-registry-v1.md#P-004,docs/09_collection/first-100-collectible-registry-v1.md,65,GA1,People & Relationship Records,P-004,M-001 / Medical and Rescue Cadet,CONTROL_CLAIM,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000014,NC-CL-S-000005,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,76,GA1,People & Relationship Records,P-005,I-001 / Field Instructor,ENTITY,C1,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000015,NC-CL-S-000005,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,76,GA1,People & Relationship Records,P-005,I-001 / Field Instructor,RELATIONSHIP,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000016,NC-CL-S-000005,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,76,GA1,People & Relationship Records,P-005,I-001 / Field Instructor,CONTROL_CLAIM,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000017,NC-CL-S-000005,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,76,GA1,People & Relationship Records,P-005,I-001 / Field Instructor,STATE_TRANSITION,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000018,NC-CL-S-000006,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,88,GA1,People & Relationship Records,P-006,E-001 / White Dock Enemy Ace,ENTITY,C1,C1,C1,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000019,NC-CL-S-000006,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,88,GA1,People & Relationship Records,P-006,E-001 / White Dock Enemy Ace,RELATIONSHIP,C1,C1,C1,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000020,NC-CL-S-000006,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,88,GA1,People & Relationship Records,P-006,E-001 / White Dock Enemy Ace,NARRATIVE_PROMISE,C1,C1,C1,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000021,NC-CL-S-000007,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,99,GA1,People & Relationship Records,P-007,R-IMP-001 / Imperial Observer,ENTITY,C1,C1,C1|C2|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000022,NC-CL-S-000007,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,99,GA1,People & Relationship Records,P-007,R-IMP-001 / Imperial Observer,RELATIONSHIP,C1,C1|C7|C2,C1|C2|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000023,NC-CL-S-000007,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,99,GA1,People & Relationship Records,P-007,R-IMP-001 / Imperial Observer,CONTROL_CLAIM,C1,C1|C2|C7,C1|C2|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000024,NC-CL-S-000008,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,110,GA1,People & Relationship Records,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,ENTITY,C1,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000025,NC-CL-S-000008,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,110,GA1,People & Relationship Records,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,RELATIONSHIP,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000026,NC-CL-S-000008,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,110,GA1,People & Relationship Records,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,CONTROL_CLAIM,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000027,NC-CL-S-000008,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,110,GA1,People & Relationship Records,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,LOSS_OBLIGATION,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000028,NC-CL-S-000009,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,120,GA1,People & Relationship Records,P-009,R-HEL-001 / Helix Evaluator,ENTITY,C1,C1,C1|C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000029,NC-CL-S-000009,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,120,GA1,People & Relationship Records,P-009,R-HEL-001 / Helix Evaluator,RELATIONSHIP,C1,C1|C7|C2|C3,C1|C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000030,NC-CL-S-000009,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,120,GA1,People & Relationship Records,P-009,R-HEL-001 / Helix Evaluator,CONTROL_CLAIM,C1,C1|C2|C3|C7,C1|C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000031,NC-CL-S-000009,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,120,GA1,People & Relationship Records,P-009,R-HEL-001 / Helix Evaluator,LOSS_OBLIGATION,C1,C1|C2|C3|C7,C1|C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000032,NC-CL-S-000010,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,130,GA1,People & Relationship Records,P-010,AI-W001 / Black Ward Witness Interface,ENTITY,C1,C1,C1|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000033,NC-CL-S-000010,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,130,GA1,People & Relationship Records,P-010,AI-W001 / Black Ward Witness Interface,RELATIONSHIP,C1,C1|C7|C6,C1|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000034,NC-CL-S-000010,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,130,GA1,People & Relationship Records,P-010,AI-W001 / Black Ward Witness Interface,CONTROL_CLAIM,C1,C1|C6|C7,C1|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000035,NC-CL-S-000010,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,130,GA1,People & Relationship Records,P-010,AI-W001 / Black Ward Witness Interface,NARRATIVE_PROMISE,C1,C1|C6|C7,C1|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000036,NC-CL-S-000011,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,141,GA1,People & Relationship Records,P-011,Protector/Community Focal Network,ENTITY,C1,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000037,NC-CL-S-000011,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,141,GA1,People & Relationship Records,P-011,Protector/Community Focal Network,RELATIONSHIP,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000038,NC-CL-S-000011,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,141,GA1,People & Relationship Records,P-011,Protector/Community Focal Network,CONTROL_CLAIM,C1,C1|C7,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000039,NC-CL-S-000012,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,159,GA1,"07호 Frame, Tools and Service-Key Set",F-001,07 Core / AUXILIA Inspection Kernel,ENTITY,C2,C2,C2|C6,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000040,NC-CL-S-000012,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,159,GA1,"07호 Frame, Tools and Service-Key Set",F-001,07 Core / AUXILIA Inspection Kernel,CONTROL_CLAIM,C2,C2|C6,C2|C6,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000041,NC-CL-S-000012,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,159,GA1,"07호 Frame, Tools and Service-Key Set",F-001,07 Core / AUXILIA Inspection Kernel,STATE_TRANSITION,C2,C2|C6,C2|C6,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000042,NC-CL-S-000013,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,168,GA1,"07호 Frame, Tools and Service-Key Set",F-002,Asymmetric Radiator Wing,ENTITY,C2,C2,C2|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000043,NC-CL-S-000013,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,168,GA1,"07호 Frame, Tools and Service-Key Set",F-002,Asymmetric Radiator Wing,CONTROL_CLAIM,C2,C2|C7,C2|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000044,NC-CL-S-000013,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,168,GA1,"07호 Frame, Tools and Service-Key Set",F-002,Asymmetric Radiator Wing,LOSS_OBLIGATION,C2,C2|C7,C2|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000045,NC-CL-S-000014,docs/09_collection/first-100-collectible-registry-v1.md#F-003,docs/09_collection/first-100-collectible-registry-v1.md,176,GA1,"07호 Frame, Tools and Service-Key Set",F-003,Industrial Manipulator Arm,ENTITY,C2,C2,C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000046,NC-CL-S-000014,docs/09_collection/first-100-collectible-registry-v1.md#F-003,docs/09_collection/first-100-collectible-registry-v1.md,176,GA1,"07호 Frame, Tools and Service-Key Set",F-003,Industrial Manipulator Arm,CONTROL_CLAIM,C2,C2|C3|C7,C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000047,NC-CL-S-000015,docs/09_collection/first-100-collectible-registry-v1.md#F-004,docs/09_collection/first-100-collectible-registry-v1.md,184,GA1,"07호 Frame, Tools and Service-Key Set",F-004,Anchor Shield Plate,ENTITY,C3,C3,C3|C7,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000048,NC-CL-S-000015,docs/09_collection/first-100-collectible-registry-v1.md#F-004,docs/09_collection/first-100-collectible-registry-v1.md,184,GA1,"07호 Frame, Tools and Service-Key Set",F-004,Anchor Shield Plate,CONTROL_CLAIM,C3,C3|C7,C3|C7,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000049,NC-CL-S-000016,docs/09_collection/first-100-collectible-registry-v1.md#F-005,docs/09_collection/first-100-collectible-registry-v1.md,192,GA1,"07호 Frame, Tools and Service-Key Set",F-005,Mixed Leg Pair,ENTITY,C2,C2,C2,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000050,NC-CL-S-000016,docs/09_collection/first-100-collectible-registry-v1.md#F-005,docs/09_collection/first-100-collectible-registry-v1.md,192,GA1,"07호 Frame, Tools and Service-Key Set",F-005,Mixed Leg Pair,STATE_TRANSITION,C2,C2,C2,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000051,NC-CL-S-000017,docs/09_collection/first-100-collectible-registry-v1.md#F-006,docs/09_collection/first-100-collectible-registry-v1.md,200,GA1,"07호 Frame, Tools and Service-Key Set",F-006,Utility Sensor Head,ENTITY,C2,C2,C2,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000052,NC-CL-S-000017,docs/09_collection/first-100-collectible-registry-v1.md#F-006,docs/09_collection/first-100-collectible-registry-v1.md,200,GA1,"07호 Frame, Tools and Service-Key Set",F-006,Utility Sensor Head,STATE_TRANSITION,C2,C2,C2,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000053,NC-CL-S-000018,docs/09_collection/first-100-collectible-registry-v1.md#F-007,docs/09_collection/first-100-collectible-registry-v1.md,208,GA1,"07호 Frame, Tools and Service-Key Set",F-007,Thermal Cutter Lance,ENTITY,C3,C3,C3,DISCOVERY|ACQUISITION|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000054,NC-CL-S-000019,docs/09_collection/first-100-collectible-registry-v1.md#F-008,docs/09_collection/first-100-collectible-registry-v1.md,216,GA1,"07호 Frame, Tools and Service-Key Set",F-008,Rescue Tether/Cable Launcher,ENTITY,C3,C3,C3,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
NC-CL-R-000055,NC-CL-S-000020,docs/09_collection/first-100-collectible-registry-v1.md#F-009,docs/09_collection/first-100-collectible-registry-v1.md,224,GA1,"07호 Frame, Tools and Service-Key Set",F-009,Sensor-Tag Projector,ENTITY,C3,C3,C3,DISCOVERY|SYNERGY,UNRESOLVED,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,PM_MERGE_REQUIRED,NONE
