identity_key,korean_name,other_names_or_codes,record_type,final_tier,ga_window,faction_or_org,function_summary,tier_evidence,source_docs,alias_merge_hints,aliases
dor-kein,도르 케인,C-PRO-001; CLM-03,PERSON,CORE_ANTAGONIST_RIVAL,GA4-6,군부/비상 보호총감,비상 군사 보호자 청구축; 합법 비상권한으로 군권 통합 시도 후 협약 수용; GA6 사임; P-001의 미래 거울상,name-lock §6; ga4-final §3; ledger §4,name-lock; ga4-frontstage-claimants; ga4-final; ga5 문서군; officeholders-ledger; succession-table,CLM-03 확정 인물(Protector 일치); Dor Kain은 표기 변형; GA5 관계락 Dor 병합,Dor Kein; Dor Kain(표기); C-PRO-001; CLM-03; Emergency Protector; 비상호국관; Dor
kael-ors,,Commander Kael Ors,PERSON,IMPORTANT_EXTRA,GA9(E976-1000),연속성 엔클레이브 군사령부,엔클레이브 군사령관; 융합 지휘 주장·최후통첩·자격증명 잠금; E991 인증 함대지휘 상실; GA9 클라이맥스 군사 적대자,ga9-e976-1000 §4,ga9-e976-1000,PR-L03 실현체 후보이나 ledger는 야렌 코르를 PR-L03로 명명 — 코드 매핑 미해결; Kelin Ors와 별개; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 카엘 오르스); F-검증 정정: 근거 단일 절(ga9-e976-1000 §4)·1개 문서 등장 — 반복성 기준 미달로 강등,Kael Ors
asel-varon,아셀 바론,OFC-001,PERSON,CORE_ANTAGONIST_RIVAL,GA5-6,독립 외곽전선(Eighth Screen),주 거부자(Main Rejecter) 축; E549 자율 승리로 62만명 보호; 헌장 미가입·별도 전역 사령관; 회유·전향 처리 금지 잠금,ga5-title §1; ga5-outerfront §1,ga5 문서군,FC-005 코드 부여 금지(ga5-title §9); D1 독립 야전함대 설계의 실현체,Asel Varon; OFC-001
rasa-ked,,RC9-001,PERSON,CORE_ANTAGONIST_RIVAL,GA5-6,회수열 9/적대 계약·금융망,구 계약보안 출신 회수열 지휘관; E533 생존 철수; 법률·금융 네트워크 존속; GA6 이후 정산 갈등의 존속 적대 축,ga5-outerfront §3; ga5 §9,ga5 문서군,사망·전향·완파 아님 명시 — 재등장 설계; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 라사 케드),Rasa Ked; RC9-001
kar-vazen,카르 바젠,RF-L03,PERSON,RECURRING_SUPPORT,GA7,초토 거부 연합,경성 거부 사령; 하렌의 교리·직함 차용 초토화; 구금 또는 실각; GA7 국지 적대축,ledger §18; ga7-route-war-leaders RF-L03,officeholders-ledger; ga7-route-war-leaders; succession-table §6,sweep의 Kar(스코치드 셀)=Kar Vazen 병합; ledger 승격 후보 명시; F-검증 정정: 3개 문서 등장 — 적대 라벨이 아니라 반복성 기준으로 재배정,Kar Vazen; RF-L03; Kar; Scorched Route Commander
yaren-kor,야렌 코르,PR-L03(ledger),PERSON,CORE_ANTAGONIST_RIVAL,GA4-10,군부→캐스케이드 보안,보호총감 참모장→GA9 캐스케이드 보안 사령관(강제 동기화·선제 압류); GA10 관할권 만료,ledger §4·§30; succession-table §3·§8,officeholders-ledger; succession-table,ledger가 PR-L03 현직으로 명명 — GA9 최종 실현체 Kael Ors와의 관계 미해결; 아마 코르→아마 하크와 별개,Yaren Kor; PR-L03
della-os,델라 오스,Della Os,PERSON,IMPORTANT_EXTRA,GA9-10,보존체제 강경 분파,캐스케이드 보안 부사령→GA10 전환 실패를 명분 삼는 강경 분파 지도자; 합법적 중앙 지위 상실,ledger §30; succession-table §12,officeholders-ledger; succession-table,Della Wen(GA3)과 별개; F-검증 정정: 2개 문서 등장 — 반복성 기준 미달로 강등,Della Os
maren-dove,마렌 도브,CAP-001,PERSON,RECURRING_SUPPORT,GA2-10,파루스(NR72-118),첫 함선 선장; 안전·퇴선 최종 책임; 위험명령 거부로 정직됐던 전직 선장; GA6 이후 훈련장/구조소 마스터 전환 선택권,name-lock §3 CAP-001 잠금; ga2-crew-bible §3,name-lock; terminology-bible; ga2-first-ship-crew-bible; checkpoint-matrix,name-lock이 CAP-001=마렌 도브 잠금(GA2 bible의 UNLOCKED를 상회); GA5 관계락 Maren 병합(추정); Rami Ode와 별개,Maren Dove; CAP-001; 마렌 함장; Maren; First Ship master
vera-thorn,베라 토른,ENG-001,PERSON,RECURRING_SUPPORT,GA2-10,파루스 기관부,수석 기관장; 인증·원자로 기술정지 최종 권한; GA8+ 영구 팔·신경 부상으로 야전 은퇴(복원 금지); GA10 기술·안전 보드,name-lock §3 ENG-001 잠금; ga8-10 영구손실 명단 전 문서,name-lock; terminology-bible; ga2-crew-bible; ga7-10 문서군; officeholders-ledger,ENG-001=베라 토른 잠금; 베라 콜(SG-D04)과 별개; 한글 표기 토른/손 혼재,Vera Thorn; ENG-001; 베라 기관장; 베라 손(표기변형)
luka-sel,루카 셀,NAV-001,PERSON,RECURRING_SUPPORT,GA2-10,파루스 항해부,항법사·노드 조종사; Lumen/Kael 항로 자격; 안전 역치 이하 천이 거부권,name-lock §3 NAV-001 잠금; ga2-e108-114 카드,name-lock; terminology-bible; ga2-crew-bible,NAV-001=루카 셀 잠금,Luka Sel; NAV-001
theo-marn,테오 마른,Q-001,PERSON,RECURRING_SUPPORT,GA2-10,파루스 사무부,보급·화물·임금·권리 청구 담당; 적하·부채·승객 할당의 법적 실체화,name-lock §3 Q-001 잠금,name-lock; terminology-bible; ga2-crew-bible; h001-roster,Q-001=테오 마른 잠금; 마른 성계와 발음충돌 관리,Theo Marn; Q-001
ella-savin,엘라 사빈,MED-001; OF-601,PERSON,RECURRING_SUPPORT,GA2-6(E680 사망; GA7-10 참조),파루스/프런티어 의료,면허 의료관; 미아의 상급자; 이송불가 환자와 잔류 후 E680 사망 잠금; 사후 기록이 동의로 작동 불가,name-lock §3 MED-001; roster §8 locked death E680,name-lock; ga2 문서군; ordinary-roster; ga7-10 영구손실 명단,MED-001=엘라 사빈 잠금; Savin/Sabin 표기 혼재; 사망 고정,Ella Savin; Ella Sabin(표기); MED-001; OF-601; 사빈 선생
dana-doan,다나 도안,PC-001,PERSON,RECURRING_SUPPORT,GA1-2,하렌 보호공동체,하렌의 법적 후견인·배급 조정자; H-001 학교계약 서명의 원죄 축; 공동체 독립 목소리,name-lock §4 PC-001 잠금; h001-focals §2-6,name-lock; h001-community-roster; h001-focals; checkpoint-matrix; errata-002,PC-001=다나 도안 잠금(h001 문서의 UNLOCKED 상회); 하렌과 성 공유는 등록 후견 신호,Dana Doan; PC-001; Guardian/Ration Coordinator
rivo-kas,리보 카스,PC-002,PERSON,RECURRING_SUPPORT,GA1-2·GA7 참조,하렌 보호공동체,동세대 친구·항로 급진화 축; GA2 호송 분쟁 초점; GA7 H-001 교리 반대 가능 재사용 명시,name-lock §4 PC-002; h001-roster §12,name-lock; h001-community-roster; h001-focals; checkpoint-matrix,PC-002=리보 카스 잠금; 리안/리보/리아 동시 전면 금지 규칙,Rivo Kas; PC-002; Rivo
orvan-sei,오르반 세이,PC-003,PERSON,RECURRING_SUPPORT,GA1-2·후기 회수,하렌 보호공동체/블랙워드 환자,신원폐쇄 기술자·멘토; 만성 치료 중; 공식 사망 처리된 생존자; 망각권 기초 사례로 후기 회수,name-lock §4 PC-003; h001-focals §11-14; ga1-e46-72 환자 초점,name-lock; h001 문서군; ga1 상태문서,PC-003=오르반 세이 잠금; 공동체 오르반·검은 병동 환자 오르반 세이 동일인 병합(신원폐쇄·만성치료 일치; sweep 경고 기록),Orvan Sei; PC-003; Orvan
ardo-rev,아르도 레브,FC-001; OR-STATE,PERSON,RECURRING_SUPPORT,GA5-6(E683 사망; GA7-10 참조),공동함대 통합사령(Legion Vanguard),통합·중앙 전투지휘 최강 옹호 제독; 멘토-라이벌; E683 보루의 맹세 함상 사망 잠금; 사후 승계 분할 기준점,name-lock §7 FC-001; ledger §6 dies E683,name-lock; ga5 문서군; ga6 문서군; officeholders-ledger; succession-table,FC-001=아르도 레브 잠금; OR-STATE-001 통합 권고 반영; 사망 고정 — 귀환 금지,Ardo Rev; FC-001; OR-STATE; OR-STATE-001
sira-keon,시라 케온,FC-002,PERSON,RECURRING_SUPPORT,GA5-10,지방/향토방위 함대,지방소환·철수권 옹호 제독; GA7 항로연합 군사 보증인; 자율 참가·영구 종속 아님,name-lock §7 FC-002; ledger §7,name-lock; ga5 문서군; ga7 문서군; officeholders-ledger,FC-002=시라 케온 잠금; Sena Rok·Sira Talren과 별개(유사음 관리),Sira Keon; FC-002
oren-roman,오렌 로만,FC-003,PERSON,RECURRING_SUPPORT,GA5-8,크라운 가드,민간 정통성 호위 사령; 왕관 상징의 사병화 저지; E501-525 호위 유지 선택의 비용 소유; 부상·피로로 야전 은퇴,name-lock §7·§10; ledger §8,name-lock; ga5 문서군; officeholders-ledger,구명 카엘 로만(Kael Roman) 개명 확정 — C2 검사 대상; 타브 오렌과 오렌 음절 충돌 관리,Oren Roman; FC-003; 카엘 로만(구명); Kael Roman(구명)
tav-oren,타브 오렌,FC-004,PERSON,RECURRING_SUPPORT,GA5-8,헬리오스/데메 조선소·정비망,조선소·정비 편대 사령; 수리우선권의 함대지휘화 위험 축; 이후 비지휘 표준·산업 좌석 수용,name-lock §7 FC-004; ledger §9,name-lock; ga5 문서군; officeholders-ledger,FC-004=타브 오렌 잠금,Tav Oren; FC-004
messa-rin,메사 린,FC-005,PERSON,RECURRING_SUPPORT,GA5-10,승조원·급여·가족 대표(헌장),승무원 급여·가족·항복·헌장 대표; 전술 함대지휘 없음; GA10 승조원·급여 도메인 조정자; CR-001 기능 흡수,errata-001 FC-005 최종명; ledger §10; ga5-vesper §1,errata-001; ga5 문서군; ga7 문서군; officeholders-ledger,구명 리아 메스(Ria Mess) 개명 — FC-005 코드 재배정(구 외곽전선 사령관 설계는 폐기); CR-001 직위 기능 흡수,Messa Rin; FC-005; 리아 메스(구명); Ria Mess(구명); CR-001(기능)
adel-sern,아델 세른,R-IMP-001,PERSON,RECURRING_SUPPORT,GA1-4·GA10 재사용,제국 정보부 Cultivation Bloc,제국 배양·연속성 관찰자(의료기록 커버); 이사회 제국석; 조력-가해 양면; 후일 승계 관련성 유지,charter-board §2; opening-institutional-reps R-IMP-001,charter-board; opening-institutional-reps; imperial-succession,구코드 R-IMP-001의 최종명=아델 세른(charter-board) — 개막 문서의 UNLOCKED 해소,Adel Sern; R-IMP-001; Imperial Observer; 황실 관찰자
luen-parr,루엔 파르,R-NEU-001,PERSON,RECURRING_SUPPORT,GA1-2·GA6·GA8-10,자유항로 중립회,중립 구조/청구 책임자·구조선 선장 겸 의료감사관; GA1 헌장 임시 신탁; GA6 제2오르페우스 회랑 결정 관여,charter-board §2; opening-institutional-reps R-NEU-001,charter-board; opening-institutional-reps; ga2-crew-bible,R-NEU-001 최종명=루엔 파르(charter-board); GA2 임시 의료/청구 겸직 옵션 병합,Luen Parr; R-NEU-001; Neutral Medical-Legal Representative
beric-kall,베릭 칼,R-HEL-001,PERSON,RECURRING_SUPPORT,GA1-10,헬릭스,헬릭스 계약 엔지니어·기술 평가자; 이사회 산업석; GA9 반Seed 동맹 반전; GA10 단독 계약권 상실; 패배한 악당 아님 명시,charter-board §2; opening-institutional-reps; ledger §32,charter-board; opening-institutional-reps; officeholders-ledger; succession-table,R-HEL-001 최종명=베릭 칼; Berik Kal(ledger)=Beric Kall 표기 혼재 병합; sweep의 berik 병합,Beric Kall; Berik Kal(표기); R-HEL-001; Helix Evaluator
kara-ven,카라 벤,PR-SF01; I-001(통합),PERSON,RECURRING_SUPPORT,GA1,교도학원 현장교관,현장 교관·안전관; E45 수동·현지 해제 승인; 포위전 별도 방어전선 지휘; 분리 합법화 각서 서명 거부,pref-reps PR-SF01; first-100-act-map-v2(I-001 통합 명시),pref-reps; charter-board; e45-incident; first-100-act-map-v2; i001-bible,first-100-act-map-v2가 개막 교관/I-001 기능을 카라 벤으로 통합 — i001-bible·P-001 문서의 무명 교관 병합,Kara Ven; PR-SF01; I-001; field instructor(교관)
meira-sol,메이라 솔,PR-L02,PERSON,RECURRING_SUPPORT,GA4-10,아우렐 감사/개혁 네트워크,출처·이의·감사 부관; Blood Admiral 서명 패턴 수사 리드; GA9 복수 안전장치 개혁가; GA10 임시 신원·이의 전환위 의장,ledger §5·§29; ga7 문서군; succession-table §3·§8,officeholders-ledger; ga7 문서군; succession-table; ga9-preservation-regime,PR-L02 현직=메이라 솔; S-001과의 통합 옵션은 미채택(별개 유지),Meira Sol; PR-L02
noa-tel,노아 텔,Noa Tel,PERSON,RECURRING_SUPPORT,GA4-10,민정,제1민정비서; Mara 유고 시 민정 서비스 관리; GA10 지역 민정 이사회 의장(섭정 비승계),ledger §3·§35; succession-table §3·§12,officeholders-ledger; succession-table,,Noa Tel; First Civil Secretary
iven-roa,이벤 로아,Iven Roa,PERSON,RECURRING_SUPPORT,GA5-10,공동함대 참모,참모장; 아르도 사후 생존 편성·참모 기법만 승계; GA10 통합사령 유산 대표,ledger §6·§38; succession-table §5,officeholders-ledger; succession-table,Iven Kor·Iven Sol·Iven Tal과 별개(이름 Iven 중복 계열),Iven Roa
sela-ruk,셀라 루크,Sela Ruk,PERSON,RECURRING_SUPPORT,GA5-9,크라운 가드→시민보호청,작전·소개 장교; 위조 귀환명령 탐지·거부; 18척 분할 지휘·전원 계수; GA8-9 시민보호청 사령,ga5 §1; ledger §8,ga5 문서군; officeholders-ledger,셀라 코브(GA3)와 별개,Sela Ruk
karin-ves,카린 베스,OR-INST-001,PERSON,RECURRING_SUPPORT,GA6-10,공공서비스 연속성,병원·공공서비스 연속성 설계자; 기능 분산 결정; 분산공공서비스협약 지도; GA10 공공서비스 조정자,ledger §11; ga6 §3,ga6 문서군; officeholders-ledger; succession-table,OR-INST-001 현직=카린 베스; Bes Aron과 유사음 관리,Karin Ves; OR-INST-001
pio-ras,피오 라스,Pio Ras,PERSON,RECURRING_SUPPORT,GA6-10,소형선/비정규 공동체,소형선·미등록·실종자 청구 대표; 2만8천명 현위치 증거; GA10 프런티어·이동측 대표,ledger §12·§37; ga7 e691-715 §5,ga7 문서군; officeholders-ledger,,Pio Ras
ora-niv,오라 니브,OR-NEU-001,PERSON,RECURRING_SUPPORT,GA6-7,중립 구조 네트워크,중립 구조·의료 조정자; 수용력 공개·정치적 징발 거부; 사후 중립 심사 대상,ga6 §4; ledger §13; succession-table §5,ga6 문서군; ga7 문서군; officeholders-ledger,OR-NEU-001 현직=오라 니브; Ora Fenn·Lea Nor와 유사음 관리,Ora Niv; OR-NEU-001
dael-mor,다엘 모르,RF-L01; PR-L04,PERSON,RECURRING_SUPPORT,GA7-10,상호항로연합,연합 소집자; 하렌 임명하되 개인 장악 차단; GA9 옵트아웃/하이브리드 지역 집행자; GA10 지역 정치인 잔류,ledger §16·§31; succession-table §6·§8,officeholders-ledger; succession-table; ga7-route-war-leaders,RF-L01 현직=다엘 모르; sweep의 Dael(사무국 축) 병합,Dael Mor; RF-L01; PR-L04; Dael
eva-sion,에바 시온,Eva Sion,PERSON,RECURRING_SUPPORT,GA7-10,상호항로연합,소형노드·돌봄망 대표; 비상회기 의장; GA10 이동 최소서비스·외부 피해자 지위 권한,ledger §16·§31; succession-table §6·§12,officeholders-ledger; succession-table,,Eva Sion
noren-sa,노렌 사,RF-L02,PERSON,RECURRING_SUPPORT,GA7-9,연속성 회랑 행정,회랑 서비스 행정 국장; 영구 키 관리 추구; 아우렐 확장 지지 후 민간 배분 보안 장악 반대,ledger §17,officeholders-ledger; ga7-route-war-leaders,RF-L02 현직=노렌 사,Noren Sa; RF-L02
ama-hark,아마 하크,Ama Hark,PERSON,RECURRING_SUPPORT,GA7-10,회랑→아우렐 감사,대기열·저신뢰 심사 국장; 유예지역 편향 폭로; 메이라 솔 개혁망 합류,errata-002; ledger §17·§29,errata-002; officeholders-ledger,구명 아마 코르(Ama Kor) — errata-002 최종명 아마 하크; 야렌 코르와 코르 표기 충돌 해소,Ama Hark; 아마 코르(구명); Ama Kor(구명); RF-L02 deputy
lin-osa,린 오사,RF-L05; OF-701; GA7-D4-VIC-001,PERSON,RECURRING_SUPPORT,GA7(E762 사망; GA8-10 참조),피해지역 의회/외곽 서비스 노동,의료·항로 조정자·하류 의존 대표; D4 서명 전 누락 증거 제출; E762 사망 잠금; 4개 원장 보존·순교자화 금지; GA8-10 전 문서 참조,ledger §20; errata-004; ga7 e741-765 §2,ga7 문서군; ga8-10 문서군; officeholders-ledger; errata-004; succession-table,Rin Osa는 표기 변형(succession-table) — 동일인; 사망 고정; Soa Rin·Messa Rin과 린 표기 충돌 관리,Lin Osa; Rin Osa(표기); RF-L05; OF-701; GA7-D4-VIC-001
tia-bel,티아 벨,Tia Bel,PERSON,RECURRING_SUPPORT,GA8-10,메리디안 기록원,공공접근 큐레이터; 다기관 금고 이사회 의장(소유자 아님); GA10 기록·출처 전환 참여,ledger §21·§39; succession-table §7,officeholders-ledger; succession-table,sweep의 Tia 병합; 이사 벨·벨 오나와 벨 표기 충돌 관리,Tia Bel; Tia
yona-ver,요나 베르,Yona Ver,PERSON,RECURRING_SUPPORT,GA8-10,아르디스 항로 미러,지역 미러 대표; 번역 아키텍처 수출·보편 템플릿화 거부; GA10 기록 전환 참여,ledger §23·§39; succession-table §7,officeholders-ledger; succession-table,sweep의 Yona 병합; 다오 베르와 베르 표기 충돌 관리; 근사 동명 주의: Mona Ver(ga4-post-pilot)와 별개 인물,Yona Ver; Yona
daya-nor,다야 노르,Daya Nor,PERSON,RECURRING_SUPPORT,GA8-10,오르센 환자·증인 메시,환자 자치 의장; 집계 번역 허용·거부 개인자료 보호; GA9 임기 만료 후 옹호자; GA10 환자 대표,ledger §22·§36; succession-table §7,officeholders-ledger; succession-table,sweep의 Daya 병합,Daya Nor; Daya
dara-ben,다라 벤,PR-L01; OF-901,PERSON,RECURRING_SUPPORT,GA9-10,수혜 공동체,아우렐 복원 공동체 선출 행정관; 동기화 옹호·일부 배제 지지; GA10 최소서비스 보장 후 단계적 이양 수용,ledger §28; roster §20,officeholders-ledger; ordinary-roster; succession-table,PR-L01 현직=다라 벤(ledger·roster 동일인 병합); sweep의 Dara 병합; 하라 벤과 벤 표기 충돌; 근사 동명 주의: Hara Ben(동일 문서 roster 내)과 별개 인물,Dara Ben; PR-L01; OF-901; Dara
sera-vin,세라 빈,Sera Vin,PERSON,RECURRING_SUPPORT,GA9-10,제조·프런티어 의료 협약,제조·의료 서비스 임원; GA10 사용자·노동자 감독 하 단일 제공자 협약 리드,ledger §32; succession-table §12,officeholders-ledger; succession-table,세라 케트·세린 계열과 발음 관리,Sera Vin
nemi-ora,네미 오라,OF-804,PERSON,RECURRING_SUPPORT,GA8-10,소릴 가구/접근성 공학,접근성 엔지니어; 소릴-7의 인간 파트너·옹호자(후견인 아님); GA10 AI·인격 주거·자원권 협상가,ledger §33; roster §18,officeholders-ledger; ordinary-roster,ledger·roster 동일인 병합; 세비 오라·오라 니브와 오라 표기 충돌,Nemi Ora; OF-804
mara-venn,,Mara Venn,PERSON,RECURRING_SUPPORT,GA9-10,연합 수혜자 서비스 운영,의료·필터·콜드체인 조정자; 4→24노드 연결; 60일 전환 지지; GA10 첫 무리안 작곡가 셀·안정 서비스 운영자; 520 지휘연계 사망 조사 지지,ga9 3개 문서 전 구간; ga10-e1001-1025 §8; e1026-1050 §13,ga9 문서군; ga10 문서군,PR-L01 통합 후보였으나 다라 벤이 현직 — 별개 유지; Yara/Jora Venn과 성 충돌 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 마라 벤(GA9)·마라 벤(GA10 표기 미확정)),Mara Venn
jessa-korr,,Jessa Korr,PERSON,RECURRING_SUPPORT,GA9-10,이동 정착지/선택역량 옹호,이동 정착지 위임; 휴대성·증인증명 캠페인; GA10 선택역량·병렬권 옹호(무상 옵트아웃 비판),ga9 3개 문서; ga10-e1026-1050 §14,ga9 문서군; ga10 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 제사 코르),Jessa Korr; 제사 코르/Jessa Korr(표기 미확정)
veraik-moss,,Veraik Moss,PERSON,RECURRING_SUPPORT,GA9-10,지역 물리 당국/기술 셀,지역 구조 엔지니어; E922·E987 물리 증거 기반 정지; GA10 첫 독립 작곡가 팀 혼성 셀 리드; 현재 물리 증거 우선 원칙의 체현,ga9 3개 문서; ga10-e1001-1025 §8,ga9 문서군; ga10 문서군,Vera Thorn과 부분 음소 중복 관리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 베라이크 모스),Veraik Moss
hel-tovan,,Hel Tovan,PERSON,RECURRING_SUPPORT,GA9-10,연합 보험,연합 보험자; 미검토 프로파일 영구 집단가격 금지 수용; GA10 국민투표기 가격동결·선택역량기금 기여,ga9 §10·§11; ga10-e1026-1050 §15,ga9 문서군; ga10 문서군,PR-L05와 기능 인접이나 별개 추정; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 헬 토반),Hel Tovan
eda-solen,에다 솔렌,Student Representative B,PERSON,IMPORTANT_EXTRA,GA1,학생(상급 코호트),19세 상급 생도; 외부 배치 수용 학생 대표석,charter-board §3,charter-board,,Eda Solen
amel-rook,아멜 루크,PR-PT01,PERSON,IMPORTANT_EXTRA,GA1,블랙워드 환자 대표,환자 대표 — 치료 연속성·동의/이송 감독석,pref-reps PR-PT01; charter-board §3,pref-reps; charter-board; ga1 카드,두 문서 동일인 병합 완료,Amel Rook; PR-PT01
bram-ido,브람 이도,PR-WK01,PERSON,IMPORTANT_EXTRA,GA1,학원 노동자(도크/정비),선임 도크 노동자 대표; 노동/정비석; 위험 지름길 거부권,pref-reps PR-WK01; charter-board §3,pref-reps; charter-board; first-100-act-map-v2,두 문서 동일인 병합 완료,Bram Ido; PR-WK01
