entry_id,source_key,source_file,source_id,title,entry_kind,domain_tags,reason,canon_promotion
DRY-CL-R-000017,docs/09_collection/first-100-collectible-registry-v1.md#P-005,docs/09_collection/first-100-collectible-registry-v1.md,P-005,I-001 / Field Instructor,STATE_TRANSITION,C1|C7,인물·제도 관계와 조사·권한 축소 상태가 결합,NONE
DRY-CL-R-000018,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,P-006,E-001 / White Dock Enemy Ace,ENTITY,C1,인물·경쟁 관계와 미회수 목적 약속이 함께 기록됨,NONE
DRY-CL-R-000019,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,P-006,E-001 / White Dock Enemy Ace,RELATIONSHIP,C1,인물·경쟁 관계와 미회수 목적 약속이 함께 기록됨,NONE
DRY-CL-R-000020,docs/09_collection/first-100-collectible-registry-v1.md#P-006,docs/09_collection/first-100-collectible-registry-v1.md,P-006,E-001 / White Dock Enemy Ace,NARRATIVE_PROMISE,C1,인물·경쟁 관계와 미회수 목적 약속이 함께 기록됨,NONE
DRY-CL-R-000021,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,P-007,R-IMP-001 / Imperial Observer,ENTITY,C1|C2|C7,인물·제국 대표 관계와 코어·헌장 권한이 결합,NONE
DRY-CL-R-000022,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,P-007,R-IMP-001 / Imperial Observer,RELATIONSHIP,C1|C2|C7,인물·제국 대표 관계와 코어·헌장 권한이 결합,NONE
DRY-CL-R-000023,docs/09_collection/first-100-collectible-registry-v1.md#P-007,docs/09_collection/first-100-collectible-registry-v1.md,P-007,R-IMP-001 / Imperial Observer,CONTROL_CLAIM,C1|C2|C7,인물·제국 대표 관계와 코어·헌장 권한이 결합,NONE
DRY-CL-R-000024,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,ENTITY,C1|C7,인물·중립 수탁 관계와 보호권·채무가 결합,NONE
DRY-CL-R-000025,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,RELATIONSHIP,C1|C7,인물·중립 수탁 관계와 보호권·채무가 결합,NONE
DRY-CL-R-000026,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,CONTROL_CLAIM,C1|C7,인물·중립 수탁 관계와 보호권·채무가 결합,NONE
DRY-CL-R-000027,docs/09_collection/first-100-collectible-registry-v1.md#P-008,docs/09_collection/first-100-collectible-registry-v1.md,P-008,R-NEU-001 / Neutral Rescue and Claims Officer,LOSS_OBLIGATION,C1|C7,인물·중립 수탁 관계와 보호권·채무가 결합,NONE
DRY-CL-R-000028,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,P-009,R-HEL-001 / Helix Evaluator,ENTITY,C1|C2|C3|C7,인물·계약 관계와 재산·정보권·채무가 결합,NONE
DRY-CL-R-000029,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,P-009,R-HEL-001 / Helix Evaluator,RELATIONSHIP,C1|C2|C3|C7,인물·계약 관계와 재산·정보권·채무가 결합,NONE
DRY-CL-R-000030,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,P-009,R-HEL-001 / Helix Evaluator,CONTROL_CLAIM,C1|C2|C3|C7,인물·계약 관계와 재산·정보권·채무가 결합,NONE
DRY-CL-R-000031,docs/09_collection/first-100-collectible-registry-v1.md#P-009,docs/09_collection/first-100-collectible-registry-v1.md,P-009,R-HEL-001 / Helix Evaluator,LOSS_OBLIGATION,C1|C2|C3|C7,인물·계약 관계와 재산·정보권·채무가 결합,NONE
DRY-CL-R-000032,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,P-010,AI-W001 / Black Ward Witness Interface,ENTITY,C1|C6|C7,인격체·증언 관계와 동의권·정체 미스터리가 결합,NONE
DRY-CL-R-000033,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,P-010,AI-W001 / Black Ward Witness Interface,RELATIONSHIP,C1|C6|C7,인격체·증언 관계와 동의권·정체 미스터리가 결합,NONE
DRY-CL-R-000034,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,P-010,AI-W001 / Black Ward Witness Interface,CONTROL_CLAIM,C1|C6|C7,인격체·증언 관계와 동의권·정체 미스터리가 결합,NONE
DRY-CL-R-000035,docs/09_collection/first-100-collectible-registry-v1.md#P-010,docs/09_collection/first-100-collectible-registry-v1.md,P-010,AI-W001 / Black Ward Witness Interface,NARRATIVE_PROMISE,C1|C6|C7,인격체·증언 관계와 동의권·정체 미스터리가 결합,NONE
DRY-CL-R-000036,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,P-011,Protector/Community Focal Network,ENTITY,C1|C7,공동체 실체·대표 관계와 치료·헌장 권리가 결합,NONE
DRY-CL-R-000037,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,P-011,Protector/Community Focal Network,RELATIONSHIP,C1|C7,공동체 실체·대표 관계와 치료·헌장 권리가 결합,NONE
DRY-CL-R-000038,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,P-011,Protector/Community Focal Network,CONTROL_CLAIM,C1|C7,공동체 실체·대표 관계와 치료·헌장 권리가 결합,NONE
DRY-CL-R-000039,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,F-001,07 Core / AUXILIA Inspection Kernel,ENTITY,C2|C6,코어 실체와 공동 접근권·분산복구 상태가 결합,NONE
DRY-CL-R-000040,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,F-001,07 Core / AUXILIA Inspection Kernel,CONTROL_CLAIM,C2|C6,코어 실체와 공동 접근권·분산복구 상태가 결합,NONE
DRY-CL-R-000041,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,F-001,07 Core / AUXILIA Inspection Kernel,STATE_TRANSITION,C2|C6,코어 실체와 공동 접근권·분산복구 상태가 결합,NONE
DRY-CL-R-000042,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,F-002,Asymmetric Radiator Wing,ENTITY,C2|C7,냉각 부품과 경매 청구권·검사채무가 결합,NONE
DRY-CL-R-000043,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,F-002,Asymmetric Radiator Wing,CONTROL_CLAIM,C2|C7,냉각 부품과 경매 청구권·검사채무가 결합,NONE
DRY-CL-R-000044,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,F-002,Asymmetric Radiator Wing,LOSS_OBLIGATION,C2|C7,냉각 부품과 경매 청구권·검사채무가 결합,NONE
DRY-CL-R-000045,docs/09_collection/first-100-collectible-registry-v1.md#F-003,docs/09_collection/first-100-collectible-registry-v1.md,F-003,Industrial Manipulator Arm,ENTITY,C2|C3|C7,기체 팔·공구 실체와 회수·노동 청구가 결합,NONE
DRY-CL-R-000046,docs/09_collection/first-100-collectible-registry-v1.md#F-003,docs/09_collection/first-100-collectible-registry-v1.md,F-003,Industrial Manipulator Arm,CONTROL_CLAIM,C2|C3|C7,기체 팔·공구 실체와 회수·노동 청구가 결합,NONE
DRY-CL-R-000047,docs/09_collection/first-100-collectible-registry-v1.md#F-004,docs/09_collection/first-100-collectible-registry-v1.md,F-004,Anchor Shield Plate,ENTITY,C3|C7,방어 장비와 임무 사용권이 명시적으로 분리됨,NONE
DRY-CL-R-000048,docs/09_collection/first-100-collectible-registry-v1.md#F-004,docs/09_collection/first-100-collectible-registry-v1.md,F-004,Anchor Shield Plate,CONTROL_CLAIM,C3|C7,방어 장비와 임무 사용권이 명시적으로 분리됨,NONE
DRY-CL-R-000049,docs/09_collection/first-100-collectible-registry-v1.md#F-005,docs/09_collection/first-100-collectible-registry-v1.md,F-005,Mixed Leg Pair,ENTITY,C2,다리 실체와 손상·재건·교리화 전이가 결합,NONE
DRY-CL-R-000050,docs/09_collection/first-100-collectible-registry-v1.md#F-005,docs/09_collection/first-100-collectible-registry-v1.md,F-005,Mixed Leg Pair,STATE_TRANSITION,C2,다리 실체와 손상·재건·교리화 전이가 결합,NONE
DRY-CL-R-000051,docs/09_collection/first-100-collectible-registry-v1.md#F-006,docs/09_collection/first-100-collectible-registry-v1.md,F-006,Utility Sensor Head,ENTITY,C2,센서 헤드와 손실·교체·수리 전이가 결합,NONE
DRY-CL-R-000052,docs/09_collection/first-100-collectible-registry-v1.md#F-006,docs/09_collection/first-100-collectible-registry-v1.md,F-006,Utility Sensor Head,STATE_TRANSITION,C2,센서 헤드와 손실·교체·수리 전이가 결합,NONE
DRY-CL-R-000053,docs/09_collection/first-100-collectible-registry-v1.md#F-007,docs/09_collection/first-100-collectible-registry-v1.md,F-007,Thermal Cutter Lance,ENTITY,C3,독립 운용되는 절단 공구·무기 실체,NONE
DRY-CL-R-000054,docs/09_collection/first-100-collectible-registry-v1.md#F-008,docs/09_collection/first-100-collectible-registry-v1.md,F-008,Rescue Tether/Cable Launcher,ENTITY,C3,독립 기능과 비용을 지닌 구조 발사기 실체,NONE
DRY-CL-R-000055,docs/09_collection/first-100-collectible-registry-v1.md#F-009,docs/09_collection/first-100-collectible-registry-v1.md,F-009,Sensor-Tag Projector,ENTITY,C3,훈련 장비와 통신 중계용 개조 전이가 결합,NONE
DRY-CL-R-000056,docs/09_collection/first-100-collectible-registry-v1.md#F-009,docs/09_collection/first-100-collectible-registry-v1.md,F-009,Sensor-Tag Projector,STATE_TRANSITION,C3,훈련 장비와 통신 중계용 개조 전이가 결합,NONE
DRY-CL-R-000057,docs/09_collection/first-100-collectible-registry-v1.md#F-010,docs/09_collection/first-100-collectible-registry-v1.md,F-010,H-002 Calibration Toolset,ENTITY,C1|C3|C6|C7,공구 실체와 접근·가족 소유권·계약부담이 결합,NONE
DRY-CL-R-000058,docs/09_collection/first-100-collectible-registry-v1.md#F-010,docs/09_collection/first-100-collectible-registry-v1.md,F-010,H-002 Calibration Toolset,CONTROL_CLAIM,C1|C3|C6|C7,공구 실체와 접근·가족 소유권·계약부담이 결합,NONE
DRY-CL-R-000059,docs/09_collection/first-100-collectible-registry-v1.md#F-010,docs/09_collection/first-100-collectible-registry-v1.md,F-010,H-002 Calibration Toolset,LOSS_OBLIGATION,C1|C3|C6|C7,공구 실체와 접근·가족 소유권·계약부담이 결합,NONE
DRY-CL-R-000060,docs/09_collection/first-100-collectible-registry-v1.md#F-011,docs/09_collection/first-100-collectible-registry-v1.md,F-011,Service Authority Key A,ENTITY,C4|C6|C8,물리 키와 서비스 권한·칠중 권한 약속이 결합,NONE
DRY-CL-R-000061,docs/09_collection/first-100-collectible-registry-v1.md#F-011,docs/09_collection/first-100-collectible-registry-v1.md,F-011,Service Authority Key A,CONTROL_CLAIM,C4|C6|C8,물리 키와 서비스 권한·칠중 권한 약속이 결합,NONE
DRY-CL-R-000062,docs/09_collection/first-100-collectible-registry-v1.md#F-011,docs/09_collection/first-100-collectible-registry-v1.md,F-011,Service Authority Key A,NARRATIVE_PROMISE,C4|C6|C8,물리 키와 서비스 권한·칠중 권한 약속이 결합,NONE
DRY-CL-R-000063,docs/09_collection/first-100-collectible-registry-v1.md#F-012,docs/09_collection/first-100-collectible-registry-v1.md,F-012,Service Authority Key B,ENTITY,C2|C4|C6|C7,물리 키와 공동 접근권·승계 단서가 결합,NONE
DRY-CL-R-000064,docs/09_collection/first-100-collectible-registry-v1.md#F-012,docs/09_collection/first-100-collectible-registry-v1.md,F-012,Service Authority Key B,CONTROL_CLAIM,C2|C4|C6|C7,물리 키와 공동 접근권·승계 단서가 결합,NONE
DRY-CL-R-000065,docs/09_collection/first-100-collectible-registry-v1.md#F-012,docs/09_collection/first-100-collectible-registry-v1.md,F-012,Service Authority Key B,NARRATIVE_PROMISE,C2|C4|C6|C7,물리 키와 공동 접근권·승계 단서가 결합,NONE
DRY-CL-R-000066,docs/09_collection/first-100-collectible-registry-v1.md#F-013,docs/09_collection/first-100-collectible-registry-v1.md,F-013,Service Authority Key C,CONTROL_CLAIM,C1|C6|C7,비물리 프로토콜 접근과 부분획득·정체 단서가 결합,NONE
DRY-CL-R-000067,docs/09_collection/first-100-collectible-registry-v1.md#F-013,docs/09_collection/first-100-collectible-registry-v1.md,F-013,Service Authority Key C,STATE_TRANSITION,C1|C6|C7,비물리 프로토콜 접근과 부분획득·정체 단서가 결합,NONE
DRY-CL-R-000068,docs/09_collection/first-100-collectible-registry-v1.md#F-013,docs/09_collection/first-100-collectible-registry-v1.md,F-013,Service Authority Key C,NARRATIVE_PROMISE,C1|C6|C7,비물리 프로토콜 접근과 부분획득·정체 단서가 결합,NONE
DRY-CL-R-000069,docs/09_collection/first-100-collectible-registry-v1.md#F-014,docs/09_collection/first-100-collectible-registry-v1.md,F-014,Previous Technician Logs,ENTITY,C2|C4|C6,분산 로그·소유 증거와 미완성 계보 세트가 결합,NONE
DRY-CL-R-000070,docs/09_collection/first-100-collectible-registry-v1.md#F-014,docs/09_collection/first-100-collectible-registry-v1.md,F-014,Previous Technician Logs,CONTROL_CLAIM,C2|C4|C6,분산 로그·소유 증거와 미완성 계보 세트가 결합,NONE
DRY-CL-R-000071,docs/09_collection/first-100-collectible-registry-v1.md#F-014,docs/09_collection/first-100-collectible-registry-v1.md,F-014,Previous Technician Logs,NARRATIVE_PROMISE,C2|C4|C6,분산 로그·소유 증거와 미완성 계보 세트가 결합,NONE
DRY-CL-R-000072,docs/09_collection/first-100-collectible-registry-v1.md#F-014,docs/09_collection/first-100-collectible-registry-v1.md,F-014,Previous Technician Logs,SET,C2|C4|C6,분산 로그·소유 증거와 미완성 계보 세트가 결합,NONE
DRY-CL-R-000073,docs/09_collection/first-100-collectible-registry-v1.md#R-001,docs/09_collection/first-100-collectible-registry-v1.md,R-001,Betrayal-Trial Relay Fragment,ENTITY,C4|C7,기록 파편·증거 효력과 미완 배신 진실이 결합,NONE
DRY-CL-R-000074,docs/09_collection/first-100-collectible-registry-v1.md#R-001,docs/09_collection/first-100-collectible-registry-v1.md,R-001,Betrayal-Trial Relay Fragment,CONTROL_CLAIM,C4|C7,기록 파편·증거 효력과 미완 배신 진실이 결합,NONE
DRY-CL-R-000075,docs/09_collection/first-100-collectible-registry-v1.md#R-001,docs/09_collection/first-100-collectible-registry-v1.md,R-001,Betrayal-Trial Relay Fragment,NARRATIVE_PROMISE,C4|C7,기록 파편·증거 효력과 미완 배신 진실이 결합,NONE
DRY-CL-R-000076,docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,R-002,Student/Family Custody Manifest Fragments,ENTITY,C1|C4|C7,명단 파편·신원 통제·분산손실·사건세트가 결합,NONE
DRY-CL-R-000077,docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,R-002,Student/Family Custody Manifest Fragments,CONTROL_CLAIM,C1|C4|C7,명단 파편·신원 통제·분산손실·사건세트가 결합,NONE
DRY-CL-R-000078,docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,R-002,Student/Family Custody Manifest Fragments,STATE_TRANSITION,C1|C4|C7,명단 파편·신원 통제·분산손실·사건세트가 결합,NONE
DRY-CL-R-000079,docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,R-002,Student/Family Custody Manifest Fragments,LOSS_OBLIGATION,C1|C4|C7,명단 파편·신원 통제·분산손실·사건세트가 결합,NONE
DRY-CL-R-000080,docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,R-002,Student/Family Custody Manifest Fragments,SET,C1|C4|C7,명단 파편·신원 통제·분산손실·사건세트가 결합,NONE
DRY-CL-R-000081,docs/09_collection/first-100-collectible-registry-v1.md#R-003,docs/09_collection/first-100-collectible-registry-v1.md,R-003,Medical/Administrative Death Records,ENTITY,C1|C4|C7,사망기록 파편·동의 통제와 정체 미스터리 세트가 결합,NONE
DRY-CL-R-000082,docs/09_collection/first-100-collectible-registry-v1.md#R-003,docs/09_collection/first-100-collectible-registry-v1.md,R-003,Medical/Administrative Death Records,CONTROL_CLAIM,C1|C4|C7,사망기록 파편·동의 통제와 정체 미스터리 세트가 결합,NONE
DRY-CL-R-000083,docs/09_collection/first-100-collectible-registry-v1.md#R-003,docs/09_collection/first-100-collectible-registry-v1.md,R-003,Medical/Administrative Death Records,NARRATIVE_PROMISE,C1|C4|C7,사망기록 파편·동의 통제와 정체 미스터리 세트가 결합,NONE
DRY-CL-R-000084,docs/09_collection/first-100-collectible-registry-v1.md#R-003,docs/09_collection/first-100-collectible-registry-v1.md,R-003,Medical/Administrative Death Records,SET,C1|C4|C7,사망기록 파편·동의 통제와 정체 미스터리 세트가 결합,NONE
DRY-CL-R-000085,docs/09_collection/first-100-collectible-registry-v1.md#R-004,docs/09_collection/first-100-collectible-registry-v1.md,R-004,Neutral Medical Protection Clause,CONTROL_CLAIM,C1|C7,임시 의료보호권과 채무·보증 의무가 결합,NONE
DRY-CL-R-000086,docs/09_collection/first-100-collectible-registry-v1.md#R-004,docs/09_collection/first-100-collectible-registry-v1.md,R-004,Neutral Medical Protection Clause,LOSS_OBLIGATION,C1|C7,임시 의료보호권과 채무·보증 의무가 결합,NONE
DRY-CL-R-000087,docs/09_collection/first-100-collectible-registry-v1.md#R-005,docs/09_collection/first-100-collectible-registry-v1.md,R-005,White Dock Joint-Custody/Evidence Order,CONTROL_CLAIM,C2|C3|C7,공동보관 명령과 만료 전이·복귀 의무가 결합,NONE
DRY-CL-R-000088,docs/09_collection/first-100-collectible-registry-v1.md#R-005,docs/09_collection/first-100-collectible-registry-v1.md,R-005,White Dock Joint-Custody/Evidence Order,STATE_TRANSITION,C2|C3|C7,공동보관 명령과 만료 전이·복귀 의무가 결합,NONE
DRY-CL-R-000089,docs/09_collection/first-100-collectible-registry-v1.md#R-005,docs/09_collection/first-100-collectible-registry-v1.md,R-005,White Dock Joint-Custody/Evidence Order,LOSS_OBLIGATION,C2|C3|C7,공동보관 명령과 만료 전이·복귀 의무가 결합,NONE
DRY-CL-R-000090,docs/09_collection/first-100-collectible-registry-v1.md#R-006,docs/09_collection/first-100-collectible-registry-v1.md,R-006,Student Mutual Guarantee Fund,ENTITY,C1|C7,공동기금 실체·지원관계와 출자·채무 의무가 결합,NONE
DRY-CL-R-000091,docs/09_collection/first-100-collectible-registry-v1.md#R-006,docs/09_collection/first-100-collectible-registry-v1.md,R-006,Student Mutual Guarantee Fund,RELATIONSHIP,C1|C7,공동기금 실체·지원관계와 출자·채무 의무가 결합,NONE
DRY-CL-R-000092,docs/09_collection/first-100-collectible-registry-v1.md#R-006,docs/09_collection/first-100-collectible-registry-v1.md,R-006,Student Mutual Guarantee Fund,CONTROL_CLAIM,C1|C7,공동기금 실체·지원관계와 출자·채무 의무가 결합,NONE
DRY-CL-R-000093,docs/09_collection/first-100-collectible-registry-v1.md#R-006,docs/09_collection/first-100-collectible-registry-v1.md,R-006,Student Mutual Guarantee Fund,LOSS_OBLIGATION,C1|C7,공동기금 실체·지원관계와 출자·채무 의무가 결합,NONE
DRY-CL-R-000094,docs/09_collection/first-100-collectible-registry-v1.md#R-007,docs/09_collection/first-100-collectible-registry-v1.md,R-007,H-002 Maintenance and Design-Rights Agreement,RELATIONSHIP,C1|C2|C6|C7,계약 관계와 설계·정비권·데이터 의무가 결합,NONE
DRY-CL-R-000095,docs/09_collection/first-100-collectible-registry-v1.md#R-007,docs/09_collection/first-100-collectible-registry-v1.md,R-007,H-002 Maintenance and Design-Rights Agreement,CONTROL_CLAIM,C1|C2|C6|C7,계약 관계와 설계·정비권·데이터 의무가 결합,NONE
DRY-CL-R-000096,docs/09_collection/first-100-collectible-registry-v1.md#R-007,docs/09_collection/first-100-collectible-registry-v1.md,R-007,H-002 Maintenance and Design-Rights Agreement,LOSS_OBLIGATION,C1|C2|C6|C7,계약 관계와 설계·정비권·데이터 의무가 결합,NONE
DRY-CL-R-000097,docs/09_collection/first-100-collectible-registry-v1.md#R-008,docs/09_collection/first-100-collectible-registry-v1.md,R-008,External Mission License,CONTROL_CLAIM,C1|C5|C7,외부 임무권과 개정 전이·감독채무가 결합,NONE
DRY-CL-R-000098,docs/09_collection/first-100-collectible-registry-v1.md#R-008,docs/09_collection/first-100-collectible-registry-v1.md,R-008,External Mission License,STATE_TRANSITION,C1|C5|C7,외부 임무권과 개정 전이·감독채무가 결합,NONE
DRY-CL-R-000099,docs/09_collection/first-100-collectible-registry-v1.md#R-008,docs/09_collection/first-100-collectible-registry-v1.md,R-008,External Mission License,LOSS_OBLIGATION,C1|C5|C7,외부 임무권과 개정 전이·감독채무가 결합,NONE
DRY-CL-R-000100,docs/09_collection/first-100-collectible-registry-v1.md#R-009,docs/09_collection/first-100-collectible-registry-v1.md,R-009,Patient Consent and Data-Access Protocol,CONTROL_CLAIM,C1|C6|C7,환자 동의·데이터권과 정보제한 책임이 결합,NONE
DRY-CL-R-000101,docs/09_collection/first-100-collectible-registry-v1.md#R-009,docs/09_collection/first-100-collectible-registry-v1.md,R-009,Patient Consent and Data-Access Protocol,LOSS_OBLIGATION,C1|C6|C7,환자 동의·데이터권과 정보제한 책임이 결합,NONE
DRY-CL-R-000102,docs/09_collection/first-100-collectible-registry-v1.md#R-010,docs/09_collection/first-100-collectible-registry-v1.md,R-010,Student/Staff Preference and Representation Record,CONTROL_CLAIM,C1|C7,선호·대표성을 증명하는 단일 통제 기록,NONE
DRY-CL-R-000103,docs/09_collection/first-100-collectible-registry-v1.md#R-011,docs/09_collection/first-100-collectible-registry-v1.md,R-011,제13학원 임시공동운영·보호헌장,RELATIONSHIP,C1|C7,공동운영 관계와 권리·대표·재정부담이 결합,NONE
DRY-CL-R-000104,docs/09_collection/first-100-collectible-registry-v1.md#R-011,docs/09_collection/first-100-collectible-registry-v1.md,R-011,제13학원 임시공동운영·보호헌장,CONTROL_CLAIM,C1|C7,공동운영 관계와 권리·대표·재정부담이 결합,NONE
DRY-CL-R-000105,docs/09_collection/first-100-collectible-registry-v1.md#R-011,docs/09_collection/first-100-collectible-registry-v1.md,R-011,제13학원 임시공동운영·보호헌장,LOSS_OBLIGATION,C1|C7,공동운영 관계와 권리·대표·재정부담이 결합,NONE
DRY-CL-R-000106,docs/09_collection/first-100-collectible-registry-v1.md#R-012,docs/09_collection/first-100-collectible-registry-v1.md,R-012,07 Multi-Party Custody and Command Key Scheme,RELATIONSHIP,C2|C7,다자 보관관계·지휘권·지연부담·기능세트가 결합,NONE
