source_key,source_file,source_id,title,provisional_entry_ids,entry_kinds,domain_tags,split_required,normalized_record_count,reason,canon_promotion
docs/09_collection/first-100-collectible-registry-v1.md#F-008,docs/09_collection/first-100-collectible-registry-v1.md,F-008,Rescue Tether/Cable Launcher,DRY-CL-R-000054,ENTITY,C3,FALSE,1,독립 기능과 비용을 지닌 구조 발사기 실체,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-009,docs/09_collection/first-100-collectible-registry-v1.md,F-009,Sensor-Tag Projector,DRY-CL-R-000055|DRY-CL-R-000056,ENTITY|STATE_TRANSITION,C3,TRUE,2,훈련 장비와 통신 중계용 개조 전이가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-010,docs/09_collection/first-100-collectible-registry-v1.md,F-010,H-002 Calibration Toolset,DRY-CL-R-000057|DRY-CL-R-000058|DRY-CL-R-000059,ENTITY|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C3|C6|C7,TRUE,3,공구 실체와 접근·가족 소유권·계약부담이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-011,docs/09_collection/first-100-collectible-registry-v1.md,F-011,Service Authority Key A,DRY-CL-R-000060|DRY-CL-R-000061|DRY-CL-R-000062,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE,C4|C6|C8,TRUE,3,물리 키와 서비스 권한·칠중 권한 약속이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-012,docs/09_collection/first-100-collectible-registry-v1.md,F-012,Service Authority Key B,DRY-CL-R-000063|DRY-CL-R-000064|DRY-CL-R-000065,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE,C2|C4|C6|C7,TRUE,3,물리 키와 공동 접근권·승계 단서가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-013,docs/09_collection/first-100-collectible-registry-v1.md,F-013,Service Authority Key C,DRY-CL-R-000066|DRY-CL-R-000067|DRY-CL-R-000068,CONTROL_CLAIM|STATE_TRANSITION|NARRATIVE_PROMISE,C1|C6|C7,TRUE,3,비물리 프로토콜 접근과 부분획득·정체 단서가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#F-014,docs/09_collection/first-100-collectible-registry-v1.md,F-014,Previous Technician Logs,DRY-CL-R-000069|DRY-CL-R-000070|DRY-CL-R-000071|DRY-CL-R-000072,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE|SET,C2|C4|C6,TRUE,4,분산 로그·소유 증거와 미완성 계보 세트가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-001,docs/09_collection/first-100-collectible-registry-v1.md,R-001,Betrayal-Trial Relay Fragment,DRY-CL-R-000073|DRY-CL-R-000074|DRY-CL-R-000075,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE,C4|C7,TRUE,3,기록 파편·증거 효력과 미완 배신 진실이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,R-002,Student/Family Custody Manifest Fragments,DRY-CL-R-000076|DRY-CL-R-000077|DRY-CL-R-000078|DRY-CL-R-000079|DRY-CL-R-000080,ENTITY|CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION|SET,C1|C4|C7,TRUE,5,명단 파편·신원 통제·분산손실·사건세트가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-003,docs/09_collection/first-100-collectible-registry-v1.md,R-003,Medical/Administrative Death Records,DRY-CL-R-000081|DRY-CL-R-000082|DRY-CL-R-000083|DRY-CL-R-000084,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE|SET,C1|C4|C7,TRUE,4,사망기록 파편·동의 통제와 정체 미스터리 세트가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-004,docs/09_collection/first-100-collectible-registry-v1.md,R-004,Neutral Medical Protection Clause,DRY-CL-R-000085|DRY-CL-R-000086,CONTROL_CLAIM|LOSS_OBLIGATION,C1|C7,TRUE,2,임시 의료보호권과 채무·보증 의무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-005,docs/09_collection/first-100-collectible-registry-v1.md,R-005,White Dock Joint-Custody/Evidence Order,DRY-CL-R-000087|DRY-CL-R-000088|DRY-CL-R-000089,CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C2|C3|C7,TRUE,3,공동보관 명령과 만료 전이·복귀 의무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-006,docs/09_collection/first-100-collectible-registry-v1.md,R-006,Student Mutual Guarantee Fund,DRY-CL-R-000090|DRY-CL-R-000091|DRY-CL-R-000092|DRY-CL-R-000093,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C7,TRUE,4,공동기금 실체·지원관계와 출자·채무 의무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-007,docs/09_collection/first-100-collectible-registry-v1.md,R-007,H-002 Maintenance and Design-Rights Agreement,DRY-CL-R-000094|DRY-CL-R-000095|DRY-CL-R-000096,RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C2|C6|C7,TRUE,3,계약 관계와 설계·정비권·데이터 의무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-008,docs/09_collection/first-100-collectible-registry-v1.md,R-008,External Mission License,DRY-CL-R-000097|DRY-CL-R-000098|DRY-CL-R-000099,CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C1|C5|C7,TRUE,3,외부 임무권과 개정 전이·감독채무가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-009,docs/09_collection/first-100-collectible-registry-v1.md,R-009,Patient Consent and Data-Access Protocol,DRY-CL-R-000100|DRY-CL-R-000101,CONTROL_CLAIM|LOSS_OBLIGATION,C1|C6|C7,TRUE,2,환자 동의·데이터권과 정보제한 책임이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-010,docs/09_collection/first-100-collectible-registry-v1.md,R-010,Student/Staff Preference and Representation Record,DRY-CL-R-000102,CONTROL_CLAIM,C1|C7,FALSE,1,선호·대표성을 증명하는 단일 통제 기록,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-011,docs/09_collection/first-100-collectible-registry-v1.md,R-011,제13학원 임시공동운영·보호헌장,DRY-CL-R-000103|DRY-CL-R-000104|DRY-CL-R-000105,RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C7,TRUE,3,공동운영 관계와 권리·대표·재정부담이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#R-012,docs/09_collection/first-100-collectible-registry-v1.md,R-012,07 Multi-Party Custody and Command Key Scheme,DRY-CL-R-000106|DRY-CL-R-000107|DRY-CL-R-000108|DRY-CL-R-000109,RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION|SET,C2|C7,TRUE,4,다자 보관관계·지휘권·지연부담·기능세트가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#I-001,docs/09_collection/first-100-collectible-registry-v1.md,I-001,Student Mutual Network / Assembly Seed,DRY-CL-R-000110|DRY-CL-R-000111,ENTITY|RELATIONSHIP,C1|C7,TRUE,2,학생 조직 실체와 대표·상호부조 관계가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#I-002,docs/09_collection/first-100-collectible-registry-v1.md,I-002,Open-Service Workshop Seed,DRY-CL-R-000112|DRY-CL-R-000113|DRY-CL-R-000114,ENTITY|CONTROL_CLAIM|LOSS_OBLIGATION,C3|C6|C7,TRUE,3,작업장 실체와 승인·감사권·안전부담이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#I-003,docs/09_collection/first-100-collectible-registry-v1.md,I-003,Multi-Party Medical Oversight,DRY-CL-R-000115|DRY-CL-R-000116|DRY-CL-R-000117|DRY-CL-R-000118,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C7,TRUE,4,감독기구·다자관계와 의료권한·공급책임이 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#I-004,docs/09_collection/first-100-collectible-registry-v1.md,I-004,Fifth-Answer Myth,DRY-CL-R-000119|DRY-CL-R-000120,STATE_TRANSITION|NARRATIVE_PROMISE,C1|C7,TRUE,2,사회적 신화 약속과 원칙 재해석 전이가 결합,NONE
docs/09_collection/first-100-collectible-registry-v1.md#I-005,docs/09_collection/first-100-collectible-registry-v1.md,I-005,Academy Alumni/External Mission Cell,DRY-CL-R-000121|DRY-CL-R-000122|DRY-CL-R-000123,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C5|C7,TRUE,3,임무조직 실체·구성원 관계와 면허권이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P01,docs/09_collection/ga8-collection-registry-v1.md,G8-P01,Continuity Authentication Directorate,DRY-CL-R-000124|DRY-CL-R-000125|DRY-CL-R-000126,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C6|C7|C8,TRUE,3,기관·경쟁관계·인증권한이 한 행에 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P02,docs/09_collection/ga8-collection-registry-v1.md,G8-P02,Plural Archive Coalition,DRY-CL-R-000127|DRY-CL-R-000128|DRY-CL-R-000129,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C6|C7|C8,TRUE,3,연합체·참여관계·분산접근권을 함께 서술,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P03,docs/09_collection/ga8-collection-registry-v1.md,G8-P03,Restoration Truth Assembly,DRY-CL-R-000130|DRY-CL-R-000131|DRY-CL-R-000132|DRY-CL-R-000133,ENTITY|RELATIONSHIP|CONTROL_CLAIM|STATE_TRANSITION,C1|C6|C7,TRUE,4,조직·증거참여·공개권리·분열상태가 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P04,docs/09_collection/ga8-collection-registry-v1.md,G8-P04,Right-to-Forget / Liberation Network,DRY-CL-R-000134|DRY-CL-R-000135|DRY-CL-R-000136|DRY-CL-R-000137,ENTITY|CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C1|C6|C7,TRUE,4,조직·삭제권리·증거파괴·분파상태가 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P05,docs/09_collection/ga8-collection-registry-v1.md,G8-P05,AI and Composite Persons Compact,DRY-CL-R-000138|DRY-CL-R-000139|DRY-CL-R-000140|DRY-CL-R-000141,ENTITY|CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C1|C6|C7,TRUE,4,협약체·인격권리·강제복제·영구정체성손실이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P06,docs/09_collection/ga8-collection-registry-v1.md,G8-P06,State/Helix Operational Records Alliance,DRY-CL-R-000142|DRY-CL-R-000143|DRY-CL-R-000144,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1|C6|C7,TRUE,3,동맹체·협력경쟁관계·독점통제권을 함께 서술,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P07,docs/09_collection/ga8-collection-registry-v1.md,G8-P07,Palimpsest Custodian Communities,DRY-CL-R-000145|DRY-CL-R-000146|DRY-CL-R-000147|DRY-CL-R-000148|DRY-CL-R-000149,ENTITY|RELATIONSHIP|CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C6|C7|C8,TRUE,5,공동체·참여관계·접근권·거울손실이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-P08,docs/09_collection/ga8-collection-registry-v1.md,G8-P08,P-001 as Unrecorded Connector / Seed Corrective Candidate,DRY-CL-R-000150|DRY-CL-R-000151|DRY-CL-R-000152,RELATIONSHIP|CONTROL_CLAIM|NARRATIVE_PROMISE,C1|C6|C7,TRUE,3,연결관계·교정권한·선정진실 약속이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R01,docs/09_collection/ga8-collection-registry-v1.md,G8-R01,Temporary Current-Status Layer,DRY-CL-R-000153,CONTROL_CLAIM,C1|C6|C7|C8,FALSE,1,현재 신분과 서비스 접근을 정하는 통제층,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R02,docs/09_collection/ga8-collection-registry-v1.md,G8-R02,Public Evidence / Intimate Memory / Operational Status Separation,DRY-CL-R-000154|DRY-CL-R-000155,CONTROL_CLAIM|LOSS_OBLIGATION,C1|C6|C7,TRUE,2,기록권리 분리와 비가역 노출손실을 함께 규정,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R03,docs/09_collection/ga8-collection-registry-v1.md,G8-R03,Authority F Multi-Party Access Mandate,DRY-CL-R-000156,CONTROL_CLAIM,C1|C6|C7,FALSE,1,복수 주체의 제한적 기록접근 권한,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R04,docs/09_collection/ga8-collection-registry-v1.md,G8-R04,Provisional AI/Composite/Tool Standing,DRY-CL-R-000157,CONTROL_CLAIM,C1|C6|C7,FALSE,1,인격·도구 분류별 동의와 접근 권리,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R05,docs/09_collection/ga8-collection-registry-v1.md,G8-R05,Forced-Copy/Merge Accountability Record,DRY-CL-R-000158|DRY-CL-R-000159|DRY-CL-R-000160,CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C1|C6|C7,TRUE,3,책임기록·강제복제상태·비가역 정체성손실이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R06,docs/09_collection/ga8-collection-registry-v1.md,G8-R06,Preserve/Correct/Plural/Forget/Refuse/Audit Rights Framework,DRY-CL-R-000161|DRY-CL-R-000162,CONTROL_CLAIM|SET,C1|C6|C7,TRUE,2,여섯 기록권리를 묶은 운영 프레임워크,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R07,docs/09_collection/ga8-collection-registry-v1.md,G8-R07,Bounded Operational Compression Rules,DRY-CL-R-000163,CONTROL_CLAIM,C1|C6|C7,FALSE,1,현재 상태 압축과 불확실성 보존 규칙,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R08,docs/09_collection/ga8-collection-registry-v1.md,G8-R08,P-001 Access and Memory-Limit Protocol,DRY-CL-R-000164|DRY-CL-R-000165|DRY-CL-R-000166,CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C1|C6,TRUE,3,접근제한·규약침해·지속 기억오염이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R09,docs/09_collection/ga8-collection-registry-v1.md,G8-R09,Authority G Split-Key Activation Draft,DRY-CL-R-000167|DRY-CL-R-000168,CONTROL_CLAIM|SET,C1|C6|C7|C8,TRUE,2,분할보관·거부권·복수 참여자를 묶은 활성화안,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-R10,docs/09_collection/ga8-collection-registry-v1.md,G8-R10,Seed Consensus Activation Accord,DRY-CL-R-000169|DRY-CL-R-000170|DRY-CL-R-000171|DRY-CL-R-000172,RELATIONSHIP|CONTROL_CLAIM|STATE_TRANSITION|SET,C1|C6|C7|C8,TRUE,4,합의관계·통제권·활성화·서비스조합이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A01,docs/09_collection/ga8-collection-registry-v1.md,G8-A01,Meridian Sacred/Founding Archive Source Set,DRY-CL-R-000173|DRY-CL-R-000174|DRY-CL-R-000175,ENTITY|CONTROL_CLAIM|SET,C4|C7|C8,TRUE,3,기록원본군과 정본효력 및 세트가 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A02,docs/09_collection/ga8-collection-registry-v1.md,G8-A02,Black Ward Witness Mesh,DRY-CL-R-000176|DRY-CL-R-000177|DRY-CL-R-000178|DRY-CL-R-000179,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1|C6|C7|C8,TRUE,4,증언망·참여관계·동의권·의료부담이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A03,docs/09_collection/ga8-collection-registry-v1.md,G8-A03,Ardis/Route Plural Mirror,DRY-CL-R-000180|DRY-CL-R-000181|DRY-CL-R-000182,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C6|C7|C8,TRUE,3,거울체계·향후대립·지역교정권을 함께 서술,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A04,docs/09_collection/ga8-collection-registry-v1.md,G8-A04,Palimpsest Regional Mirror Cluster,DRY-CL-R-000183|DRY-CL-R-000184|DRY-CL-R-000185|DRY-CL-R-000186|DRY-CL-R-000187,ENTITY|CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION|SET,C6|C7|C8,TRUE,5,거울군·접근권·접근상태·영구손실이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A05,docs/09_collection/ga8-collection-registry-v1.md,G8-A05,Continuity Assembly / Seed Consensus Lattice,DRY-CL-R-000188|DRY-CL-R-000189|DRY-CL-R-000190|DRY-CL-R-000191,ENTITY|CONTROL_CLAIM|STATE_TRANSITION|SET,C6|C7|C8,TRUE,4,합의망·상태통제·활성화·다중구조가 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A06,docs/09_collection/ga8-collection-registry-v1.md,G8-A06,Service Authority F,DRY-CL-R-000192,CONTROL_CLAIM,C6|C7,FALSE,1,분산 기록번역과 복수기록 접근 권한,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A07,docs/09_collection/ga8-collection-registry-v1.md,G8-A07,Service Authority G,DRY-CL-R-000193|DRY-CL-R-000194,CONTROL_CLAIM|STATE_TRANSITION,C6|C7,TRUE,2,비상통제권과 위기집중 활성화상태가 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-A08,docs/09_collection/ga8-collection-registry-v1.md,G8-A08,Lost/Exposed Mirror or Source Class,DRY-CL-R-000195|DRY-CL-R-000196|DRY-CL-R-000197,STATE_TRANSITION|LOSS_OBLIGATION|NARRATIVE_PROMISE,C4|C6|C7|C8,TRUE,3,미정 원천의 파괴상태·영구손실·회수약속이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M01,docs/09_collection/ga8-collection-registry-v1.md,G8-M01,Plural Continuity Seed Origin,DRY-CL-R-000198|DRY-CL-R-000199,NARRATIVE_PROMISE|SET,C1|C6|C7|C8,TRUE,2,복수 문명 주체의 기원조합 회수약속,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M02,docs/09_collection/ga8-collection-registry-v1.md,G8-M02,Seed Layer Map S0–S5,DRY-CL-R-000200|DRY-CL-R-000201,NARRATIVE_PROMISE|SET,C1|C6|C7|C8,TRUE,2,여섯 기록층 조합과 구조해명 약속,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M03,docs/09_collection/ga8-collection-registry-v1.md,G8-M03,Compression/Value Ranking Rules,DRY-CL-R-000202|DRY-CL-R-000203,CONTROL_CLAIM|NARRATIVE_PROMISE,C1|C6|C7,TRUE,2,대표성 순위규칙과 압축원리 회수약속,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M04,docs/09_collection/ga8-collection-registry-v1.md,G8-M04,Service Authority Domain Map A–G,DRY-CL-R-000204|DRY-CL-R-000205|DRY-CL-R-000206,CONTROL_CLAIM|NARRATIVE_PROMISE|SET,C6|C7,TRUE,3,일곱 권한영역·분할접근·완성지도 약속이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M05,docs/09_collection/ga8-collection-registry-v1.md,G8-M05,P-001 Unrecorded Connector Selection,DRY-CL-R-000207|DRY-CL-R-000208,RELATIONSHIP|NARRATIVE_PROMISE,C1|C6,TRUE,2,주인공과 기록망의 의존관계 선정약속,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M06,docs/09_collection/ga8-collection-registry-v1.md,G8-M06,Regression/Uncertainty-Correction Mechanism,DRY-CL-R-000209|DRY-CL-R-000210,STATE_TRANSITION|NARRATIVE_PROMISE,C1|C6,TRUE,2,신경패턴 재구성사건과 회귀원리 회수약속,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M07,docs/09_collection/ga8-collection-registry-v1.md,G8-M07,Memory Contamination/Bidirectional Indexing,DRY-CL-R-000211|DRY-CL-R-000212|DRY-CL-R-000213|DRY-CL-R-000214,RELATIONSHIP|STATE_TRANSITION|LOSS_OBLIGATION|NARRATIVE_PROMISE,C1|C6,TRUE,4,상호기억관계·오염악화·지속손실·희생복선이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-M08,docs/09_collection/ga8-collection-registry-v1.md,G8-M08,"Seed Is Institution, Not Singular Person",DRY-CL-R-000215|DRY-CL-R-000216|DRY-CL-R-000217,ENTITY|NARRATIVE_PROMISE|SET,C1|C6|C7|C8,TRUE,3,제도실체·복합구조·정체반전 약속이 결합,NONE
docs/09_collection/ga8-collection-registry-v1.md#G8-I01,docs/09_collection/ga8-collection-registry-v1.md,G8-I01,“Complete History” Myth,DRY-CL-R-000218|DRY-CL-R-000219|DRY-CL-R-000220,STATE_TRANSITION|NARRATIVE_PROMISE|SET,C4|C6|C7|C8,TRUE,3,완전역사 세트약속이 다원성 인식으로 전환,NONE
