source_row_id,source_key,source_file,source_line,arc,section,source_id,title,normalized_record_ids,entry_kinds,primary_domain,domain_tags,desire_phases,record_states,acquisition_text,integration_text,cost_text,loss_exit_text,ending_text,later_reuse_text,entity_id_candidate,subject_ids,host_id_candidate,current_holder,canon_tier,classification_basis,classification_reason,review_flags,canon_promotion
NC-CL-S-000011,docs/09_collection/first-100-collectible-registry-v1.md#P-011,docs/09_collection/first-100-collectible-registry-v1.md,141,GA1,People & Relationship Records,P-011,Protector/Community Focal Network,NC-CL-R-000036|NC-CL-R-000037|NC-CL-R-000038,ENTITY|RELATIONSHIP|CONTROL_CLAIM,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,not personal rescue only; community representation and treatment,"H-001 agency, Black Ward, charter rights, future route federation","public exposure, internal disagreement, refusal of hero plans",,"`G — represented community with separate voice`, exact focal 2–3 people open",,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,공동체 실체·대표 관계와 치료·헌장 권리가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000012,docs/09_collection/first-100-collectible-registry-v1.md#F-001,docs/09_collection/first-100-collectible-registry-v1.md,159,GA1,"07호 Frame, Tools and Service-Key Set",F-001,07 Core / AUXILIA Inspection Kernel,NC-CL-R-000039|NC-CL-R-000040|NC-CL-R-000041,ENTITY|CONTROL_CLAIM|STATE_TRANSITION,C2,C2|C6,DISCOVERY|ACQUISITION|SYNERGY,G,partial access E7–10; dispersed E19; joint recovery E39–45,"diagnostics, old node/service protocol, frame operation","surveillance, cyber vulnerability, multi-party custody",can be seized/diverted; no hidden superweapon,`G — installed under shared locks`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,코어 실체와 공동 접근권·분산복구 상태가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000013,docs/09_collection/first-100-collectible-registry-v1.md#F-002,docs/09_collection/first-100-collectible-registry-v1.md,168,GA1,"07호 Frame, Tools and Service-Key Set",F-002,Asymmetric Radiator Wing,NC-CL-R-000042|NC-CL-R-000043|NC-CL-R-000044,ENTITY|CONTROL_CLAIM|LOSS_OBLIGATION,C2,C2|C7,DISCOVERY|ACQUISITION|SYNERGY,G,E33–38 auction/debt/claim,"extends combat/work window, vulnerable deployed geometry",Helix inspection/debt; asymmetric torque,,`G — functional but contract-inspected`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,냉각 부품과 경매 청구권·검사채무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000014,docs/09_collection/first-100-collectible-registry-v1.md#F-003,docs/09_collection/first-100-collectible-registry-v1.md,176,GA1,"07호 Frame, Tools and Service-Key Set",F-003,Industrial Manipulator Arm,NC-CL-R-000045|NC-CL-R-000046,ENTITY|CONTROL_CLAIM,C2,C2|C3|C7,DISCOVERY|ACQUISITION|SYNERGY,G,school salvage/labor claim E33–38,"rescue, cutting, anchoring, repair","slow combat traverse, exposed bundles",,`G`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,기체 팔·공구 실체와 회수·노동 청구가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000015,docs/09_collection/first-100-collectible-registry-v1.md#F-004,docs/09_collection/first-100-collectible-registry-v1.md,184,GA1,"07호 Frame, Tools and Service-Key Set",F-004,Anchor Shield Plate,NC-CL-R-000047|NC-CL-R-000048,ENTITY|CONTROL_CLAIM,C3,C3|C7,DISCOVERY|SYNERGY,G,remains school property/mission equipment; rights negotiated E39–45,debris/position control,weight and focused-fire weakness,,"`G — mission-use right, not ownership`",,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,방어 장비와 임무 사용권이 명시적으로 분리됨,PM_MERGE_REQUIRED,NONE
NC-CL-S-000016,docs/09_collection/first-100-collectible-registry-v1.md#F-005,docs/09_collection/first-100-collectible-registry-v1.md,192,GA1,"07호 Frame, Tools and Service-Key Set",F-005,Mixed Leg Pair,NC-CL-R-000049|NC-CL-R-000050,ENTITY|STATE_TRANSITION,C2,C2,DISCOVERY|SYNERGY,G,"starts attached, suffers E19 damage, rebuilt across E21–45",anchor-leg + vector-leg doctrine,"joint damage, control difficulty, parts mismatch",,`G/R — defect becomes doctrine`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,다리 실체와 손상·재건·교리화 전이가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000017,docs/09_collection/first-100-collectible-registry-v1.md#F-006,docs/09_collection/first-100-collectible-registry-v1.md,200,GA1,"07호 Frame, Tools and Service-Key Set",F-006,Utility Sensor Head,NC-CL-R-000051|NC-CL-R-000052,ENTITY|STATE_TRANSITION,C2,C2,DISCOVERY|SYNERGY,G,"initial, damaged/lost E19, replacement/repair E33–45",close-range heat/material/life signs and sensor tags,poor long-range fire control,,`G`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,센서 헤드와 손실·교체·수리 전이가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000018,docs/09_collection/first-100-collectible-registry-v1.md#F-007,docs/09_collection/first-100-collectible-registry-v1.md,208,GA1,"07호 Frame, Tools and Service-Key Set",F-007,Thermal Cutter Lance,NC-CL-R-000053,ENTITY,C3,C3,DISCOVERY|ACQUISITION|SYNERGY,G,E13–16 emergency equipment access,"hull/door/joint cutting, rescue",contact time and heat,,`G — tool/weapon dual use`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,독립 운용되는 절단 공구·무기 실체,PM_MERGE_REQUIRED,NONE
NC-CL-S-000019,docs/09_collection/first-100-collectible-registry-v1.md#F-008,docs/09_collection/first-100-collectible-registry-v1.md,216,GA1,"07호 Frame, Tools and Service-Key Set",F-008,Rescue Tether/Cable Launcher,NC-CL-R-000054,ENTITY,C3,C3,DISCOVERY|SYNERGY,G,E13–15,"anchor, retrieve, redirect relative movement","cable tension, cut vulnerability, no magical grapple",,`G`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,독립 기능과 비용을 지닌 구조 발사기 실체,PM_MERGE_REQUIRED,NONE
NC-CL-S-000020,docs/09_collection/first-100-collectible-registry-v1.md#F-009,docs/09_collection/first-100-collectible-registry-v1.md,224,GA1,"07호 Frame, Tools and Service-Key Set",F-009,Sensor-Tag Projector,NC-CL-R-000055|NC-CL-R-000056,ENTITY|STATE_TRANSITION,C3,C3,DISCOVERY|SYNERGY,G,"starting equipment, modified E13–16",comm/sensor relay under lattice noise,"low direct damage, traceable signature",,`G`,,UNRESOLVED,UNRESOLVED,CANON:AUX-07,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,훈련 장비와 통신 중계용 개조 전이가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000021,docs/09_collection/first-100-collectible-registry-v1.md#F-010,docs/09_collection/first-100-collectible-registry-v1.md,232,GA1,"07호 Frame, Tools and Service-Key Set",F-010,H-002 Calibration Toolset,NC-CL-R-000057|NC-CL-R-000058|NC-CL-R-000059,ENTITY|CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C3|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,G,partial workshop access E7–10; family mark/claim E33–38,safe Open Service calibration and documentation,"criminal/contract claim, limited tools",,"`G — H-002 controlled, not team property`",,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,공구 실체와 접근·가족 소유권·계약부담이 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000022,docs/09_collection/first-100-collectible-registry-v1.md#F-011,docs/09_collection/first-100-collectible-registry-v1.md,240,GA1,"07호 Frame, Tools and Service-Key Set",F-011,Service Authority Key A,NC-CL-R-000060|NC-CL-R-000061|NC-CL-R-000062,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE,C4,C4|C6|C8,DISCOVERY|ACQUISITION|SYNERGY,G,,archive access/rescue controls,Imperial detection,,"`G/R — first of seven authorities, not seven machines`",,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,물리 키와 서비스 권한·칠중 권한 약속이 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000023,docs/09_collection/first-100-collectible-registry-v1.md#F-012,docs/09_collection/first-100-collectible-registry-v1.md,247,GA1,"07호 Frame, Tools and Service-Key Set",F-012,Service Authority Key B,NC-CL-R-000063|NC-CL-R-000064|NC-CL-R-000065,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE,C2,C2|C4|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,C,access under joint custody E39–45,diagnostics and succession/continuity clue,secret-service oversight,,`C/G — cannot be freely copied`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,물리 키와 공동 접근권·승계 단서가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000024,docs/09_collection/first-100-collectible-registry-v1.md#F-013,docs/09_collection/first-100-collectible-registry-v1.md,255,GA1,"07호 Frame, Tools and Service-Key Set",F-013,Service Authority Key C,NC-CL-R-000066|NC-CL-R-000067|NC-CL-R-000068,CONTROL_CLAIM|STATE_TRANSITION|NARRATIVE_PROMISE,C1,C1|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,C,"partial protocol, not full physical key",medical/identity system translation during siege,patient/AI consent and incomplete access,,`C — protocol fragment` Keys D–G: may be named/teased only after E100 unless already present as background identifiers. no surprise functional key beyond A–C in GA1.,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,비물리 프로토콜 접근과 부분획득·정체 단서가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000025,docs/09_collection/first-100-collectible-registry-v1.md#F-014,docs/09_collection/first-100-collectible-registry-v1.md,267,GA1,"07호 Frame, Tools and Service-Key Set",F-014,Previous Technician Logs,NC-CL-R-000069|NC-CL-R-000070|NC-CL-R-000071|NC-CL-R-000072,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE|SET,C2,C2|C4|C6,DISCOVERY|ACQUISITION|SYNERGY,C,fragmented across school/Helix/Imperial records,"proves lineage, repair history, ownership labor","conflicting authorship, missing sections",,`C/R — lineage still incomplete`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,분산 로그·소유 증거와 미완성 계보 세트가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000026,docs/09_collection/first-100-collectible-registry-v1.md#R-001,docs/09_collection/first-100-collectible-registry-v1.md,285,GA1,"Records, Rights and Legal Collection",R-001,Betrayal-Trial Relay Fragment,NC-CL-R-000073|NC-CL-R-000074|NC-CL-R-000075,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE,C4,C4|C7,DISCOVERY|SYNERGY,G,,"proves manipulation, triggers inquiry and D-001",surveillance/protector risk,,`G — authenticated but incomplete`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,기록 파편·증거 효력과 미완 배신 진실이 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000027,docs/09_collection/first-100-collectible-registry-v1.md#R-002,docs/09_collection/first-100-collectible-registry-v1.md,292,GA1,"Records, Rights and Legal Collection",R-002,Student/Family Custody Manifest Fragments,NC-CL-R-000076|NC-CL-R-000077|NC-CL-R-000078|NC-CL-R-000079|NC-CL-R-000080,ENTITY|CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION|SET,C1,C1|C4|C7,DISCOVERY|ACQUISITION|SYNERGY,G,,"H-001 community, transfers, school/Helix system evidence",exposes vulnerable identities,,"`G/L — distributed, no single full copy`",,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,명단 파편·신원 통제·분산손실·사건세트가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000028,docs/09_collection/first-100-collectible-registry-v1.md#R-003,docs/09_collection/first-100-collectible-registry-v1.md,300,GA1,"Records, Rights and Legal Collection",R-003,Medical/Administrative Death Records,NC-CL-R-000081|NC-CL-R-000082|NC-CL-R-000083|NC-CL-R-000084,ENTITY|CONTROL_CLAIM|NARRATIVE_PROMISE|SET,C1,C1|C4|C7,DISCOVERY|SYNERGY,G,consent-limited fragments,"protector, AI-W001, identity-closure mystery","patient privacy, incomplete truth",,`G/R — death ≠ physical death alone`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,사망기록 파편·동의 통제와 정체 미스터리 세트가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000029,docs/09_collection/first-100-collectible-registry-v1.md#R-004,docs/09_collection/first-100-collectible-registry-v1.md,308,GA1,"Records, Rights and Legal Collection",R-004,Neutral Medical Protection Clause,NC-CL-R-000085|NC-CL-R-000086,CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,,E18–26 temporary custody and evidence chain,"limited duration, debt/guarantees, no asylum",,`G — precedent used in charter`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,임시 의료보호권과 채무·보증 의무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000030,docs/09_collection/first-100-collectible-registry-v1.md#R-005,docs/09_collection/first-100-collectible-registry-v1.md,315,GA1,"Records, Rights and Legal Collection",R-005,White Dock Joint-Custody/Evidence Order,NC-CL-R-000087|NC-CL-R-000088|NC-CL-R-000089,CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C2,C2|C3|C7,ACQUISITION|SYNERGY,G,E20–26,"public inquiry, seals components/data",team must return and submit to investigation,,`G — expired but precedent retained`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,공동보관 명령과 만료 전이·복귀 의무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000031,docs/09_collection/first-100-collectible-registry-v1.md#R-006,docs/09_collection/first-100-collectible-registry-v1.md,322,GA1,"Records, Rights and Legal Collection",R-006,Student Mutual Guarantee Fund,NC-CL-R-000090|NC-CL-R-000091|NC-CL-R-000092|NC-CL-R-000093,ENTITY|RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C7,DISCOVERY|SYNERGY,G,,"scapegoat family/legal support, small independent resource",collective contributions/debt and infiltration,,`G — part of student assembly finance`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,공동기금 실체·지원관계와 출자·채무 의무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000032,docs/09_collection/first-100-collectible-registry-v1.md#R-007,docs/09_collection/first-100-collectible-registry-v1.md,329,GA1,"Records, Rights and Legal Collection",R-007,H-002 Maintenance and Design-Rights Agreement,NC-CL-R-000094|NC-CL-R-000095|NC-CL-R-000096,RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C2|C6|C7,DISCOVERY|ACQUISITION|SYNERGY,G,,"veto/ownership, workshop, 07 recovery","operational delays, data obligations, disputes",,`G — charter-recognized partial right`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,계약 관계와 설계·정비권·데이터 의무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000033,docs/09_collection/first-100-collectible-registry-v1.md#R-008,docs/09_collection/first-100-collectible-registry-v1.md,337,GA1,"Records, Rights and Legal Collection",R-008,External Mission License,NC-CL-R-000097|NC-CL-R-000098|NC-CL-R-000099,CONTROL_CLAIM|STATE_TRANSITION|LOSS_OBLIGATION,C1,C1|C5|C7,DISCOVERY|ACQUISITION|SYNERGY,G,,legal GA2 missions,"oversight, debt, risk classification, multiple sponsors",,`G — limited cell/ship eligibility`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,외부 임무권과 개정 전이·감독채무가 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000034,docs/09_collection/first-100-collectible-registry-v1.md#R-009,docs/09_collection/first-100-collectible-registry-v1.md,345,GA1,"Records, Rights and Legal Collection",R-009,Patient Consent and Data-Access Protocol,NC-CL-R-000100|NC-CL-R-000101,CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C6|C7,ACQUISITION|SYNERGY,G,E59–72,"AI-W001, medical records, Black Ward oversight","missing information, slower treatment/research",,`G — provisional standard`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,환자 동의·데이터권과 정보제한 책임이 결합,PM_MERGE_REQUIRED,NONE
NC-CL-S-000035,docs/09_collection/first-100-collectible-registry-v1.md#R-010,docs/09_collection/first-100-collectible-registry-v1.md,352,GA1,"Records, Rights and Legal Collection",R-010,Student/Staff Preference and Representation Record,NC-CL-R-000102,CONTROL_CLAIM,C1,C1|C7,SYNERGY|COMPLETION_LEGACY,G,E73–84,closure/takeover negotiations,exposes internal divisions and faction targets,,`G — not permanent constitution`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,선호·대표성을 증명하는 단일 통제 기록,PM_MERGE_REQUIRED,NONE
NC-CL-S-000036,docs/09_collection/first-100-collectible-registry-v1.md#R-011,docs/09_collection/first-100-collectible-registry-v1.md,359,GA1,"Records, Rights and Legal Collection",R-011,제13학원 임시공동운영·보호헌장,NC-CL-R-000103|NC-CL-R-000104|NC-CL-R-000105,RELATIONSHIP|CONTROL_CLAIM|LOSS_OBLIGATION,C1,C1|C7,DISCOVERY|ACQUISITION|SYNERGY,G,,"rights, mission board, audit, representation, conditional autonomy","slowness, underfunding, revocability, competing claims",,`G — grand-act institutional reward`,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNRESOLVED,UNRESOLVED,DRY_RUN_REVIEWED,공동운영 관계와 권리·대표·재정부담이 결합,PM_MERGE_REQUIRED,NONE
