"item_id","name","first_reveal","subact","final_payoff","plot_use","limit_cost","misuse_risk","related_mystery","authentication","rival_claimants","transfer_limit","conservation","texture_status"
"RL-017","리투스","GA6","","GA10","장례 의구가 상실을 세는 방식 자체를 규정한다","세는 방식이 다르면 같은 사건의 사망자 수가 달라진다","세지 않기로 하면 죽음이 없던 일이 된다","M-019","계수 방식이 달라 같은 사건도 수가 다름","복수 기록 기구","반출해도 계수 기준이 함께 가지 않음","기록 매체 보존","PENDING_SCENE"
"RL-018","케네타프","GA1","A1","GA10","시신 없는 묘표가 이름만 남은 전사자를 증언한다","이름이 맞는지 확인할 방법이 없다","가짜 이름을 새겨 사망을 위장할 수 있다","M-005","명패 이름과 실제 신원 대조 불가","유족, 제국 기록관","유족 동의 없이 이전 불가","금속 명패 부식 관리","PENDING_SCENE"
"RL-019","스티그마","GA9","","GA10","낙인 도구가 누가 배제됐는지의 물리적 증거가 된다","낙인은 지워지지 않는다","배제를 정당화하는 도구로 재사용된다","M-018","낙인 자체가 판정","낙인 부여 기관, 낙인 대상","지워지지 않아 이전 개념이 없음","해당 없음 — 신체에 남음","PENDING_SCENE"
"RL-020","볼눔","GA6","","GA9","손상된 채 보존된 선체 조각이 사건의 규모를 증언한다","보존 비용이 계속 발생한다","전시물로 소비돼 사건이 관광이 된다","NONE","의료 기록 대조","환자 본인, 의료 기관","개인 정보라 이전에 동의 필요","보존 비용이 계속 발생","PENDING_SCENE"
"RL-021","엑수비아","GA5","","GA8","벗어 둔 조종복이 사람 대신 남아 부재를 확정한다","유전·생체 정보가 남아 사생활이 노출된다","고인의 신원으로 인증을 통과할 수 있다","M-013","생체 정보 대조","유족, 연구 기관","사생활 노출 위험으로 이전 제한","저온 보존 필수","PENDING_SCENE"
"RL-022","라크리마","GA6","","GA10","피난민이 들고 나온 개인 물건 묶음이 등록되지 않은 삶을 증명한다","공식 기록이 아니라 증거력이 약하다","반환 대신 수집품으로 취급될 수 있다","M-019","비공식 기록이라 증거력 약함","기록자 본인, 공식 기관","반출 가능하나 증거로 채택 안 됨","개인 매체라 보존 체계 없음","PENDING_SCENE"
"RL-023","노멘","GA9","","GA10","지워진 이름표가 색인에서 제거된 자의 유일한 흔적이 된다","이름표 하나로는 신원이 복원되지 않는다","이름표를 없애면 그 사람은 완전히 사라진다","M-018","이름표 하나로는 신원 복원 불가","유족 다수 후보","신원 미확정이라 인계 대상이 불명","금속 부식 관리","PENDING_SCENE"
"RL-024","프라그멘","GA3","","GA8","원본에서 떨어진 조각이 결합해야 비로소 읽힌다","조각 하나만으로는 오독을 부른다","일부만 공개해 반대 의미로 읽히게 할 수 있다","M-020","조각이라 단독 감정 시 오독","복수 수집 기관","조각 단위 이전 가능하나 전체 해석 불가","파편 결손 방지","PENDING_SCENE"
"RL-025","시물라크룸","GA4","","GA7","정교한 위조 명판이 진품보다 상태가 좋아 진위 판정을 사건으로 만든다","진위 판정에 전문가와 시간이 든다","위조가 진품으로 통용되면 계보가 뒤집힌다","M-011","전문가 감정에 시간과 비용","원본 소유 주장자, 복제 제작자","진위 미확정 상태로는 이전 보류","복제본이라 보존 요구 낮음","PENDING_SCENE"
"RL-026","수브텍스툼","GA8","","GA9","지우고 다시 쓴 매체의 아래층이 원래 진실을 담고 있다","아래층을 읽으면 위층이 훼손된다","아래층을 지워 개정본을 유일본으로 만들 수 있다","M-008","아래층 판독이 위층 훼손을 동반","상층 기록 소유자, 하층 연구자","판독 자체가 파괴라 이전이 곧 결정","판독 전 상태 기록 필수","PENDING_SCENE"
"RL-027","아포크리폰","GA8","","GA10","출처가 끊긴 문서가 진위 미정인 채로 논쟁의 중심이 된다","영원히 확정되지 않을 수 있다","진위 미정을 이용해 원하는 쪽으로 인용된다","M-020","영원히 확정되지 않을 수 있음","복수 학파","확정 없이는 이전 근거도 없음","장기 보존 체계 필요","PENDING_SCENE"
"RL-028","레플리카","GA10","","GA10","승인된 복제본이 원본 반환 뒤에 남아 반환이 상실이 아님을 보인다","복제본은 법적 증거력이 없다","복제본을 원본이라 주장할 수 있다","M-017","복제본 — 법적 증거력 없음","원본 소유자","이전 자유, 대신 효력 없음","보존 요구 낮음","PENDING_SCENE"
